,date,n_InGeneralWard,n_InICU,n_OnVentInICU,n_TERMINAL
15834,2020-02-04,0.0,0.0,0.0,0.0
15835,2020-02-05,0.0,0.0,0.0,0.0
15836,2020-02-06,0.0,0.0,0.0,0.0
15837,2020-02-07,0.0,0.0,0.0,0.0
15838,2020-02-08,0.0,0.0,0.0,0.0
15839,2020-02-09,0.0,0.0,0.0,0.0
15840,2020-02-10,0.0,0.0,0.0,0.0
15841,2020-02-11,0.0,0.0,0.0,0.0
15842,2020-02-12,0.0,0.0,0.0,0.0
15843,2020-02-13,0.0,0.0,0.0,0.0
15844,2020-02-14,0.0,0.0,0.0,0.0
15845,2020-02-15,0.0,0.0,0.0,0.0
15846,2020-02-16,0.0,0.0,0.0,0.0
15847,2020-02-17,0.0,0.0,0.0,0.0
15848,2020-02-18,0.0,0.0,0.0,0.0
15849,2020-02-19,0.0,0.0,0.0,0.0
15850,2020-02-20,0.0,0.0,0.0,0.0
15851,2020-02-21,0.0,0.0,0.0,0.0
15852,2020-02-22,0.0,0.0,0.0,0.0
15853,2020-02-23,0.0,0.0,0.0,0.0
15854,2020-02-24,0.0,0.0,0.0,0.0
15855,2020-02-25,0.0,0.0,0.0,0.0
15856,2020-02-26,0.0,0.0,0.0,0.0
15857,2020-02-27,0.0,0.0,0.0,0.0
15858,2020-02-28,0.0,0.0,0.0,0.0
15859,2020-02-29,0.0,0.0,0.0,0.0
15860,2020-03-01,0.0,0.0,0.0,0.0
15861,2020-03-02,0.0,0.0,0.0,0.0
15862,2020-03-03,0.0,0.0,0.0,0.0
15863,2020-03-04,0.0,0.0,0.0,0.0
15864,2020-03-05,0.0,0.0,0.0,0.0
15865,2020-03-06,0.0,0.0,0.0,0.0
15866,2020-03-07,0.0,0.0,0.0,0.0
15867,2020-03-08,0.0,0.0,0.0,0.0
15868,2020-03-09,0.0,0.0,0.0,0.0
15869,2020-03-10,0.0,0.0,0.0,0.0
15870,2020-03-11,0.0,0.0,0.0,0.0
15871,2020-03-12,0.0,0.0,0.0,0.0
15872,2020-03-13,0.0,0.0,0.0,0.0
15873,2020-03-14,0.0,0.0,0.0,0.0
15874,2020-03-15,0.0,0.0,0.0,0.0
15875,2020-03-16,0.0,0.0,0.0,0.0
15876,2020-03-17,0.075,0.18,0.18,0.0
15877,2020-03-18,0.12,0.24,0.24,0.0
15878,2020-03-19,0.195,0.32999999999999996,0.32999999999999996,0.0
15879,2020-03-20,0.285,0.44999999999999996,0.44999999999999996,0.0
15880,2020-03-21,0.4496249999999999,0.63,0.63,0.0
15881,2020-03-22,0.645,0.87,0.87,0.18
15882,2020-03-23,0.975,0.99,0.99,0.06
15883,2020-03-24,1.155,1.29,1.29,0.09
15884,2020-03-25,1.545,1.65,1.65,0.12
15885,2020-03-26,2.054625,2.1,2.1,0.18
15886,2020-03-27,2.6246250000000004,2.61,2.61,0.24
15887,2020-03-28,3.435,3.21,3.21,0.3
15888,2020-03-29,4.17,3.8699999999999997,3.8699999999999997,0.36
15889,2020-03-30,5.115,4.59,4.59,0.44999999999999996
15890,2020-03-31,6.10425,5.34,5.34,0.57
15891,2020-04-01,7.14,6.18,6.18,0.69
15892,2020-04-02,8.385,7.14,7.14,0.84
15893,2020-04-03,9.735,8.19,8.19,0.96
15894,2020-04-04,11.384624999999998,9.389999999999999,9.389999999999999,1.08
15895,2020-04-05,13.019624999999998,10.68,10.68,1.2
15896,2020-04-06,14.77425,11.969999999999999,11.969999999999999,1.41
15897,2020-04-07,16.469624999999997,13.17,13.17,1.65
15898,2020-04-08,17.95425,14.25,14.25,1.89
15899,2020-04-09,19.515,15.27,15.27,2.16
15900,2020-04-10,21.029625,16.29,16.29,2.37
15901,2020-04-11,22.799249999999997,17.46,17.46,2.4899999999999998
15902,2020-04-12,24.644249999999996,18.9,18.9,2.61
15903,2020-04-13,26.923875000000002,20.64,20.64,2.73
15904,2020-04-14,29.474249999999998,22.65,22.65,2.9099999999999997
15905,2020-04-15,32.219625,24.84,24.84,3.1799999999999997
15906,2020-04-16,35.429625,27.029999999999998,27.029999999999998,3.54
15907,2020-04-17,38.083499999999994,29.009999999999998,29.009999999999998,3.9299999999999997
15908,2020-04-18,40.888875,30.66,30.66,4.35
15909,2020-04-19,42.674249999999994,31.83,31.83,4.74
15910,2020-04-20,44.024625,32.49,32.49,5.1
15911,2020-04-21,44.594625,32.67,32.67,5.37
15912,2020-04-22,44.81925,32.55,32.55,5.52
15913,2020-04-23,44.744249999999994,32.339999999999996,32.339999999999996,5.58
15914,2020-04-24,44.624625,32.22,32.22,5.52
15915,2020-04-25,44.68425,32.4,32.4,5.3999999999999995
15916,2020-04-26,45.315,33.06,33.06,5.279999999999999
15917,2020-04-27,46.244625000000006,32.55,32.55,5.25
15918,2020-04-28,46.154625,31.919999999999998,31.919999999999998,5.31
15919,2020-04-29,45.597750000000005,31.08,31.08,5.46
15920,2020-04-30,44.51775000000001,29.939999999999998,29.939999999999998,5.7
15921,2020-05-01,42.808875,28.40925,28.40925,6.06
15922,2020-05-02,40.636125,26.2785,26.2785,4.77
15923,2020-05-03,37.633500000000005,25.10925,25.10925,4.62
15924,2020-05-04,35.607749999999996,23.849999999999998,23.849999999999998,4.47
15925,2020-05-05,33.33,22.34925,22.34925,4.32
15926,2020-05-06,30.95475,20.37,20.37,4.14
15927,2020-05-07,28.00275,18.15,18.15,3.9299999999999997
15928,2020-05-08,25.198124999999997,16.11,16.11,3.63
15929,2020-05-09,22.6335,14.25,14.25,3.2399999999999998
15930,2020-05-10,19.902375,12.62925,12.62925,2.82
15931,2020-05-11,17.8185,11.16,11.16,2.4
15932,2020-05-12,15.91575,10.07925,10.07925,2.1
15933,2020-05-13,14.293499999999998,9.14925,9.14925,1.95
15934,2020-05-14,12.88425,8.24925,8.24925,1.74
15935,2020-05-15,11.355374999999999,7.4384999999999994,7.4384999999999994,1.5899999999999999
15936,2020-05-16,10.404749999999998,6.62925,6.62925,1.44
15937,2020-05-17,9.286875,5.90775,5.90775,1.29
15938,2020-05-18,8.05725,5.2177500000000006,5.2177500000000006,1.14
15939,2020-05-19,7.2,4.61925,4.61925,1.02
15940,2020-05-20,6.463874999999999,4.08,4.08,0.8999999999999999
15941,2020-05-21,5.654625,3.63,3.63,0.78
15942,2020-05-22,5.1446250000000004,3.21,3.21,0.7192500000000001
15943,2020-05-23,4.3503750000000005,2.87925,2.87925,0.63
15944,2020-05-24,4.034625,2.55,2.55,0.57
15945,2020-05-25,3.55275,2.2792499999999998,2.2792499999999998,0.48
15946,2020-05-26,3.07575,2.0392499999999996,2.0392499999999996,0.44999999999999996
15947,2020-05-27,2.7296250000000004,1.7999999999999998,1.7999999999999998,0.39
15948,2020-05-28,2.52,1.5899999999999999,1.5899999999999999,0.36
15949,2020-05-29,2.2492499999999995,1.41,1.41,0.32925
15950,2020-05-30,1.9503749999999995,1.25925,1.25925,0.27
15951,2020-05-31,1.7088750000000001,1.1099999999999999,1.1099999999999999,0.24
15952,2020-06-01,1.47,0.99,0.99,0.21
15953,2020-06-02,1.3342499999999997,0.87,0.87,0.18
15954,2020-06-03,1.1703749999999997,0.77925,0.77925,0.18
15955,2020-06-04,0.98925,0.69,0.69,0.15
15956,2020-06-05,0.8253749999999999,0.62925,0.62925,0.12
15957,2020-06-06,0.7946249999999999,0.54,0.54,0.12
15958,2020-06-07,0.6596249999999999,0.48,0.48,0.12
15959,2020-06-08,0.615,0.42,0.42,0.09
15960,2020-06-09,0.52425,0.36,0.36,0.09
15961,2020-06-10,0.434625,0.3,0.3,0.06
