,date,n_InGeneralWard,n_InICU,n_OnVentInICU,n_TERMINAL
13975,2020-01-03,0.0,0.0,0.0,0.0
13976,2020-01-04,0.0,0.0,0.0,0.0
13977,2020-01-05,0.0,0.0,0.0,0.0
13978,2020-01-06,0.0,0.0,0.0,0.0
13979,2020-01-07,0.0,0.0,0.0,0.0
13980,2020-01-08,0.0,0.0,0.0,0.0
13981,2020-01-09,0.0,0.0,0.0,0.0
13982,2020-01-10,0.0,0.0,0.0,0.0
13983,2020-01-11,0.0,0.0,0.0,0.0
13984,2020-01-12,0.0,0.0,0.0,0.0
13985,2020-01-13,0.0,0.0,0.0,0.0
13986,2020-01-14,0.0,0.0,0.0,0.0
13987,2020-01-15,0.0,0.0,0.0,0.0
13988,2020-01-16,0.0,0.0,0.0,0.0
13989,2020-01-17,0.0,0.0,0.0,0.0
13990,2020-01-18,0.0,0.0,0.0,0.0
13991,2020-01-19,0.0,0.0,0.0,0.0
13992,2020-01-20,0.0,0.0,0.0,0.0
13993,2020-01-21,0.0,0.0,0.0,0.0
13994,2020-01-22,0.0,0.0,0.0,0.0
13995,2020-01-23,0.0,0.0,0.0,0.0
13996,2020-01-24,0.0,0.0,0.0,0.0
13997,2020-01-25,0.0,0.0,0.0,0.0
13998,2020-01-26,0.0,0.0,0.0,0.0
13999,2020-01-27,0.0,0.0,0.0,0.0
14000,2020-01-28,0.0,0.0,0.0,0.0
14001,2020-01-29,0.0,0.0,0.0,0.0
14002,2020-01-30,0.0,0.0,0.0,0.0
14003,2020-01-31,0.0,0.0,0.0,0.0
14004,2020-02-01,0.0,0.0,0.0,0.0
14005,2020-02-02,0.0,0.0,0.0,0.0
14006,2020-02-03,0.0,0.0,0.0,0.0
14007,2020-02-04,0.0,0.0,0.0,0.0
14008,2020-02-05,0.0,0.0,0.0,0.0
14009,2020-02-06,0.0,0.0,0.0,0.0
14010,2020-02-07,0.0,0.0,0.0,0.0
14011,2020-02-08,0.0,0.0,0.0,0.0
14012,2020-02-09,0.0,0.0,0.0,0.0
14013,2020-02-10,0.0,0.0,0.0,0.0
14014,2020-02-11,0.0,0.0,0.0,0.0
14015,2020-02-12,0.0,0.0,0.0,0.0
14016,2020-02-13,0.0,0.0,0.0,0.0
14017,2020-02-14,0.0,0.0,0.0,0.0
14018,2020-02-15,0.0,0.0,0.0,0.0
14019,2020-02-16,0.0,0.0,0.0,0.0
14020,2020-02-17,0.0,0.0,0.0,0.0
14021,2020-02-18,0.0,0.0,0.0,0.0
14022,2020-02-19,0.0,0.0,0.0,0.0
14023,2020-02-20,0.0,0.0,0.0,0.0
14024,2020-02-21,0.0,0.0,0.0,0.0
14025,2020-02-22,0.0,0.0,0.0,0.0
14026,2020-02-23,0.0,0.0,0.0,0.0
14027,2020-02-24,0.0,0.0,0.0,0.0
14028,2020-02-25,0.0,0.0,0.0,0.0
14029,2020-02-26,0.0,0.0,0.0,0.0
14030,2020-02-27,0.0,0.0,0.0,0.0
14031,2020-02-28,0.0,0.0,0.0,0.0
14032,2020-02-29,0.0,0.0,0.0,0.0
14033,2020-03-01,0.0,0.0,0.0,0.0
14034,2020-03-02,0.0,0.0,0.0,0.0
14035,2020-03-03,0.0,0.0,0.0,0.0
14036,2020-03-04,0.0,0.0,0.0,0.0
14037,2020-03-05,0.0,0.0,0.0,0.0
14038,2020-03-06,0.0,0.0,0.0,0.0
14039,2020-03-07,0.0,0.0,0.0,0.0
14040,2020-03-08,0.0,0.0,0.0,0.0
14041,2020-03-09,0.0,0.0,0.0,0.0
14042,2020-03-10,0.0,0.0,0.0,0.0
14043,2020-03-11,0.0,0.0,0.0,0.0
14044,2020-03-12,0.0,0.0,0.0,0.0
14045,2020-03-13,0.0,0.0,0.0,0.0
14046,2020-03-14,0.0,0.0,0.0,0.0
14047,2020-03-15,0.06456544950882451,0.03,0.03,0.0
14048,2020-03-16,0.06456544950882451,0.03,0.03,0.0
14049,2020-03-17,0.307435413295038,0.15,0.15,0.0
14050,2020-03-18,0.5533934726939728,0.2736011672077923,0.2724266064352314,0.0
14051,2020-03-19,0.6735679964618728,0.333601167207792,0.33242660643523203,0.0
14052,2020-03-20,0.9065748438228447,0.469225014319014,0.462413934856809,0.03
14053,2020-03-21,1.5084879801032307,0.7548761893106881,0.7428002589493832,0.0
14054,2020-03-22,2.053092078588066,1.0624836700382938,1.0473994099650359,0.12
14055,2020-03-23,2.589194044871784,1.2278317564935062,1.207405373293374,0.12
14056,2020-03-24,2.5686329796453595,1.2663729744006,1.232158975732602,0.06
14057,2020-03-25,2.796024185772573,1.4842200270562769,1.4364856732850488,0.12
14058,2020-03-26,4.692875621794884,2.388184147186146,2.328927740800866,0.3
14059,2020-03-27,6.467568719863469,3.0936885385031703,3.02902547764734,0.3
14060,2020-03-28,7.835202503121898,3.78383549388111,3.7087242370546196,0.27
14061,2020-03-29,9.459856084706969,4.7828981002747195,4.66282465388778,0.12
14062,2020-03-30,10.308282221403601,5.51100314589576,5.34635115580254,0.24
14063,2020-03-31,10.89019114547952,5.8421223381202205,5.635539791292029,0.99
14064,2020-04-01,12.05668714498002,5.86971675324675,5.61112654645356,0.99
14065,2020-04-02,15.984955418456552,7.83860988802863,7.552081768606379,0.96
14066,2020-04-03,18.83298884848485,9.23257811022312,8.930398974358981,1.14
14067,2020-04-04,21.18234768960213,10.297897542166169,9.95857022186148,0.72
14068,2020-04-05,24.584544570263066,12.813808153638028,12.35036937920412,0.44999999999999996
14069,2020-04-06,28.275179111138783,15.23956716608391,14.683280826798208,0.87
14070,2020-04-07,31.46666748959376,16.70322886226274,16.064887905677637,2.88
14071,2020-04-08,37.2651381134699,17.94547398022809,17.1859609416417,2.31
14072,2020-04-09,39.25634661409409,19.792246488012,18.92000373705462,2.1
14073,2020-04-10,43.01742905519487,22.09271778513153,21.13438150903263,2.88
14074,2020-04-11,47.82161572194482,24.066297874625366,22.98190779324843,2.61
14075,2020-04-12,51.79187644459695,26.64468982188645,25.43310170333832,2.1
14076,2020-04-13,56.92844560618529,30.102009764568898,28.743110261863137,3.7819199999999995
14077,2020-04-14,63.61955981493511,32.208291510073195,30.698558319513904,3.8348999999999998
14078,2020-04-15,67.50785494226608,34.658107200924,32.9613108914835,4.156199999999999
14079,2020-04-16,71.8335074997501,37.1389594775226,35.229572210955595,4.48998
14080,2020-04-17,76.0614288775809,39.5256489545454,37.410436548784496,4.82052
14081,2020-04-18,80.3246921265402,41.598737704753496,39.35226181918079,5.14221
14082,2020-04-19,84.2931666269562,43.6553538098985,41.24337575445389,5.455379999999999
14083,2020-04-20,87.93325061105581,45.632211905885704,43.031074952880594,5.75199
14084,2020-04-21,91.3057423949802,47.376901296703195,44.611760135614496,6.029729999999999
14085,2020-04-22,93.97867425645177,49.009423258283405,46.058091626789995,6.28554
14086,2020-04-23,96.20621533287539,50.534903852605794,47.368304335123206,6.51519
14087,2020-04-24,98.28875808816181,51.663382739427306,48.347349535464595,6.716220000000001
14088,2020-04-25,99.8066102162838,52.6046013362055,49.139416398975904,6.8844899999999996
14089,2020-04-26,100.9422966682482,53.30510820704309,49.7055466532217,7.021079999999999
14090,2020-04-27,101.66440857355138,53.76155866183831,50.0390221613388,7.123920000000001
14091,2020-04-28,101.7140540521146,53.9753882036712,50.142613717782304,7.19286
14092,2020-04-29,101.3294690031219,53.942072261696694,50.0156456948052,7.22676
14093,2020-04-30,100.5841337473362,53.659821608016905,49.65504769488841,7.22595
14094,2020-05-01,99.33571943406601,53.12939110693469,49.0699338460707,7.1918999999999995
14095,2020-05-02,97.6398210230187,52.3570197312687,48.25773329508,7.123499999999999
14096,2020-05-03,95.44509573622227,51.3501263920662,47.2270572140775,7.02225
14097,2020-05-04,92.88037661488501,50.076818805111586,45.95668620800039,6.89031
14098,2020-05-05,89.91650997739768,48.5741685293457,44.4716361505161,6.728129999999999
14099,2020-05-06,86.50159796024789,46.861122624126004,42.795591777763796,6.538889999999999
14100,2020-05-07,82.7043081718698,44.9597244443472,40.9534791232935,6.313289999999999
14101,2020-05-08,78.70876867020479,42.9013299863469,38.968023405969,6.056279999999999
14102,2020-05-09,74.4195252370128,40.727853246420295,36.8871515913669,5.75457
