,date,n_InGeneralWard,n_InICU,n_OnVentInICU,n_TERMINAL
16373,2019-12-18,0.0,0.0,0.0,0.0
16374,2019-12-19,0.0,0.0,0.0,0.0
16375,2019-12-20,0.0,0.0,0.0,0.0
16376,2019-12-21,0.0,0.0,0.0,0.0
16377,2019-12-22,0.0,0.0,0.0,0.0
16378,2019-12-23,0.0,0.0,0.0,0.0
16379,2019-12-24,0.0,0.0,0.0,0.0
16380,2019-12-25,0.0,0.0,0.0,0.0
16381,2019-12-26,0.0,0.0,0.0,0.0
16382,2019-12-27,0.0,0.0,0.0,0.0
16383,2019-12-28,0.0,0.0,0.0,0.0
16384,2019-12-29,0.0,0.0,0.0,0.0
16385,2019-12-30,0.0,0.0,0.0,0.0
16386,2019-12-31,0.0,0.0,0.0,0.0
16387,2020-01-01,0.0,0.0,0.0,0.0
16388,2020-01-02,0.0,0.0,0.0,0.0
16389,2020-01-03,0.0,0.0,0.0,0.0
16390,2020-01-04,0.0,0.0,0.0,0.0
16391,2020-01-05,0.0,0.0,0.0,0.0
16392,2020-01-06,0.0,0.0,0.0,0.0
16393,2020-01-07,0.0,0.0,0.0,0.0
16394,2020-01-08,0.0,0.0,0.0,0.0
16395,2020-01-09,0.0,0.0,0.0,0.0
16396,2020-01-10,0.0,0.0,0.0,0.0
16397,2020-01-11,0.0,0.0,0.0,0.0
16398,2020-01-12,0.0,0.0,0.0,0.0
16399,2020-01-13,0.0,0.0,0.0,0.0
16400,2020-01-14,0.0,0.0,0.0,0.0
16401,2020-01-15,0.0,0.0,0.0,0.0
16402,2020-01-16,0.0,0.0,0.0,0.0
16403,2020-01-17,0.0,0.0,0.0,0.0
16404,2020-01-18,0.0,0.0,0.0,0.0
16405,2020-01-19,0.0,0.0,0.0,0.0
16406,2020-01-20,0.0,0.0,0.0,0.0
16407,2020-01-21,0.0,0.0,0.0,0.0
16408,2020-01-22,0.0,0.0,0.0,0.0
16409,2020-01-23,0.0,0.0,0.0,0.0
16410,2020-01-24,0.0,0.0,0.0,0.0
16411,2020-01-25,0.0,0.0,0.0,0.0
16412,2020-01-26,0.0,0.0,0.0,0.0
16413,2020-01-27,0.0,0.0,0.0,0.0
16414,2020-01-28,0.0,0.0,0.0,0.0
16415,2020-01-29,0.0,0.0,0.0,0.0
16416,2020-01-30,0.0,0.0,0.0,0.0
16417,2020-01-31,0.0,0.0,0.0,0.0
16418,2020-02-01,0.0,0.0,0.0,0.0
16419,2020-02-02,0.0,0.0,0.0,0.0
16420,2020-02-03,0.0,0.0,0.0,0.0
16421,2020-02-04,0.0,0.0,0.0,0.0
16422,2020-02-05,0.0,0.0,0.0,0.0
16423,2020-02-06,0.0,0.0,0.0,0.0
16424,2020-02-07,0.0,0.0,0.0,0.0
16425,2020-02-08,0.0,0.0,0.0,0.0
16426,2020-02-09,0.0,0.0,0.0,0.0
16427,2020-02-10,0.0,0.0,0.0,0.0
16428,2020-02-11,0.0,0.0,0.0,0.0
16429,2020-02-12,0.0,0.0,0.0,0.0
16430,2020-02-13,0.0,0.0,0.0,0.0
16431,2020-02-14,0.0,0.0,0.0,0.0
16432,2020-02-15,0.0,0.0,0.0,0.0
16433,2020-02-16,0.0,0.0,0.0,0.0
16434,2020-02-17,0.0,0.0,0.0,0.0
16435,2020-02-18,0.0,0.0,0.0,0.0
16436,2020-02-19,0.0,0.0,0.0,0.0
16437,2020-02-20,0.0,0.0,0.0,0.0
16438,2020-02-21,0.0,0.0,0.0,0.0
16439,2020-02-22,0.0,0.0,0.0,0.0
16440,2020-02-23,0.0,0.0,0.0,0.0
16441,2020-02-24,0.0,0.0,0.0,0.0
16442,2020-02-25,0.0,0.0,0.0,0.0
16443,2020-02-26,0.0,0.0,0.0,0.0
16444,2020-02-27,0.0,0.0,0.0,0.0
16445,2020-02-28,0.0,0.0,0.0,0.0
16446,2020-02-29,0.0,0.0,0.0,0.0
16447,2020-03-01,0.0,0.0,0.0,0.0
16448,2020-03-02,0.0,0.0,0.0,0.0
16449,2020-03-03,0.0,0.0,0.0,0.0
16450,2020-03-04,0.0,0.0,0.0,0.0
16451,2020-03-05,0.0,0.0,0.0,0.0
16452,2020-03-06,0.0,0.0,0.0,0.0
16453,2020-03-07,0.0,0.0,0.0,0.0
16454,2020-03-08,0.0,0.0,0.0,0.0
16455,2020-03-09,0.0,0.0,0.0,0.0
16456,2020-03-10,0.0,0.0,0.0,0.0
16457,2020-03-11,0.0,0.0,0.0,0.0
16458,2020-03-12,0.0,0.0,0.0,0.0
16459,2020-03-13,0.0,0.0,0.0,0.0
16460,2020-03-14,0.0,0.0,0.0,0.0
16461,2020-03-15,0.0,0.0,0.0,0.0
16462,2020-03-16,0.195,0.03,0.03,0.0
16463,2020-03-17,0.36,0.12,0.12,0.0
16464,2020-03-18,0.51,0.18,0.18,0.0
16465,2020-03-19,0.7353750000000001,0.3,0.3,0.0
16466,2020-03-20,0.99,0.44999999999999996,0.44999999999999996,0.03
16467,2020-03-21,1.29,0.63,0.63,0.0
16468,2020-03-22,1.665,0.84,0.84,0.12
16469,2020-03-23,2.07,1.05,1.05,0.12
16470,2020-03-24,2.475375,1.3499999999999999,1.3499999999999999,0.06
16471,2020-03-25,3.105,1.68,1.68,0.12
16472,2020-03-26,3.7203749999999993,2.1,2.1,0.3
16473,2020-03-27,4.455,2.61,2.61,0.3
16474,2020-03-28,5.475,3.21,3.21,0.27
16475,2020-03-29,6.405374999999999,3.8699999999999997,3.8699999999999997,0.12
16476,2020-03-30,7.47,4.59,4.59,0.24
16477,2020-03-31,8.61,5.34,5.34,0.99
16478,2020-04-01,9.945,6.18,6.18,0.99
16479,2020-04-02,11.415375000000001,7.14,7.14,0.96
16480,2020-04-03,13.050375,8.19,8.19,1.14
16481,2020-04-04,14.850375000000001,9.389999999999999,9.389999999999999,0.72
16482,2020-04-05,16.814999999999998,10.68,10.68,0.44999999999999996
16483,2020-04-06,18.705375,11.969999999999999,11.969999999999999,0.87
16484,2020-04-07,20.596124999999997,13.17,13.17,2.88
16485,2020-04-08,22.59,14.25,14.25,2.31
16486,2020-04-09,24.120375,15.27,15.27,2.1
16487,2020-04-10,25.905375,16.29,16.29,2.88
16488,2020-04-11,27.720375,17.46,17.46,2.61
16489,2020-04-12,29.685375,18.9,18.9,2.1
16490,2020-04-13,32.16,20.64,20.64,2.6399999999999997
16491,2020-04-14,35.040375,22.65,22.65,0.0
16492,2020-04-15,38.251124999999995,24.84,24.84,7.92
16493,2020-04-16,41.535374999999995,27.029999999999998,27.029999999999998,0.0
16494,2020-04-17,44.67075,29.009999999999998,29.009999999999998,4.109999999999999
16495,2020-04-18,47.11537499999999,30.66,30.66,4.77
16496,2020-04-19,49.394999999999996,31.83,31.83,9.06
16497,2020-04-20,50.684999999999995,32.49,32.49,0.0
16498,2020-04-21,51.27075,32.64,32.64,7.6499999999999995
16499,2020-04-22,51.269999999999996,32.43,32.43,6.63
16500,2020-04-23,50.98575,32.04,32.04,5.34
16501,2020-04-24,50.655,31.59,31.59,5.88
16502,2020-04-25,50.08575,31.23,31.23,5.22
16503,2020-04-26,49.5315,30.99,30.99,5.069999999999999
16504,2020-04-27,49.098749999999995,30.779999999999998,30.779999999999998,3.12
16505,2020-04-28,48.675374999999995,30.54,30.54,4.5
16506,2020-04-29,48.255374999999994,30.24,30.24,7.56
16507,2020-04-30,47.835,29.91,29.91,4.71
16508,2020-05-01,47.341875,29.58,29.58,4.62
16509,2020-05-02,46.965374999999995,29.25,29.25,3.9
16510,2020-05-03,46.485,28.98,28.98,4.74
16511,2020-05-04,45.885,30.480749999999997,30.480749999999997,2.58
16512,2020-05-05,46.755374999999994,32.01075,32.01075,3.6599999999999997
16513,2020-05-06,48.93299999999999,33.48,33.48,6.24
16514,2020-05-07,50.9445,34.8,34.8,3.96
16515,2020-05-08,51.99412499999999,35.97075,35.97075,4.5
16516,2020-05-09,52.5165,37.02375,37.02375,6.42075
16517,2020-05-10,54.388124999999995,36.42375,36.42375,6.359999999999999
16518,2020-05-11,53.396249999999995,35.88075,35.88075,6.24075
16519,2020-05-12,52.30837499999999,35.13075,35.13075,6.1499999999999995
16520,2020-05-13,51.118125,34.413,34.413,6.029999999999999
16521,2020-05-14,49.94175,33.60525,33.60525,5.9399999999999995
16522,2020-05-15,48.832499999999996,32.565,32.565,5.85
16523,2020-05-16,46.49625,31.602749999999997,31.602749999999997,5.7
16524,2020-05-17,45.38099999999999,30.63375,30.63375,5.5515
16525,2020-05-18,44.042249999999996,29.43075,29.43075,5.3999999999999995
16526,2020-05-19,42.4545,28.353749999999998,28.353749999999998,5.22
16527,2020-05-20,41.601000000000006,27.273,27.273,4.952249999999999
16528,2020-05-21,39.960375000000006,26.102999999999998,26.102999999999998,4.77
16529,2020-05-22,38.42775,25.023,25.023,4.62
16530,2020-05-23,36.853125,23.973,23.973,4.56075
