state,date,cases.fitted,cases.fitted.hi,cases.fitted.lo,cum.incidence,cum.incidence.hi,cum.incidence.lo,deaths,deaths.diagnosed,deaths.diagnosed.hi,deaths.diagnosed.lo,deaths.fitted,deaths.fitted.hi,deaths.fitted.lo,deaths.hi,deaths.lo,diagnoses,diagnoses.hi,diagnoses.lo,infections,infections.hi,infections.lo,pop.infectiousness,pop.infectiousness.hi,pop.infectiousness.lo,Rt,Rt.hi,Rt.lo,sero.positive,sero.positive.hi,sero.positive.lo,severe,severe.hi,severe.lo,symptomatic,symptomatic.diagnosed,symptomatic.diagnosed.hi,symptomatic.diagnosed.lo,symptomatic.hi,symptomatic.lo,data.available,selected_row
California,20200711,8778.68,9848.21,7718.04,2.30228e+06,3.58541e+06,1.53702e+06,101.21,92.9407,107.645,82.0599,89.2998,103.025,78.7821,127.838,86.0561,8969.9,10046.4,7893.45,35450.4,54191.5,23178.6,32879.3,50822.3,21510.3,1.05402,1.18181,0.946672,1.80472e+06,2.79448e+06,1.20911e+06,954.698,1416.01,669.613,17559.4,8271.92,9636.14,6421.34,27508.5,12196.4,TRUE,1
California,20200712,8880.4,9939.99,7825.35,2.33659e+06,3.63791e+06,1.5595e+06,103.391,95.0382,109.828,83.6062,91.5765,105.702,80.6876,130.822,87.7813,9050.6,10139.3,7993.22,35831.2,54666.6,23265,33252.4,51679.1,21941.2,1.04533,1.17442,0.944667,1.83002e+06,2.82948e+06,1.22437e+06,975.406,1447.28,681.593,17743.7,8347.62,9739.03,6499.67,27884.4,12399.7,TRUE,1
California,20200713,8977.16,10039,7920.77,2.37113e+06,3.69214e+06,1.58204e+06,105.745,97.1977,112.295,85.3589,93.5863,108.138,82.572,133.207,89.8907,9099.28,10208.1,8073.17,35975.5,55220.5,23369.1,33748,52189,22365.9,1.03888,1.17078,0.938543,1.85553e+06,2.86428e+06,1.24087e+06,993.96,1477.59,695.781,17982.3,8396.14,9806.2,6545.78,28312.3,12570.6,TRUE,1
California,20200714,9050.38,10135.1,8019.34,2.41116e+06,3.74652e+06,1.60462e+06,108.3,99.4203,114.555,87.2278,95.7169,110.448,84.2431,136.072,91.7687,9138.28,10289.6,8113.78,36076.2,55582.5,23627.6,34137,52569.3,22645.1,1.03415,1.1597,0.930802,1.88015e+06,2.89914e+06,1.2584e+06,1011.64,1495.71,709.81,18186.1,8446.21,9861.2,6581.64,28939.9,12675.8,TRUE,1
California,20200715,9096.56,10199.6,8081.15,2.44586e+06,3.80101e+06,1.62961e+06,110.624,101.529,117.514,89.0295,97.886,112.895,86.0206,139.078,93.7345,9166.42,10320.1,8141.04,36260.4,55777.6,23683.6,34568.6,52986.4,22831.3,1.02771,1.15406,0.924802,1.90267e+06,2.93871e+06,1.27541e+06,1031.21,1515.62,729.519,18383.6,8468.91,9908.28,6612.28,29355.3,12805.7,TRUE,1
California,20200716,9125.68,10261.5,8119.8,2.48306e+06,3.85643e+06,1.65363e+06,113.051,103.724,119.793,91.0437,100.032,115.195,87.8525,142.027,95.8307,9169.49,10367.4,8146.1,36326.9,55788.8,23737.7,35026.8,53370.1,22966.3,1.02127,1.14624,0.921241,1.92958e+06,2.98126e+06,1.29103e+06,1046.26,1531.84,743.258,18510.9,8483.87,9960.36,6665.21,29776.3,12905.5,TRUE,1
California,20200717,9153.85,10296.9,8131.49,2.52087e+06,3.91454e+06,1.6782e+06,115.403,105.958,121.688,92.8269,102.218,118.128,89.7943,144.876,97.5644,9165,10415,8143.36,36457.8,56173.1,23918.7,35369.6,54068,23141.4,1.01456,1.13468,0.920679,1.95289e+06,3.02362e+06,1.3067e+06,1063.54,1561.81,755.59,18678.2,8484.69,9957.98,6705.47,29996.8,13016.4,TRUE,1
California,20200718,9152.86,10361.6,8146.71,2.55965e+06,3.97181e+06,1.70337e+06,117.784,107.925,123.703,94.6772,104.386,120.217,91.5998,147.855,99.48,9154.1,10373,8121.48,36510.3,56422.9,23809.3,35619.8,54384,23250.2,1.01013,1.13048,0.917726,1.97793e+06,3.06329e+06,1.32242e+06,1078.74,1581.29,769.808,18785.4,8467.44,9987.12,6693.01,30052.7,13180.4,TRUE,1
California,20200719,9149,10365.4,8129.19,2.59789e+06,4.02951e+06,1.72848e+06,120.034,109.85,125.637,96.8536,106.463,122.092,93.412,150.42,101.337,9133.06,10359.3,8090.37,36632.6,56564,23674.9,35859.5,55025.8,23435.7,1.00584,1.12226,0.910783,2.00249e+06,3.1017e+06,1.33885e+06,1095.39,1588.75,783.498,18887.8,8449.03,9947.6,6689.19,30268.2,13264.2,TRUE,1
California,20200720,9128.26,10351.5,8104.09,2.63541e+06,4.08528e+06,1.75251e+06,121.997,111.847,127.298,98.4112,108.435,124.054,95.4394,152.762,102.984,9079.41,10331.8,8064.59,36698.5,56916.9,23382.1,36052.6,55478.8,23632,1.00176,1.11055,0.907254,2.02798e+06,3.13568e+06,1.35564e+06,1110.3,1603.08,797.322,18932.9,8415.4,9883.34,6684.16,30368.7,13344.5,TRUE,1
