previous_day_admission_adult_covid_confirmed,total_adult_patients_hospitalized_confirmed_covid,staffed_icu_adult_patients_confirmed_covid,previous_day_admission_adult_covid_confirmed_coverage,total_adult_patients_hospitalized_confirmed_covid_coverage,staffed_icu_adult_patients_confirmed_covid_coverage,state_and_date,date,state,inIcuCurrently,onVentilatorCurrently,deathIncrease
62,567,116,126,126,126,IA20210103,20210103,IA,120,52,0
45,341,73,52,52,52,ID20210103,20210103,ID,84,,12
370,3426,734,207,207,207,IL20210103,20210103,IL,798,462,105
539,2493,609,166,166,166,IN20210103,20210103,IN,648,326,65
114,923,249,150,150,150,KS20210103,20210103,KS,221,97,0
416,1667,453,124,124,124,KY20210103,20210103,KY,421,196,25
256,2681,448,216,221,221,LA20210103,20210103,LA,,204,49
267,2067,422,101,101,101,MA20210103,20210103,MA,416,258,108
215,1681,385,59,59,59,MD20210103,20210103,MD,412,,27
13,192,51,39,39,39,ME20210103,20210103,ME,47,20,1
255,2349,567,162,162,162,MI20210103,20210103,MI,629,368,0
112,826,162,140,140,140,MN20210103,20210103,MN,196,,53
270,2417,632,140,140,140,MO20210103,20210103,MO,627,350,19
149,1260,308,108,108,108,MS20210103,20210103,MS,346,219,31
37,197,45,67,67,67,MT20210103,20210103,MT,39,22,1
423,3315,804,132,132,132,NC20210103,20210103,NC,776,,18
12,153,32,50,50,50,ND20210103,20210103,ND,16,,0
42,527,124,101,101,101,NE20210103,20210103,NE,,,1
32,306,66,30,30,30,NH20210103,20210103,NH,,,11
405,3632,647,96,96,96,NJ20210103,20210103,NJ,669,462,21
94,649,160,55,55,55,NM20210103,20210103,NM,,,17
162,1842,435,63,63,63,NV20210103,20210103,NV,398,273,32
1030,8406,1375,206,206,206,NY20210103,20210103,NY,1344,815,139
641,4306,1047,232,232,232,OH20210103,20210103,OH,1054,684,59
387,1931,508,151,151,151,OK20210103,20210103,OK,498,,20
67,475,105,65,65,65,OR20210103,20210103,OR,119,60,2
641,5869,1253,229,229,229,PA20210103,20210103,PA,1149,674,56
15,327,66,68,68,68,PR20210103,20210103,PR,74,72,19
26,430,54,15,15,15,RI20210103,20210103,RI,61,47,10
310,2081,429,87,87,87,SC20210103,20210103,SC,414,217,84
23,247,50,65,65,65,SD20210103,20210103,SD,54,33,12
330,3228,822,114,114,114,TN20210103,20210103,TN,792,467,55
1643,12956,3370,591,591,591,TX20210103,20210103,TX,3184,,50
92,450,156,59,59,59,UT20210103,20210103,UT,164,,7
266,2389,494,108,108,108,VA20210103,20210103,VA,557,344,7
0,2,1,2,2,2,VI20210103,20210103,VI,,,0
9,32,4,17,17,17,VT20210103,20210103,VT,2,,1
90,998,230,105,105,105,WA20210103,20210103,WA,248,118,0
240,1152,249,149,148,148,WI20210103,20210103,WI,230,,5
71,856,212,63,63,63,WV20210103,20210103,WV,202,90,3
11,107,24,31,31,31,WY20210103,20210103,WY,,,0
8,65,11,24,24,24,AK20210102,20210102,AK,,6,9
391,2912,790,114,114,114,AL20210102,20210102,AL,,,0
165,1155,334,111,111,111,AR20210102,20210102,AR,393,197,18
582,4246,997,125,125,125,AZ20210102,20210102,AZ,1074,761,46
2276,20792,4547,418,417,417,CA20210102,20210102,CA,4606,,386
108,945,280,104,104,104,CO20210102,20210102,CO,,,39
98,1101,229,40,40,40,CT20210102,20210102,CT,,,104
36,274,64,14,14,14,DC20210102,20210102,DC,70,33,4
39,441,54,16,16,16,DE20210102,20210102,DE,59,,0
1039,6874,1350,268,268,268,FL20210102,20210102,FL,,,220
911,4854,1187,170,170,170,GA20210102,20210102,GA,,,2
9,100,14,26,26,26,HI20210102,20210102,HI,11,9,0
64,570,119,126,126,126,IA20210102,20210102,IA,119,60,48
54,326,72,52,52,52,ID20210102,20210102,ID,85,,0
334,3379,738,207,207,207,IL20210102,20210102,IL,783,458,44
502,2402,605,166,166,166,IN20210102,20210102,IN,663,342,39
124,889,240,150,150,150,KS20210102,20210102,KS,221,97,0
395,1646,428,124,124,124,KY20210102,20210102,KY,428,211,75
