previous_day_admission_adult_covid_confirmed,total_adult_patients_hospitalized_confirmed_covid,staffed_icu_adult_patients_confirmed_covid,previous_day_admission_adult_covid_confirmed_coverage,total_adult_patients_hospitalized_confirmed_covid_coverage,staffed_icu_adult_patients_confirmed_covid_coverage,state_and_date,date,state,inIcuCurrently,onVentilatorCurrently,TotalDeaths
,,,0,0,0,ND20200727,20200727,ND,nan,,99
,,,0,0,0,ND20200726,20200726,ND,nan,,99
,,,0,0,0,ND20200725,20200725,ND,nan,,99
,,,0,0,0,ND20200724,20200724,ND,nan,,99
,,,0,0,0,ND20200723,20200723,ND,nan,,97
30,169,69,70,71,58,KS20200721,20200721,KS,112,28,307
,,,0,0,0,ND20200721,20200721,ND,nan,,94
,,,0,0,0,WV20200710,20200710,WV,16,7,95
,,,0,0,0,KS20200709,20200709,KS,62,16,282
,,,0,0,0,VI20200703,,,,,
,,,0,0,0,MS20200624,20200624,MS,157,91,1011
,,,0,0,0,ND20200612,20200612,ND,nan,,74
,,,0,0,0,PR20200610,,,,,
0,20,4,9,45,23,NE20200608,20200608,NE,nan,,188
,,,0,0,0,MS20200603,20200603,MS,143,96,782
,,,0,0,0,VI20200601,,,,,
,,,0,0,0,SD20200526,20200526,SD,nan,,50
,,,0,0,0,NJ20200327,20200327,NJ,nan,,81
,,,0,0,0,MS20200326,20200326,MS,nan,,6
,,,0,0,0,VT20200323,20200323,VT,nan,,5
,,,0,0,0,VT20200322,20200322,VT,nan,,2
,,,0,0,0,VT20200321,20200321,VT,nan,,2
,,,0,0,0,VT20200318,,,,,
,,,0,0,0,TN20200315,,,,,
,,,0,0,0,NJ20200310,,,,,
,,,0,0,0,NJ20200309,,,,,
,,,0,0,0,WI20200309,,,,,
,,,0,0,0,NJ20200307,,,,,
,,,0,0,0,MS20200306,,,,,
373,2655,687,165,165,165,IN20201120,20201120,IN,898,277,4952
65,413,90,51,51,51,ID20201119,20201119,ID,89,,835
141,651,183,149,149,149,KS20201108,20201108,KS,183,62,1166
59,439,119,52,52,52,ID20201216,20201216,ID,118,,1231
150,1107,297,151,151,151,KS20201204,20201204,KS,283,123,1786
,,,0,0,0,IL20200301,,,,,
,,,0,0,0,KS20200213,,,,,
,,,0,0,0,MN20200110,,,,,
23,382,66,20,21,18,NM20200720,20200720,NM,nan,,578
,,,0,0,0,MS20200319,,,,,
10,142,53,63,63,63,WV20200818,20200818,WV,50,21,164
,125,,0,22,0,CA20200514,20200514,CA,1099,,3032
69,804,229,62,61,60,NV20200813,20200813,NV,260,174,1030
13,153,64,100,83,79,CO20200828,20200828,CO,nan,,1937
39,311,47,50,50,50,ND20201028,20201028,ND,32,,488
,,,0,0,0,ME20200520,20200520,ME,24,12,73
,,,0,0,0,MI20200512,20200512,MI,693,525,4674
,,,0,0,0,WI20200413,20200413,WI,175,,154
,,,0,0,0,NH20200515,20200515,NH,nan,,159
272,1185,343,153,153,153,OK20201114,20201114,OK,353,,1516
79,459,103,123,123,122,IA20201008,20201008,IA,104,38,1421
37,447,238,52,58,51,IN20200719,20200719,IN,245,81,2629
,,,0,0,0,AZ20200330,20200330,AZ,nan,,20
,,,0,0,0,SD20200704,20200704,SD,nan,,97
,,,0,0,0,WA20200321,,,,,
,,,0,0,0,MD20200519,20200519,MD,537,,1963
16,271,62,58,58,58,PR20200805,,,,,
7,51,10,16,13,13,HI20200729,20200729,HI,nan,,26
,,,0,0,0,PR20200518,,,,,
144,24,422,185,3,211,LA20200810,20200810,LA,nan,215,4169
264,1186,349,153,153,153,OK20201113,20201113,OK,353,,1493
,,,0,0,0,AR20200707,20200707,AR,nan,81,292
,,,0,0,0,NM20200414,20200414,NM,nan,,36
14,160,24,16,16,16,DE20201112,20201112,DE,22,,732
,,,0,0,0,MI20200711,20200711,MI,182,99,6067
,,,0,0,0,NM20200507,20200507,NM,nan,,172
,,,0,0,0,VA20200618,20200618,VA,241,129,1586
196,805,250,106,106,106,KY20201026,20201026,KY,253,,1410
,,,0,0,0,TN20200612,20200612,TN,nan,,468
103,615,205,154,161,155,PA20200731,20200731,PA,nan,89,7189
,,,0,0,0,OR20200319,20200319,OR,nan,,3
11,74,9,29,31,29,CT20200801,20200801,CT,nan,,4432
23,148,,13,14,0,AZ20200611,20200611,AZ,429,278,1127
49,264,,14,15,0,AZ20200714,20200714,AZ,970,674,2337
,,,0,0,0,OR20200311,,,,,
76,545,100,63,63,63,SD20201124,20201124,SD,nan,,821
114,1024,394,95,87,68,AZ20200814,20200814,AZ,473,324,4423
,,,0,0,0,VT20200413,20200413,VT,nan,,28
,,,0,0,0,WI20200312,,,,,
,,,0,0,0,TX20200605,20200605,TX,nan,,1788
,,,0,0,0,MA20200405,20200405,MA,nan,,231
,,,0,0,0,OR20200607,20200607,OR,24,11,161
0,18,3,12,45,25,NE20200616,20200616,NE,nan,,231
17,199,43,14,35,34,ID20200725,20200725,ID,40,,146
,,,0,0,0,CO20200519,20200519,CO,nan,,1257
