date,state,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage
20200901,VI,2,2
20200831,VI,1,2
20200828,VT,1,15
20200827,VI,0,2
20200826,VI,3,2
20200825,VT,1,15
20200823,VT,2,16
20200822,WY,5,28
20200820,VI,0,2
20200819,VI,0,2
20200817,VI,1,2
20200816,VI,2,2
20200814,WV,7,59
20200813,VI,0,2
20200812,VT,1,8
20200811,VI,0,2
20200810,VI,0,2
20200808,VT,0,8
20200806,AK,2,23
20200806,VI,1,2
20200805,VI,0,2
20200803,VT,1,8
20200730,AK,3,22
20200729,AK,0,22
20200729,VI,0,2
20200728,NE,4,43
20200728,VT,0,7
20200726,PR,0,2
20200725,PR,0,2
20200723,DE,1,4
20200722,CT,2,7
20200722,ND,,0
20200721,IA,29,122
20200720,NE,1,39
20200717,ND,,0
20200714,DE,,0
20200711,VI,2,2
20200710,VI,3,2
20200620,ID,,0
20200608,FL,,0
20200602,VI,,0
20200514,VI,,0
20200420,NE,,0
20200419,MT,,0
20200416,KY,,0
20200412,MI,,0
20200329,DC,,0
20200329,NJ,,0
20200327,NJ,,0
20200323,VT,,0
20200321,AZ,,0
20200320,MD,,0
20200317,NJ,,0
20200314,TN,,0
20200313,NE,,0
20201202,VI,0,2
20201201,VI,0,2
20201130,VI,0,2
20201127,VT,4,17
20201126,VI,0,2
20201124,VI,0,2
20201123,VI,0,2
20201117,VI,0,2
20201115,VI,0,2
20201114,VI,0,2
20201113,VI,0,2
20201111,VI,0,2
20201110,VI,0,2
20201109,VI,0,2
20201108,VT,0,16
20201107,VI,0,2
20201106,VI,0,2
20201105,WY,28,31
20201102,RI,6,15
20201031,VI,0,2
20201029,VI,0,2
20201027,VI,0,2
20201025,VI,0,2
20201024,VI,0,2
20201023,VI,0,2
20201022,VI,0,2
20201021,VI,0,2
20201015,VI,0,2
20201014,RI,6,15
20201012,RI,3,15
20201011,SD,46,64
20201010,VT,0,17
20201009,VI,0,2
20201007,VI,0,2
20201006,VI,0,2
20201005,VT,0,17
20201004,VI,0,2
20201003,VI,0,2
20200929,VI,0,2
20200928,VI,0,2
20200925,VT,0,17
20200923,VI,0,2
20200922,VI,0,2
20200921,VI,0,2
20200920,VT,0,17
20200919,VI,0,2
20200918,VT,0,17
20200916,VI,0,2
20200914,VT,0,17
20200912,VT,1,17
20200911,VI,1,2
20200910,VI,0,2
20200905,VI,0,2
20210307,WY,5,31
20210306,VI,0,2
20210305,VI,0,2
20210304,VI,0,2
20210303,VI,0,2
20210226,VI,1,2
20210225,VI,0,2
20210223,VI,1,2
20210222,RI,4,15
20210221,VI,0,2
20210220,VI,0,2
20210219,VI,0,2
20210218,UT,32,59
20210217,VT,5,17
20210216,WA,72,95
20210214,AK,3,23
20210213,AK,2,23
20210213,VI,0,2
20210212,VI,0,2
20210205,VI,0,2
20210203,VI,0,2
20210201,VT,3,17
20210130,VI,0,2
20210125,VI,0,2
20210120,VI,0,2
20210119,VI,0,2
20210118,VI,0,2
20210117,VI,0,2
20210114,VI,0,2
20210112,VI,0,2
20210111,VI,0,2
20210110,VI,0,2
20210108,VI,0,2
20210107,VI,0,2
20210106,VI,0,2
20210104,UT,87,53
20201228,VI,0,2
20201225,VI,0,2
20201223,VI,0,2
20201222,VI,0,2
20201219,VI,0,2
20201210,VI,0,2
20201204,VI,0,2
20210611,VT,0,17
20210610,VI,2,2
20210608,AK,1,22
20210607,VI,0,2
20210603,VT,0,17
20210602,VT,3,17
20210507,VI,0,2
20210506,VI,0,2
20210504,VI,0,2
20210503,VI,0,2
20210501,VI,1,2
20210430,VI,0,2
20210429,VI,0,2
20210427,AK,6,22
20210427,VI,0,2
20210426,VI,1,2
20210425,VI,2,2
20210418,VI,0,2
20210417,VI,0,2
20210416,VI,0,2
20210414,AK,6,24
20210414,VT,3,17
20210413,VI,0,2
20210412,VI,1,2
20210411,UT,10,59
20210409,VI,0,2
20210408,VI,2,2
20210403,VI,0,2
20210401,VI,0,2
20210331,UT,18,59
20210328,UT,18,59
20210327,UT,27,59
20210311,VI,1,2
20210310,VI,1,2
20210308,SD,6,63
20200310,MI,,0
20200310,WY,,0
20200308,NJ,,0
20200303,NJ,,0
20200218,AL,,0
20200214,KS,,0
20200128,AL,,0
20200107,TX,,0
20200723,SD,2,23
20200322,HI,1,10
20200820,DE,5,13
20200816,TN,103,111
20200831,IN,59,142
20201030,MT,81,67
20200523,NJ,,0
20200515,NM,,0
20200415,DC,,0
20200607,AL,,0
20200518,RI,0,1
20201116,NY,311,187
20201010,GA,279,161
20200920,IA,38,124
20200722,MS,61,46
20200402,GA,,0
20200707,WY,,0
20200324,NJ,,0
20200522,NH,,0
20200808,WA,27,68
20200801,ME,4,27
20200521,WA,,0
20200517,IL,,0
20200813,ND,8,48
20201115,NY,382,193
20200710,IA,10,43
20200417,SD,,0
20200317,VA,,0
20201114,CT,121,32
20201201,NJ,508,79
20200714,NM,,0
20200918,NH,2,30
20200510,SD,,0
20200914,NM,5,49
20200620,AZ,,0
20201028,IN,159,160
20200614,AK,,0
20200322,MN,,0
20200804,KS,26,84
20200614,ID,,0
20200717,ID,18,21
20200314,AR,,0
20201126,RI,35,15
20200817,ID,25,48
20200415,CO,,0
20200315,MD,,0
20200408,NC,,0
20200918,AR,57,102
20200610,VI,,0
20200619,PR,,0
20200728,MN,23,86
20200522,IN,,0
20201018,RI,11,15
20200807,HI,36,23
20201103,MS,74,100
20200913,NY,73,174
20200731,ME,5,28
20200724,MT,16,18
20200426,WV,,0
20200521,FL,,0
20200912,NV,47,62
20201129,AR,128,111
20200313,NC,,0
20200619,ME,,0
20200806,NM,15,36
20200414,CT,,0
20201102,GA,257,155
20200523,HI,1,15
20200504,MT,,0
20200821,UT,18,54
20200331,NH,,0
20200528,NC,,0
20201107,PA,283,225
20200504,TX,,0
20201125,RI,25,15
20200520,VT,,0
20200423,OH,,0
20200714,IL,,0
20200616,IA,0,12
20200508,LA,29,112
20200813,KS,29,109
20200513,NY,0,1
20200916,IL,90,194
20200805,OR,13,45
20200916,NY,89,174
20200417,GA,,0
20200915,LA,91,193
20200327,OH,,0
20201007,RI,4,15
20200826,VA,46,87
20200529,WY,,0
20201128,IL,588,200
20201111,CT,101,31
20200712,RI,0,1
20200807,TN,152,111
20200927,WY,10,30
20200602,HI,0,12
20200323,NV,,0
20200830,NJ,38,77
20200924,CT,11,32
20200429,TN,,0
20200926,FL,255,260
20200505,VI,,0
20201007,SD,53,64
20200709,MT,,0
20200929,WV,20,63
20200729,MD,59,35
20200810,MN,31,101
20201110,VA,117,97
20201107,AL,174,112
20201018,ID,24,50
20200810,AL,76,61
20200720,IN,37,49
20200720,MT,6,14
20200406,VA,,0
20200607,IA,,0
20200706,NJ,,0
20200616,MA,,0
20200610,WI,,0
20201119,WI,473,149
20200630,CO,,0
20201121,MN,210,140
20200818,KY,379,107
20200618,NE,1,14
20200514,MT,,0
20200609,HI,0,11
20201117,TX,1261,586
20201031,SD,62,65
20200719,DE,2,4
20201102,AL,166,106
20200719,AZ,143,69
20201202,NH,32,30
20200707,PR,,0
20200724,SC,181,54
20200602,AK,,0
20200927,MA,40,102
20200519,NC,,0
20200723,GA,241,84
20200805,MI,33,132
20200406,GA,,0
20200601,NM,,0
20200725,KS,33,81
20200528,VI,,0
20200401,WV,,0
20200924,KY,133,114
20201111,KY,332,124
20200404,MS,,0
20200501,GA,,0
20200423,NM,,0
20201023,TX,783,585
20200412,SD,,0
20200513,IA,10,40
20200802,SD,6,37
20200507,NE,,0
20200711,ME,0,1
20200911,FL,281,260
20200329,ND,,0
20200409,CO,,0
20201023,MS,80,107
20200724,CA,744,304
