state,date,cases.fitted,cases.fitted.hi,cases.fitted.lo,cum.incidence,cum.incidence.hi,cum.incidence.lo,deaths,deaths.diagnosed,deaths.diagnosed.hi,deaths.diagnosed.lo,deaths.fitted,deaths.fitted.hi,deaths.fitted.lo,deaths.hi,deaths.lo,diagnoses,diagnoses.hi,diagnoses.lo,infections,infections.hi,infections.lo,pop.infectiousness,pop.infectiousness.hi,pop.infectiousness.lo,Rt,Rt.hi,Rt.lo,sero.positive,sero.positive.hi,sero.positive.lo,severe,severe.hi,severe.lo,symptomatic,symptomatic.diagnosed,symptomatic.diagnosed.hi,symptomatic.diagnosed.lo,symptomatic.hi,symptomatic.lo,data.available,selected_row
Massachusetts,20210101,5407.52,,,2.3942e+06,,,69.828,68.1038,,,67.0659,,,,,5446.47,,,14767.7,,,14802.2,,,0.979335,,,851222,,,278.069,,,12176.2,5380.56,,,,,TRUE,1
Massachusetts,20210102,5428.41,,,2.40889e+06,,,70.411,68.672,,,67.6698,,,,,5457.29,,,14685.9,,,14833.1,,,0.972727,,,861107,,,279.547,,,12187.5,5391.73,,,,,TRUE,1
Massachusetts,20210103,5443.16,,,2.42348e+06,,,70.9717,69.2182,,,68.2524,,,,,5460.8,,,14585.3,,,14846.6,,,0.966315,,,870834,,,280.86,,,12184.4,5395.73,,,,,TRUE,1
Massachusetts,20210104,5451.12,,,2.43794e+06,,,71.5086,69.741,,,68.8132,,,,,5456.48,,,14466.9,,,14841.8,,,0.960169,,,880385,,,281.983,,,12166.2,5392.04,,,,,TRUE,1
Massachusetts,20210105,5451.71,,,2.45228e+06,,,72.0194,70.2379,,,69.351,,,,,5443.92,,,14331.9,,,14817.9,,,0.954358,,,889741,,,282.894,,,12132.8,5380.22,,,,,TRUE,1
Massachusetts,20210106,5444.45,,,2.46646e+06,,,72.5014,70.7064,,,69.864,,,,,5422.8,,,14182,,,14774.8,,,0.948938,,,898886,,,283.57,,,12084.1,5359.98,,,,,TRUE,1
Massachusetts,20210107,5428.95,,,2.48048e+06,,,72.9514,71.1432,,,70.3498,,,,,5392.95,,,14018.8,,,14712.4,,,0.94391,,,907804,,,283.994,,,12020.4,5331.1,,,,,TRUE,1
Massachusetts,20210108,5404.98,,,2.49432e+06,,,73.3659,71.5448,,,70.8058,,,,,5354.3,,,13843.7,,,14631.2,,,0.939259,,,916482,,,284.151,,,11942.2,5293.54,,,,,TRUE,1
Massachusetts,20210109,5372.37,,,2.50798e+06,,,73.7412,71.9076,,,71.2286,,,,,5306.92,,,13658.2,,,14532,,,0.934969,,,924909,,,284.029,,,11850.3,5247.33,,,,,TRUE,1
Massachusetts,20210110,5331.12,,,2.52144e+06,,,74.0733,72.2277,,,71.6149,,,,,5250.99,,,13463.8,,,14415.7,,,0.931023,,,933074,,,283.619,,,11745.5,5192.65,,,,,TRUE,1
Massachusetts,20210111,5281.3,,,2.5347e+06,,,74.3585,72.5013,,,71.9611,,,,,5186.8,,,13261.8,,,14283.4,,,0.927406,,,940968,,,282.917,,,11628.7,5129.78,,,,,TRUE,1
Massachusetts,20210112,5223.14,,,2.54776e+06,,,74.5929,72.7248,,,72.2634,,,,,5114.73,,,13053.5,,,14136.6,,,0.924093,,,948582,,,281.922,,,11501.1,5059.1,,,,,TRUE,1
Massachusetts,20210113,5156.93,,,2.5606e+06,,,74.7732,72.8948,,,72.5182,,,,,5035.25,,,12840,,,13976.5,,,0.92106,,,955912,,,280.638,,,11363.7,4981.05,,,,,TRUE,1
Massachusetts,20210114,5083.08,,,2.57322e+06,,,74.8962,73.0082,,,72.7222,,,,,4948.9,,,12622.3,,,13804.7,,,0.918282,,,962950,,,279.071,,,11217.6,4896.16,,,,,TRUE,1
Massachusetts,20210115,5002.06,,,2.58562e+06,,,74.9591,73.0624,,,72.8719,,,,,4856.27,,,12401.4,,,13622.5,,,0.915732,,,969693,,,277.229,,,11063.8,4805.02,,,,,TRUE,1
Massachusetts,20210116,4914.39,,,2.5978e+06,,,74.9597,73.0551,,,72.9647,,,,,4757.97,,,12178,,,13431.2,,,0.913389,,,976137,,,275.124,,,10903.5,4708.23,,,,,TRUE,1
Massachusetts,20210117,4820.68,,,2.60975e+06,,,74.8962,72.9847,,,72.998,,,,,4654.66,,,11953.2,,,13232.2,,,0.911259,,,982279,,,272.769,,,10737.5,4606.45,,,,,TRUE,1
Massachusetts,20210118,4721.53,,,2.62148e+06,,,74.7675,72.8502,,,72.9699,,,,,4547,,,11727.5,,,13026.7,,,0.909361,,,988117,,,270.18,,,10566.7,4500.33,,,,,TRUE,1
Massachusetts,20210119,4617.59,,,2.63298e+06,,,74.5731,72.6509,,,72.8789,,,,,4435.65,,,11501.9,,,12815.8,,,0.907718,,,993651,,,267.372,,,10392.1,4390.51,,,,,TRUE,1
Massachusetts,20210120,4509.5,,,2.64426e+06,,,74.3127,72.3868,,,72.7241,,,,,4321.27,,,11277.3,,,12600.5,,,0.90635,,,998880,,,264.362,,,10214.5,4277.65,,,,,TRUE,1
Massachusetts,20210121,4397.9,,,2.65531e+06,,,73.9871,72.0586,,,72.5051,,,,,4204.47,,,11054.4,,,12381.8,,,0.905278,,,1.00381e+06,,,261.169,,,10034.6,4162.37,,,,,TRUE,1
Massachusetts,20210122,4283.45,,,2.66615e+06,,,73.5972,71.6672,,,72.2221,,,,,4085.89,,,10834.2,,,12160.7,,,0.904536,,,1.00843e+06,,,257.81,,,9853.12,4045.28,,,,,TRUE,1
Massachusetts,20210123,4166.76,,,2.67676e+06,,,73.1445,71.2143,,,71.8758,,,,,3966.11,,,10617.4,,,11938,,,0.904163,,,1.01275e+06,,,254.304,,,9670.89,3926.98,,,,,TRUE,1
Massachusetts,20210124,4048.44,,,2.68717e+06,,,72.631,70.7019,,,71.4674,,,,,3845.71,,,10405.1,,,11714.6,,,0.904199,,,1.01678e+06,,,250.669,,,9488.59,3808.02,,,,,TRUE,1
Massachusetts,20210125,3929.08,,,2.69737e+06,,,72.0592,70.1323,,,70.9985,,,,,3725.23,,,10198.1,,,11491.3,,,0.904685,,,1.02052e+06,,,246.922,,,9306.94,3688.96,,,,,TRUE,1
Massachusetts,20210126,3809.23,,,2.70736e+06,,,71.4318,69.5082,,,70.4711,,,,,3605.19,,,9997.37,,,11268.9,,,0.905661,,,1.02397e+06,,,243.083,,,9126.66,3570.3,,,,,TRUE,1
Massachusetts,20210127,3689.43,,,2.71717e+06,,,70.7518,68.8328,,,69.8878,,,,,3486.08,,,9803.81,,,11048.4,,,0.907141,,,1.02714e+06,,,239.169,,,8948.49,3452.52,,,,,TRUE,1
Massachusetts,20210128,3570.18,,,2.72679e+06,,,70.0226,68.1094,,,69.2514,,,,,3368.34,,,9618.18,,,10830.7,,,0.909114,,,1.03005e+06,,,235.198,,,8773.14,3336.08,,,,,TRUE,1
Massachusetts,20210129,3451.96,,,2.73623e+06,,,69.2479,67.3416,,,68.5649,,,,,3252.42,,,9441.17,,,10616.5,,,0.911568,,,1.03269e+06,,,231.189,,,8601.35,3221.4,,,,,TRUE,1
Massachusetts,20210130,3335.22,,,2.7455e+06,,,68.4314,66.5331,,,67.8317,,,,,3138.69,,,9273.37,,,10406.8,,,0.914491,,,1.03507e+06,,,227.159,,,8433.84,3108.87,,,,,TRUE,1
Massachusetts,20210131,3220.38,,,2.75462e+06,,,67.5772,65.6879,,,67.0555,,,,,3027.52,,,9115.29,,,10202.5,,,0.917869,,,1.03722e+06,,,223.126,,,8271.27,2998.84,,,,,TRUE,1
Massachusetts,20210201,3107.8,,,2.76358e+06,,,66.6893,64.81,,,66.2399,,,,,2919.24,,,8967.31,,,10004.4,,,0.921656,,,1.03913e+06,,,219.108,,,8114.31,2891.65,,,,,TRUE,1
Massachusetts,20210202,2997.85,,,2.77241e+06,,,65.7721,63.9038,,,65.3891,,,,,2814.14,,,8829.58,,,9813.36,,,0.925755,,,1.04081e+06,,,215.122,,,7963.54,2787.58,,,,,TRUE,1
Massachusetts,20210203,2890.84,,,2.78112e+06,,,64.8299,62.9735,,,64.5071,,,,,2712.47,,,8702.08,,,9630.07,,,0.930067,,,1.04229e+06,,,211.186,,,7819.47,2686.88,,,,,TRUE,1
Massachusetts,20210204,2787.05,,,2.7897e+06,,,63.8672,62.0235,,,63.598,,,,,2614.46,,,8584.57,,,9455.19,,,0.934488,,,1.04355e+06,,,207.314,,,7682.56,2589.79,,,,,TRUE,1
Massachusetts,20210205,2686.72,,,2.79818e+06,,,62.8883,61.058,,,62.6662,,,,,2520.29,,,8476.69,,,9289.29,,,0.938917,,,1.04463e+06,,,203.523,,,7553.14,2496.49,,,,,TRUE,1
Massachusetts,20210206,2590.07,,,2.80655e+06,,,61.8978,60.0816,,,61.7161,,,,,2430.11,,,8377.88,,,9132.77,,,0.943239,,,1.04552e+06,,,199.827,,,7431.44,2407.12,,,,,TRUE,1
Massachusetts,20210207,2497.27,,,2.81484e+06,,,60.9002,59.0986,,,60.7519,,,,,2344.02,,,8287.41,,,8985.94,,,0.947328,,,1.04624e+06,,,196.24,,,7317.54,2321.79,,,,,TRUE,1
Massachusetts,20210208,2408.45,,,2.82305e+06,,,59.8997,58.1134,,,59.778,,,,,2262.11,,,8204.38,,,8848.89,,,0.951054,,,1.04679e+06,,,192.773,,,7211.43,2240.58,,,,,TRUE,1
Massachusetts,20210209,2323.7,,,2.83117e+06,,,58.9008,57.13,,,58.7988,,,,,2184.4,,,8127.71,,,8721.6,,,0.954288,,,1.04719e+06,,,189.436,,,7112.93,2163.53,,,,,TRUE,1
Massachusetts,20210210,2243.1,,,2.83923e+06,,,57.9076,56.1526,,,57.8184,,,,,2110.9,,,8056.17,,,8603.83,,,0.956896,,,1.04742e+06,,,186.237,,,7021.75,2090.65,,,,,TRUE,1
Massachusetts,20210211,2166.67,,,2.84722e+06,,,56.9241,55.1851,,,56.8411,,,,,2041.56,,,7988.39,,,8495.21,,,0.95877,,,1.04751e+06,,,183.182,,,6937.43,2021.89,,,,,TRUE,1
Massachusetts,20210212,2094.4,,,2.85514e+06,,,55.9541,54.2311,,,55.8707,,,,,1976.33,,,7922.97,,,8395.16,,,0.959849,,,1.04745e+06,,,180.276,,,6859.42,1957.2,,,,,TRUE,1
Massachusetts,20210213,2026.25,,,2.863e+06,,,55.001,53.2942,,,54.9112,,,,,1915.12,,,7858.47,,,8302.96,,,0.960082,,,1.04725e+06,,,177.519,,,6786.99,1896.48,,,,,TRUE,1
Massachusetts,20210214,1962.15,,,2.87079e+06,,,54.0682,52.3773,,,53.9659,,,,,1857.83,,,7793.41,,,8217.7,,,0.959419,,,1.04691e+06,,,174.91,,,6719.34,1839.67,,,,,TRUE,1
