timestep,date,n_admitted_InGeneralWard
0,20201103,0
1,20201104,4
2,20201105,14
3,20201106,5
4,20201107,5
5,20201108,11
6,20201109,8
7,20201110,11
8,20201111,4
9,20201112,9
10,20201113,8
11,20201114,4
12,20201115,7
13,20201116,11
14,20201117,7
15,20201118,6
16,20201119,5
17,20201120,6
18,20201121,10
19,20201122,6
20,20201123,16
21,20201124,13
22,20201125,12
23,20201126,10
24,20201127,6
25,20201128,5
26,20201129,9
27,20201130,5
28,20201201,15
29,20201202,24
30,20201203,19
31,20201204,14
32,20201205,12
33,20201206,16
34,20201207,8
35,20201208,10
36,20201209,10
37,20201210,13
38,20201211,17
39,20201212,10
40,20201213,27
41,20201214,22
42,20201215,14
43,20201216,6
44,20201217,29
45,20201218,36
46,20201219,25
47,20201220,33
48,20201221,17
49,20201222,51
50,20201223,28
51,20201224,26
52,20201225,13
53,20201226,33
54,20201227,32
55,20201228,29
56,20201229,56
57,20201230,79
58,20201231,50
59,20210101,53
60,20210102,73
61,20210103,56
62,20210104,48
63,20210105,51
64,20210106,55
65,20210107,58
66,20210108,43
67,20210109,42
68,20210110,42
69,20210111,43
70,20210112,55
71,20210113,52
72,20210114,58
73,20210115,46
74,20210116,47
75,20210117,54
76,20210118,52
77,20210119,42
78,20210120,54
79,20210121,52
80,20210122,31
81,20210123,6
82,20210124,32
83,20210125,23
84,20210126,23
85,20210127,34
86,20210128,43
87,20210129,31
88,20210130,26
89,20210131,28
90,20210201,44
91,20210202,36
92,20210203,37
