timestep,date,num_InGeneralWard
0,20201103,0
1,20201104,10
2,20201105,26
3,20201106,15
4,20201107,8
5,20201108,16
6,20201109,22
7,20201110,23
8,20201111,14
9,20201112,16
10,20201113,7
11,20201114,17
12,20201115,17
13,20201116,20
14,20201117,26
15,20201118,18
16,20201119,19
17,20201120,14
18,20201121,20
19,20201122,7
20,20201123,7
21,20201124,9
22,20201125,9
23,20201126,13
24,20201127,13
25,20201128,7
26,20201129,7
27,20201130,10
28,20201201,7
29,20201202,8
30,20201203,13
31,20201204,20
32,20201205,7
33,20201206,7
34,20201207,11
35,20201208,9
36,20201209,5
37,20201210,5
38,20201211,10
39,20201212,6
40,20201213,9
41,20201214,10
42,20201215,14
43,20201216,5
44,20201217,10
45,20201218,12
46,20201219,8
47,20201220,7
48,20201221,13
49,20201222,18
50,20201223,16
51,20201224,11
52,20201225,8
53,20201226,10
54,20201227,19
55,20201228,28
56,20201229,19
57,20201230,26
58,20201231,25
59,20210101,18
60,20210102,8
61,20210103,21
62,20210104,26
63,20210105,20
64,20210106,18
65,20210107,36
66,20210108,34
67,20210109,14
68,20210110,22
69,20210111,45
70,20210112,45
71,20210113,29
72,20210114,27
73,20210115,30
74,20210116,30
75,20210117,26
76,20210118,35
77,20210119,21
78,20210120,35
79,20210121,35
80,20210122,26
81,20210123,25
82,20210124,30
83,20210125,16
84,20210126,25
85,20210127,28
86,20210128,27
87,20210129,24
88,20210130,15
89,20210131,14
90,20210201,21
91,20210202,27
92,20210203,19
