timestep,date,n_admitted_InGeneralWard
0,20201111,0
1,20201112,575
2,20201113,536
3,20201114,574
4,20201115,567
5,20201116,586
6,20201117,685
7,20201118,713
8,20201119,707
9,20201120,803
10,20201121,788
11,20201122,797
12,20201123,826
13,20201124,995
14,20201125,1003
15,20201126,1055
16,20201127,961
17,20201128,1159
18,20201129,1131
19,20201130,1110
20,20201201,1203
21,20201202,1217
22,20201203,1308
23,20201204,1374
24,20201205,1456
25,20201206,1365
26,20201207,1411
27,20201208,1549
28,20201209,1679
29,20201210,1753
30,20201211,1864
31,20201212,1931
32,20201213,1827
33,20201214,1861
34,20201215,2143
35,20201216,2115
36,20201217,2259
37,20201218,2341
38,20201219,2193
39,20201220,2070
40,20201221,2100
41,20201222,2358
42,20201223,2399
43,20201224,2264
44,20201225,2148
45,20201226,2095
46,20201227,2287
47,20201228,2216
48,20201229,2262
49,20201230,2359
50,20201231,2273
51,20210101,2239
52,20210102,2276
53,20210103,2233
54,20210104,2247
55,20210105,2550
56,20210106,2515
57,20210107,2378
58,20210108,2400
59,20210109,2314
60,20210110,1773
61,20210111,1932
62,20210112,2248
63,20210113,2201
64,20210114,2142
65,20210115,2198
66,20210116,2178
67,20210117,1866
68,20210118,1811
69,20210119,1952
70,20210120,1933
71,20210121,1763
72,20210122,1807
73,20210123,1800
74,20210124,1504
75,20210125,1374
76,20210126,1605
77,20210127,1496
78,20210128,1555
79,20210129,1503
80,20210130,1436
81,20210131,1149
82,20210201,1128
83,20210202,1295
84,20210203,1305
85,20210204,1249
86,20210205,1135
87,20210206,1116
88,20210207,940
89,20210208,834
90,20210209,1020
91,20210210,921
92,20210211,923
