timestep,date,n_discharged_InGeneralWard,n_InGeneralWard,n_OffVentInICU,n_OnVentInICU,n_InICU,n_occupied_beds,n_TERMINAL,n_TERMINAL_5daysSmoothed
0,20201111,,2421,,,1006,3427,69,45
1,20201112,,2488,,,1010,3498,38,54
2,20201113,,2590,,,1031,3621,29,50
3,20201114,,2674,,,1024,3698,81,39
4,20201115,,2856,,,1094,3950,35,38
5,20201116,,3145,,,1131,4276,10,45
6,20201117,,3128,,,1206,4334,36,50
7,20201118,,3390,,,1258,4648,61,61
8,20201119,,3514,,,1253,4767,106,76
9,20201120,,3735,,,1332,5067,91,75
10,20201121,,3887,,,1332,5219,86,73
11,20201122,,4120,,,1390,5510,33,61
12,20201123,,4422,,,1455,5877,50,64
13,20201124,,4742,,,1514,6256,43,67
14,20201125,,4941,,,1551,6492,106,71
15,20201126,,5092,,,1617,6709,104,73
16,20201127,,5377,,,1726,7103,54,70
17,20201128,,5747,,,1763,7510,56,53
18,20201129,,6001,,,1823,7824,32,46
19,20201130,,6358,,,1919,8277,20,58
20,20201201,,6469,,,2000,8469,70,70
21,20201202,,6731,,,2121,8852,113,92
22,20201203,,6920,,,2147,9067,113,130
23,20201204,,7279,,,2248,9527,145,133
24,20201205,,7493,,,2265,9758,209,122
25,20201206,,7684,,,2393,10077,85,122
26,20201207,,8148,,,2470,10618,59,132
27,20201208,,8524,,,2526,11050,112,134
28,20201209,,8947,,,2627,11574,196,149
29,20201210,,9421,,,2710,12131,220,182
30,20201211,,9767,,,2773,12540,159,184
31,20201212,,10238,,,2866,13104,225,161
32,20201213,,10671,,,2937,13608,122,145
33,20201214,,11134,,,3078,14212,77,172
34,20201215,,11753,,,3193,14946,142,203
35,20201216,,12219,,,3297,15516,293,238
36,20201217,,12611,,,3392,16003,379,277
37,20201218,,12988,,,3553,16541,300,281
38,20201219,,13203,,,3620,16823,272,239
39,20201220,,13532,,,3710,17242,161,213
40,20201221,,14060,,,3756,17816,83,225
41,20201222,,14526,,,3861,18387,247,241
42,20201223,,14909,,,3955,18864,361,271
43,20201224,,15084,,,4069,19153,351,261
44,20201225,,14881,,,4035,18916,312,259
45,20201226,,15200,,,4131,19331,36,200
46,20201227,,15623,,,4214,19837,237,178
47,20201228,,16017,,,4360,20377,64,202
48,20201229,,16137,,,4390,20527,242,281
49,20201230,,16257,,,4478,20735,432,350
50,20201231,,16015,,,4518,20533,428,415
51,20210101,,15828,,,4618,20446,585,402
52,20210102,,16245,,,4606,20851,386,335
53,20210103,,16473,,,4613,21086,181,323
54,20210104,,16915,,,4671,21586,97,298
55,20210105,,17102,,,4734,21836,368,338
56,20210106,,17209,,,4731,21940,459,400
57,20210107,,16989,,,4811,21800,583,520
58,20210108,,16863,,,4905,21768,493,540
59,20210109,,16738,,,4939,21677,695,501
60,20210110,,16649,,,4965,21614,468,480
61,20210111,,16833,,,4971,21804,264,476
62,20210112,,16766,,,4962,21728,548,484
63,20210113,,16530,,,4929,21459,589,518
64,20210114,,16206,,,4878,21084,552,599
65,20210115,,16038,,,4833,20871,637,576
66,20210116,,15555,,,4846,20401,669,498
67,20210117,,15450,,,4820,20270,432,417
68,20210118,,15394,,,4826,20220,201,428
69,20210119,,15236,,,4793,20029,146,409
70,20210120,,14910,,,4758,19668,694,475
71,20210121,,14388,,,4746,19134,571,554
72,20210122,,13951,,,4718,18669,764,610
73,20210123,,13354,,,4641,17995,593,537
74,20210124,,13039,,,4542,17581,429,505
75,20210125,,12895,,,4475,17370,328,491
76,20210126,,12522,,,4384,16906,409,520
77,20210127,,12047,,,4375,16422,697,558
78,20210128,,11559,,,4283,15842,737,620
79,20210129,,11256,,,4232,15488,617,634
80,20210130,,10766,,,4042,14808,638,537
81,20210131,,10506,,,4047,14553,481,474
82,20210201,,10395,,,3949,14344,211,447
83,20210202,,10088,,,3894,13982,422,450
84,20210203,,9690,,,3772,13462,481,465
85,20210204,,9428,,,3756,13184,655,548
86,20210205,,8930,,,3527,12457,558,522
87,20210206,,8439,,,3479,11918,623,468
88,20210207,,8169,,,3339,11508,295,402
89,20210208,,7962,,,3313,11275,208,394
90,20210209,,7701,,,3264,10965,327,362
91,20210210,,7435,,,3127,10562,518,378
92,20210211,,7060,,,2996,10056,461,435
