timestep,date,n_admitted_InGeneralWard
0,20201111,0
1,20201112,82
2,20201113,111
3,20201114,101
4,20201115,91
5,20201116,113
6,20201117,145
7,20201118,142
8,20201119,129
9,20201120,108
10,20201121,132
11,20201122,122
12,20201123,111
13,20201124,125
14,20201125,117
15,20201126,133
16,20201127,111
17,20201128,140
18,20201129,159
19,20201130,123
20,20201201,183
21,20201202,214
22,20201203,196
23,20201204,190
24,20201205,193
25,20201206,186
26,20201207,179
27,20201208,231
28,20201209,292
29,20201210,264
30,20201211,280
31,20201212,301
32,20201213,236
33,20201214,214
34,20201215,233
35,20201216,294
36,20201217,298
37,20201218,251
38,20201219,284
39,20201220,286
40,20201221,189
41,20201222,261
42,20201223,299
43,20201224,280
44,20201225,280
45,20201226,262
46,20201227,283
47,20201228,229
48,20201229,279
49,20201230,320
50,20201231,334
51,20210101,309
52,20210102,255
53,20210103,267
54,20210104,229
55,20210105,325
56,20210106,280
57,20210107,297
58,20210108,282
59,20210109,269
60,20210110,228
61,20210111,195
62,20210112,274
63,20210113,339
64,20210114,308
65,20210115,294
66,20210116,276
67,20210117,239
68,20210118,203
69,20210119,243
70,20210120,241
71,20210121,231
72,20210122,264
73,20210123,223
74,20210124,196
75,20210125,177
76,20210126,221
77,20210127,233
78,20210128,225
79,20210129,215
80,20210130,206
81,20210131,159
82,20210201,171
83,20210202,169
84,20210203,184
85,20210204,196
86,20210205,189
87,20210206,201
88,20210207,158
89,20210208,127
90,20210209,148
91,20210210,144
92,20210211,138
