timestep,date,n_discharged_InGeneralWard,n_InGeneralWard,n_OffVentInICU,n_OnVentInICU,n_InICU,n_occupied_beds,n_TERMINAL,n_TERMINAL_5daysSmoothed
0,20201111,,368,80,72,152,520,38,27
1,20201112,,365,83,68,151,516,20,27
2,20201113,,417,82,71,153,570,23,29
3,20201114,,437,80,71,151,588,28,24
4,20201115,,482,89,70,159,641,36,24
5,20201116,,525,85,74,159,684,11,28
6,20201117,,553,86,73,159,712,20,28
7,20201118,,574,101,72,173,747,47,28
8,20201119,,564,106,75,181,745,28,30
9,20201120,,533,104,75,179,712,34,30
10,20201121,,531,102,85,187,718,19,25
11,20201122,,531,104,88,192,723,24,23
12,20201123,,555,113,91,204,759,19,27
13,20201124,,540,106,99,205,745,20,23
14,20201125,,574,100,108,208,782,53,25
15,20201126,,587,100,108,208,795,0,29
16,20201127,,620,100,109,209,829,31,34
17,20201128,,638,114,111,225,863,41,29
18,20201129,,717,128,110,238,955,46,35
19,20201130,,726,118,126,244,970,26,38
20,20201201,,750,109,130,239,989,30,40
21,20201202,,845,138,126,264,1109,46,38
22,20201203,,893,124,137,261,1154,50,41
23,20201204,,922,144,134,278,1200,36,45
24,20201205,,877,145,138,283,1160,43,42
25,20201206,,969,159,139,298,1267,51,40
26,20201207,,969,149,153,302,1271,31,51
27,20201208,,998,144,166,310,1308,41,51
28,20201209,,1067,146,162,308,1375,90,51
29,20201210,,1065,139,168,307,1372,43,54
30,20201211,,1077,144,165,309,1386,48,55
31,20201212,,1105,164,170,334,1439,50,44
32,20201213,,1164,164,178,342,1506,42,47
33,20201214,,1156,168,186,354,1510,39,51
34,20201215,,1154,171,200,371,1525,55,50
35,20201216,,1228,177,205,382,1610,70,52
36,20201217,,1257,176,207,383,1640,45,54
37,20201218,,1274,166,204,370,1644,52,55
38,20201219,,1256,187,196,383,1639,47,49
39,20201220,,1289,182,205,387,1676,60,49
40,20201221,,1236,195,215,410,1646,42,55
41,20201222,,1550,179,233,412,1962,45,61
42,20201223,,1399,183,226,409,1808,83,49
43,20201224,,1390,177,232,409,1799,76,50
44,20201225,,1372,177,232,409,1781,0,61
45,20201226,,1455,184,232,416,1871,47,54
46,20201227,,1495,186,230,416,1911,100,51
47,20201228,,1458,196,234,430,1888,48,75
48,20201229,,1448,206,225,431,1879,60,83
49,20201230,,1554,202,231,433,1987,120,63
50,20201231,,1597,177,240,417,2014,85,69
51,20210101,,1582,177,240,417,1999,0,78
52,20210102,,1583,166,246,412,1995,79,67
53,20210103,,1645,158,258,416,2061,108,62
54,20210104,,1643,165,258,423,2066,61,83
55,20210105,,1536,161,264,425,1961,63,81
56,20210106,,1543,161,281,442,1985,102,75
57,20210107,,1545,178,277,455,2000,73,81
58,20210108,,1515,160,280,440,1955,76,83
59,20210109,,1417,165,280,445,1862,89,74
60,20210110,,1428,177,282,459,1887,77,74
61,20210111,,1378,166,285,451,1829,55,74
62,20210112,,1346,180,271,451,1797,67,72
63,20210113,,1446,175,286,461,1907,86,72
64,20210114,,1431,160,294,454,1885,74,75
65,20210115,,1458,158,293,451,1909,76,76
66,20210116,,1423,139,294,433,1856,74,69
67,20210117,,1474,145,288,433,1907,69,63
68,20210118,,1419,139,288,427,1846,53,64
69,20210119,,1391,155,277,432,1823,44,65
70,20210120,,1428,145,299,444,1872,80,67
71,20210121,,1380,143,287,430,1810,77,72
72,20210122,,1345,144,282,426,1771,81,77
73,20210123,,1259,127,291,418,1677,77,70
74,20210124,,1254,123,286,409,1663,69,63
75,20210125,,1168,133,285,418,1586,45,63
76,20210126,,1170,153,278,431,1601,42,57
77,20210127,,1121,148,270,418,1539,84,62
78,20210128,,1086,187,255,442,1528,44,71
79,20210129,,1072,164,248,412,1484,96,71
80,20210130,,1055,154,239,393,1448,87,61
81,20210131,,1056,140,231,371,1427,46,61
82,20210201,,982,151,222,373,1355,30,53
83,20210202,,1020,129,224,353,1373,45,51
84,20210203,,980,132,203,335,1315,56,56
85,20210204,,957,127,208,335,1292,76,63
86,20210205,,927,126,196,322,1249,75,69
87,20210206,,847,121,189,310,1157,62,69
88,20210207,,824,127,191,318,1142,78,68
89,20210208,,804,141,188,329,1133,55,70
90,20210209,,788,133,191,324,1112,70,70
91,20210210,,784,126,183,309,1093,83,68
92,20210211,,694,119,185,304,998,62,72
