timestep,date,n_admitted_InGeneralWard
0,20201111,0
1,20201112,81
2,20201113,74
3,20201114,64
4,20201115,68
5,20201116,55
6,20201117,93
7,20201118,64
8,20201119,80
9,20201120,72
10,20201121,66
11,20201122,50
12,20201123,56
13,20201124,76
14,20201125,63
15,20201126,43
16,20201127,41
17,20201128,66
18,20201129,40
19,20201130,50
20,20201201,52
21,20201202,50
22,20201203,47
23,20201204,50
24,20201205,49
25,20201206,33
26,20201207,45
27,20201208,58
28,20201209,40
29,20201210,38
30,20201211,33
31,20201212,44
32,20201213,19
33,20201214,31
34,20201215,35
35,20201216,32
36,20201217,31
37,20201218,41
38,20201219,34
39,20201220,15
40,20201221,24
41,20201222,27
42,20201223,23
43,20201224,29
44,20201225,19
45,20201226,17
46,20201227,24
47,20201228,26
48,20201229,34
49,20201230,26
50,20201231,24
51,20210101,20
52,20210102,20
53,20210103,23
54,20210104,16
55,20210105,26
56,20210106,26
57,20210107,23
58,20210108,19
59,20210109,23
60,20210110,25
61,20210111,21
62,20210112,29
63,20210113,19
64,20210114,22
65,20210115,18
66,20210116,17
67,20210117,11
68,20210118,14
69,20210119,16
70,20210120,10
71,20210121,14
72,20210122,19
73,20210123,8
74,20210124,9
75,20210125,7
76,20210126,15
77,20210127,14
78,20210128,12
79,20210129,13
80,20210130,11
81,20210131,8
82,20210201,14
83,20210202,17
84,20210203,9
85,20210204,7
86,20210205,8
87,20210206,11
88,20210207,6
89,20210208,9
90,20210209,7
91,20210210,7
92,20210211,7
