timestep,date,n_discharged_InGeneralWard,n_InGeneralWard,n_OffVentInICU,n_OnVentInICU,n_InICU,n_occupied_beds,n_TERMINAL,n_TERMINAL_5daysSmoothed
0,20201111,,432,42,50,92,524,27,9
1,20201112,,434,48,49,97,531,0,20
2,20201113,,435,54,48,102,537,1,21
3,20201114,,430,47,45,92,522,53,15
4,20201115,,443,51,49,100,543,23,15
5,20201116,,464,49,48,97,561,0,21
6,20201117,,477,48,47,95,572,0,17
7,20201118,,452,46,51,97,549,30,19
8,20201119,,443,44,51,95,538,31,27
9,20201120,,467,51,56,107,574,36,35
10,20201121,,443,45,49,94,537,36,29
11,20201122,,443,48,49,97,540,42,23
12,20201123,,446,54,47,101,547,0,22
13,20201124,,445,54,50,104,549,2,14
14,20201125,,445,52,49,101,546,28,14
15,20201126,,404,52,49,101,505,0,25
16,20201127,,403,41,63,104,507,39,24
17,20201128,,406,40,55,95,501,54,19
18,20201129,,402,40,51,91,493,1,20
19,20201130,,406,43,57,100,506,3,21
20,20201201,,391,47,59,106,497,2,18
21,20201202,,399,44,63,107,506,47,24
22,20201203,,377,46,63,109,486,38,29
23,20201204,,373,47,64,111,484,31,32
24,20201205,,358,49,61,110,468,27,23
25,20201206,,375,45,66,111,486,19,16
26,20201207,,367,36,62,98,465,0,17
27,20201208,,381,31,63,94,475,1,17
28,20201209,,371,46,56,102,473,36,20
29,20201210,,351,37,55,92,443,30,27
30,20201211,,340,36,55,91,431,33,30
31,20201212,,325,31,58,89,414,33,22
32,20201213,,333,29,53,82,415,16,17
33,20201214,,319,33,50,83,402,0,18
34,20201215,,296,36,41,77,373,2,12
35,20201216,,295,56,25,81,376,39,14
36,20201217,,275,36,41,77,352,1,18
37,20201218,,261,32,41,73,334,28,20
38,20201219,,242,30,42,72,314,21,16
39,20201220,,241,30,36,66,307,11,16
40,20201221,,227,39,31,70,297,20,12
41,20201222,,219,31,38,69,288,0,16
42,20201223,,206,31,39,70,276,8,14
43,20201224,,196,32,36,68,264,41,13
44,20201225,,184,32,36,68,252,0,13
45,20201226,,200,24,41,65,265,16,11
46,20201227,,210,33,29,62,272,0,3
47,20201228,,220,25,35,60,280,0,7
48,20201229,,215,18,44,62,277,0,8
49,20201230,,214,14,43,57,271,18,8
50,20201231,,205,16,46,62,267,24,11
51,20210101,,194,16,46,62,256,0,13
52,20210102,,190,19,40,59,249,13,10
53,20210103,,197,21,33,54,251,12,5
54,20210104,,193,18,37,55,248,0,6
55,20210105,,178,21,35,56,234,0,9
56,20210106,,182,23,33,56,238,6,9
57,20210107,,160,20,36,56,216,25,11
58,20210108,,150,22,37,59,209,12,14
59,20210109,,156,25,30,55,211,14,13
60,20210110,,159,23,31,54,213,15,10
61,20210111,,159,19,30,49,208,0,10
62,20210112,,161,25,32,57,218,0,9
63,20210113,,159,29,33,62,221,19,9
64,20210114,,147,25,31,56,203,10,10
65,20210115,,142,13,40,53,195,15,14
66,20210116,,147,11,33,44,191,4,13
67,20210117,,146,6,39,45,191,23,11
68,20210118,,145,7,30,37,182,11,8
69,20210119,,134,8,27,35,169,0,8
70,20210120,,139,13,28,41,180,0,6
71,20210121,,126,12,26,38,164,6,6
72,20210122,,117,12,25,37,154,11,8
73,20210123,,99,15,27,42,141,12,8
74,20210124,,101,9,27,36,137,9,6
75,20210125,,91,11,26,37,128,0,11
76,20210126,,97,16,24,40,137,0,13
77,20210127,,97,11,25,36,133,34,13
78,20210128,,85,10,28,38,123,24,14
79,20210129,,84,13,28,41,125,5,15
80,20210130,,77,8,27,35,112,7,8
81,20210131,,76,6,19,25,101,3,3
82,20210201,,90,7,20,27,117,0,3
83,20210202,,86,4,17,21,107,1,3
84,20210203,,80,12,13,25,105,3,4
85,20210204,,75,6,17,23,98,6,5
86,20210205,,71,10,17,27,98,10,6
87,20210206,,70,10,15,25,95,6,5
88,20210207,,73,10,15,25,98,5,4
89,20210208,,70,7,12,19,89,0,3
90,20210209,,69,5,13,18,87,0,5
91,20210210,,69,8,12,20,89,6,5
92,20210211,,55,11,6,17,72,14,7
