timestep,date,n_admitted_InGeneralWard
0,20201111,0
1,20201112,83
2,20201113,75
3,20201114,70
4,20201115,69
5,20201116,82
6,20201117,111
7,20201118,72
8,20201119,120
9,20201120,88
10,20201121,81
11,20201122,76
12,20201123,89
13,20201124,95
14,20201125,99
15,20201126,101
16,20201127,68
17,20201128,86
18,20201129,88
19,20201130,81
20,20201201,99
21,20201202,110
22,20201203,90
23,20201204,94
24,20201205,94
25,20201206,86
26,20201207,104
27,20201208,91
28,20201209,92
29,20201210,107
30,20201211,82
31,20201212,92
32,20201213,84
33,20201214,80
34,20201215,83
35,20201216,90
36,20201217,86
37,20201218,97
38,20201219,89
39,20201220,88
40,20201221,68
41,20201222,100
42,20201223,74
43,20201224,83
44,20201225,63
45,20201226,53
46,20201227,85
47,20201228,69
48,20201229,78
49,20201230,95
50,20201231,73
51,20210101,85
52,20210102,62
53,20210103,92
54,20210104,87
55,20210105,94
56,20210106,93
57,20210107,88
58,20210108,94
59,20210109,96
60,20210110,78
61,20210111,70
62,20210112,94
63,20210113,89
64,20210114,83
65,20210115,96
66,20210116,80
67,20210117,81
68,20210118,65
69,20210119,66
70,20210120,78
71,20210121,59
72,20210122,78
73,20210123,63
74,20210124,45
75,20210125,47
76,20210126,77
77,20210127,81
78,20210128,74
79,20210129,70
80,20210130,68
81,20210131,67
82,20210201,61
83,20210202,64
84,20210203,58
85,20210204,63
86,20210205,56
87,20210206,51
88,20210207,32
89,20210208,47
90,20210209,65
91,20210210,39
92,20210211,40
