timestep,date,n_discharged_InGeneralWard,n_InGeneralWard,n_OffVentInICU,n_OnVentInICU,n_InICU,n_occupied_beds,n_TERMINAL,n_TERMINAL_5daysSmoothed
0,20201111,,310,,,182,492,6,10
1,20201112,,329,,,191,520,9,10
2,20201113,,317,,,184,501,14,9
3,20201114,,318,,,184,502,9,9
4,20201115,,328,,,186,514,8,9
5,20201116,,334,,,198,532,5,8
6,20201117,,329,,,196,525,9,9
7,20201118,,343,,,201,544,8,11
8,20201119,,376,,,195,571,16,13
9,20201120,,379,,,182,561,17,12
10,20201121,,349,,,183,532,14,11
11,20201122,,362,,,197,559,6,10
12,20201123,,363,,,199,562,4,12
13,20201124,,346,,,201,547,11,9
14,20201125,,366,,,207,573,26,11
15,20201126,,359,,,207,566,0,13
16,20201127,,350,,,205,555,15,12
17,20201128,,328,,,207,535,14,7
18,20201129,,347,,,207,554,5,11
19,20201130,,358,,,205,563,3,11
20,20201201,,360,,,205,565,19,11
21,20201202,,383,,,202,585,16,11
22,20201203,,380,,,209,589,11,14
23,20201204,,384,,,203,587,8,10
24,20201205,,365,,,212,577,14,9
25,20201206,,365,,,213,578,0,11
26,20201207,,355,,,215,570,10,14
27,20201208,,351,,,220,571,23,15
28,20201209,,321,,,223,544,23,17
29,20201210,,358,,,220,578,21,18
30,20201211,,339,,,213,552,9,17
31,20201212,,328,,,211,539,13,13
32,20201213,,357,,,215,572,17,12
33,20201214,,358,,,211,569,7,14
34,20201215,,335,,,203,538,15,18
35,20201216,,338,,,210,548,19,17
36,20201217,,325,,,211,536,30,17
37,20201218,,334,,,206,540,14,16
38,20201219,,346,,,218,564,8,13
39,20201220,,349,,,201,550,7,9
40,20201221,,334,,,195,529,6,11
41,20201222,,351,,,202,553,12,11
42,20201223,,359,,,198,557,23,10
43,20201224,,345,,,180,525,8,10
44,20201225,,302,,,180,482,0,8
45,20201226,,324,,,172,496,8,5
46,20201227,,344,,,166,510,2,6
47,20201228,,348,,,168,516,5,10
48,20201229,,335,,,164,499,16,11
49,20201230,,349,,,156,505,21,11
50,20201231,,324,,,158,482,13,15
51,20210101,,341,,,158,499,0,13
52,20210102,,297,,,158,455,25,10
53,20210103,,294,,,164,458,7,9
54,20210104,,309,,,167,476,4,12
55,20210105,,305,,,177,482,7,13
56,20210106,,337,,,192,529,18,16
57,20210107,,332,,,187,519,29,17
58,20210108,,350,,,196,546,22,16
59,20210109,,345,,,181,526,9,13
60,20210110,,353,,,189,542,2,9
61,20210111,,363,,,194,557,4,5
62,20210112,,354,,,187,541,26,14
63,20210113,,350,,,194,544,27,16
64,20210114,,367,,,194,561,11,18
65,20210115,,357,,,210,567,12,14
66,20210116,,331,,,231,562,13,10
67,20210117,,348,,,226,574,8,9
68,20210118,,348,,,214,562,7,9
69,20210119,,334,,,216,550,7,12
70,20210120,,334,,,210,544,10,16
71,20210121,,302,,,209,511,30,16
72,20210122,,287,,,192,479,24,18
73,20210123,,275,,,196,471,11,16
74,20210124,,296,,,182,478,13,13
75,20210125,,282,,,179,461,2,10
76,20210126,,272,,,158,430,16,8
77,20210127,,283,,,161,444,7,12
78,20210128,,285,,,157,442,0,13
79,20210129,,276,,,148,424,35,10
80,20210130,,264,,,139,403,8,10
81,20210131,,259,,,131,390,2,13
82,20210201,,248,,,129,377,3,8
83,20210202,,247,,,130,377,17,10
84,20210203,,240,,,119,359,12,13
85,20210204,,225,,,125,350,14,13
86,20210205,,204,,,117,321,17,10
87,20210206,,204,,,123,327,5,8
88,20210207,,190,,,120,310,3,7
89,20210208,,179,,,112,291,2,7
90,20210209,,170,,,124,294,10,8
91,20210210,,175,,,131,306,17,10
92,20210211,,174,,,128,302,9,12
