summary_name,is_Terminal,is_InICU,is_OnVent,duration_All,duration_InGeneralWard,duration_OffVentInICU,duration_OnVentInICU,duration_InGeneralWard+Declining,duration_OffVentInICU+Declining,duration_OnVentInICU+Declining,duration_InGeneralWard+Recovering,duration_OffVentInICU+Recovering,duration_OnVentInICU+Recovering
count,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00
mean,0.10,0.36,0.22,8.81,5.88,1.16,1.77,1.53,0.64,0.62,4.34,0.52,1.15
percentile_00.000,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
percentile_01.000,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
percentile_05.000,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
percentile_10.000,0.00,0.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
percentile_25.000,0.00,0.00,0.00,3.00,3.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00
percentile_50.000,0.00,0.00,0.00,7.00,5.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00
percentile_75.000,0.00,1.00,0.00,12.00,8.00,2.00,0.00,3.00,0.00,0.00,7.00,1.00,0.00
percentile_90.000,1.00,1.00,1.00,20.00,11.00,4.00,7.00,6.00,3.00,0.00,8.00,2.00,3.00
percentile_95.000,1.00,1.00,1.00,26.00,12.00,5.00,13.00,7.00,4.00,4.00,10.00,3.00,10.00
percentile_99.000,1.00,1.00,1.00,34.00,16.00,7.00,20.00,9.00,5.00,16.00,12.00,4.00,20.00
percentile_100.000,1.00,1.00,1.00,45.00,21.00,10.00,22.00,9.00,5.00,22.00,12.00,5.00,22.00
