summary_name,is_Terminal,is_InICU,is_OnVent,duration_All,duration_InGeneralWard,duration_OffVentInICU,duration_OnVentInICU,duration_InGeneralWard+Declining,duration_OffVentInICU+Declining,duration_OnVentInICU+Declining,duration_InGeneralWard+Recovering,duration_OffVentInICU+Recovering,duration_OnVentInICU+Recovering
count,6592.00,6592.00,6592.00,6592.00,6592.00,6592.00,6592.00,6592.00,6592.00,6592.00,6592.00,6592.00,6592.00
mean,0.44,1.00,1.00,18.98,6.93,3.97,8.08,4.26,2.83,2.83,2.67,1.14,5.25
percentile_00.000,0.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00
percentile_01.000,0.00,1.00,1.00,5.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00
percentile_05.000,0.00,1.00,1.00,7.00,2.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00
percentile_10.000,0.00,1.00,1.00,8.10,2.00,2.00,2.00,2.00,1.00,0.00,0.00,0.00,0.00
percentile_25.000,0.00,1.00,1.00,12.00,4.00,3.00,3.00,3.00,2.00,0.00,0.00,0.00,0.00
percentile_50.000,0.00,1.00,1.00,18.00,6.00,4.00,6.00,4.00,3.00,0.00,2.00,1.00,2.00
percentile_75.000,1.00,1.00,1.00,25.00,9.00,5.00,12.00,6.00,4.00,3.00,5.00,2.00,9.00
percentile_90.000,1.00,1.00,1.00,31.00,12.90,6.00,18.00,7.00,5.00,10.00,7.90,3.00,16.00
percentile_95.000,1.00,1.00,1.00,34.00,14.00,7.00,20.00,8.00,5.00,15.00,9.00,3.00,19.00
percentile_99.000,1.00,1.00,1.00,39.00,17.00,8.00,22.00,9.00,5.00,20.00,12.00,5.00,22.00
percentile_100.000,1.00,1.00,1.00,45.00,21.00,10.00,22.00,9.00,5.00,22.00,12.00,5.00,22.00
