summary_name,is_Terminal,is_InICU,is_OnVent,duration_All,duration_InGeneralWard,duration_OffVentInICU,duration_OnVentInICU,duration_InGeneralWard+Declining,duration_OffVentInICU+Declining,duration_OnVentInICU+Declining,duration_InGeneralWard+Recovering,duration_OffVentInICU+Recovering,duration_OnVentInICU+Recovering
count,26979.00,26979.00,26979.00,26979.00,26979.00,26979.00,26979.00,26979.00,26979.00,26979.00,26979.00,26979.00,26979.00
mean,0.00,0.29,0.14,8.31,6.06,0.97,1.28,1.23,0.39,0.00,4.83,0.58,1.28
percentile_00.000,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
percentile_01.000,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
percentile_05.000,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
percentile_10.000,0.00,0.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00
percentile_25.000,0.00,0.00,0.00,3.00,3.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00
percentile_50.000,0.00,0.00,0.00,6.00,6.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00
percentile_75.000,0.00,1.00,0.00,11.00,8.00,1.00,0.00,2.00,0.00,0.00,7.00,1.00,0.00
percentile_90.000,0.00,1.00,1.00,19.00,11.00,4.00,4.00,5.00,2.00,0.00,9.00,2.00,4.00
percentile_95.000,0.00,1.00,1.00,26.00,13.00,5.00,11.00,7.00,3.00,0.00,11.00,3.00,11.00
percentile_99.000,0.00,1.00,1.00,35.00,16.00,7.00,20.00,9.00,5.00,0.00,12.00,4.00,20.00
percentile_100.000,0.00,1.00,1.00,45.00,21.00,10.00,22.00,9.00,5.00,0.00,12.00,5.00,22.00
