timestep,n_Presenting,n_InGeneralWard,n_InICU,n_OnVentInICU,n_TERMINAL,n_admitted_Presenting,n_admitted_InGeneralWard,n_admitted_InICU,n_admitted_OnVentInICU,n_discharged_Presenting,n_discharged_InGeneralWard,n_discharged_InICU,n_discharged_OnVentInICU
0.00,0.00,10.00,10.00,10.00,0.00,0.00,10.00,10.00,10.00,0.00,10.00,10.00,10.00
1.00,5.00,2.00,5.00,6.00,2.00,5.00,0.00,1.45,2.00,5.00,0.00,1.45,2.00
2.00,5.00,7.00,2.00,4.45,0.45,6.00,5.00,0.00,2.00,6.00,5.00,0.00,2.00
3.00,4.45,9.45,5.00,4.00,1.00,4.90,5.00,2.45,1.00,4.90,5.00,2.45,1.00
4.00,4.45,8.00,6.00,4.00,0.45,5.00,4.00,3.45,1.00,5.00,4.00,3.45,1.00
5.00,5.00,10.00,5.45,4.00,1.00,5.45,5.00,2.45,1.45,5.45,5.00,2.45,1.45
6.00,5.45,8.45,8.00,5.00,1.00,6.00,4.00,3.45,2.00,6.00,4.00,3.45,2.00
7.00,5.00,11.00,8.00,4.45,1.00,6.00,4.00,4.00,2.00,6.00,4.00,4.00,2.00
8.00,3.45,10.00,8.45,6.00,1.00,4.00,5.00,5.00,3.00,4.00,5.00,5.00,3.00
9.00,4.45,9.45,9.00,7.45,1.45,5.45,3.45,4.00,3.00,5.45,3.45,4.00,3.00
10.00,5.00,9.45,10.00,8.45,1.00,6.00,5.00,4.45,3.00,6.00,5.00,4.45,3.00
11.00,5.00,10.45,10.00,8.00,2.00,5.00,5.00,3.00,3.45,5.00,5.00,3.00,3.45
12.00,5.00,11.00,8.45,9.00,3.00,5.00,5.00,4.00,3.45,5.00,5.00,4.00,3.45
13.00,5.00,11.45,8.00,6.45,3.00,5.45,5.00,3.00,2.45,5.45,5.00,3.00,2.45
14.00,3.00,11.00,10.00,8.00,2.00,4.45,5.00,5.00,3.00,4.45,5.00,5.00,3.00
15.00,4.00,9.00,7.45,7.45,2.00,5.45,3.00,3.45,3.45,5.45,3.00,3.45,3.45
16.00,4.00,8.45,9.45,7.45,2.00,4.45,4.00,4.00,3.45,4.45,4.00,4.00,3.45
17.00,5.45,10.45,9.00,7.00,2.00,6.00,4.00,3.45,3.45,6.00,4.00,3.45,3.45
