timestep,n_Presenting,n_InGeneralWard,n_OffVentInICU,n_OnVentInICU,n_TERMINAL,n_admitted_Presenting,n_admitted_InGeneralWard,n_admitted_OffVentInICU,n_admitted_OnVentInICU,n_discharged_Presenting,n_discharged_InGeneralWard,n_discharged_OffVentInICU,n_discharged_OnVentInICU
0.00,0.00,10.00,10.00,10.00,0.00,0.00,10.00,10.00,10.00,0.00,0.00,0.00,0.00
1.00,17.00,8.00,13.00,13.55,8.00,17.00,0.00,7.55,7.00,0.00,2.00,2.00,2.00
2.00,16.00,19.00,11.00,14.00,8.00,16.00,16.00,5.00,8.00,3.00,2.00,2.00,2.00
3.00,16.10,22.55,14.55,12.00,8.00,16.10,14.55,11.00,6.00,3.00,2.00,1.00,3.00
4.00,18.10,22.55,17.00,12.55,7.00,18.10,15.00,11.55,8.00,3.00,2.00,2.00,2.00
5.00,17.55,25.55,20.00,15.00,8.00,17.55,17.00,13.55,10.00,3.00,3.00,2.00,2.00
6.00,15.00,25.55,21.00,16.55,7.55,15.00,15.00,13.00,11.00,3.55,2.00,2.00,2.00
7.00,15.55,26.55,22.55,18.55,9.00,15.55,14.00,13.00,11.00,3.00,3.00,2.55,2.00
8.00,17.55,26.00,25.00,19.00,9.55,17.55,14.55,15.55,12.00,3.00,2.00,3.00,2.00
9.00,16.55,25.55,23.55,20.00,9.55,16.55,16.00,14.55,12.55,3.00,3.00,3.00,3.00
10.00,16.00,27.00,23.55,23.00,11.00,16.00,15.55,13.55,13.00,3.55,3.00,2.00,2.55
11.00,16.55,25.10,24.55,22.00,13.00,16.55,14.55,14.00,12.55,3.55,3.00,3.00,3.00
12.00,16.55,25.55,21.00,21.55,12.00,16.55,14.00,13.00,13.00,3.00,3.00,3.00,2.00
13.00,16.55,26.10,23.00,22.00,12.00,16.55,15.00,13.55,12.00,3.00,3.00,3.00,2.55
14.00,15.55,26.55,26.00,22.00,13.10,15.55,15.00,15.55,13.00,3.00,3.55,2.55,2.00
15.00,17.00,25.55,25.00,21.00,13.00,17.00,15.00,15.00,15.00,3.00,3.00,3.00,3.00
16.00,18.00,26.55,23.55,22.00,12.55,18.00,15.00,14.55,13.00,3.55,3.00,3.00,2.55
17.00,16.55,26.00,23.10,23.55,12.55,16.55,15.00,14.00,12.00,4.00,3.00,3.00,3.00
18.00,14.00,25.00,25.00,22.55,11.00,14.00,15.55,15.55,12.00,3.00,3.00,3.00,2.00
