date,hospitalized_total_covid_patients_suspected_and_confirmed_including_icu,hospitalized_covid_patients_in_icu_suspected_and_confirmed
2020-04-29,268,96.0
2020-04-30,261,96.0
2020-05-01,271,98.0
2020-05-02,242,92.0
2020-05-03,273,90.0
2020-05-04,258,86.0
2020-05-05,226,81.0
2020-05-06,248,80.0
2020-05-07,237,79.0
2020-05-08,233,76.0
2020-05-09,230,76.0
2020-05-10,197,74.0
2020-05-11,184,72.0
2020-05-12,189,67.0
2020-05-13,207,66.0
2020-05-14,172,71.0
2020-05-15,164,70.0
2020-05-16,169,75.0
2020-05-17,167,71.0
2020-05-18,164,71.0
2020-05-19,166,65.0
2020-05-20,164,63.0
2020-05-21,156,65.0
2020-05-22,142,59.0
2020-05-23,131,60.0
2020-05-24,134,54.0
2020-05-25,132,61.0
2020-05-26,136,50.0
2020-05-27,137,50.0
2020-05-28,138,50.0
2020-05-29,129,44.0
2020-05-30,129,39.0
2020-05-31,117,37.0
2020-06-01,115,37.0
2020-06-02,116,33.0
2020-06-03,107,29.0
2020-06-04,86,27.0
2020-06-05,77,20.0
2020-06-06,72,23.0
2020-06-07,72,21.0
2020-06-08,85,24.0
2020-06-09,75,17.0
2020-06-10,71,20.0
2020-06-11,66,20.0
2020-06-12,68,19.0
2020-06-13,67,22.0
2020-06-14,66,19.0
2020-06-15,61,21.0
2020-06-16,63,22.0
2020-06-17,61,19.0
2020-06-18,57,16.0
2020-06-19,52,17.0
2020-06-20,36,11.0
2020-06-21,38,11.0
2020-06-22,37,9.0
2020-06-23,42,12.0
2020-06-24,48,11.0
2020-06-25,44,13.0
2020-06-26,40,15.0
2020-06-27,33,11.0
2020-06-28,44,10.0
2020-06-29,38,10.0
2020-06-30,41,8.0
2020-07-01,42,11.0
2020-07-02,36,9.0
2020-07-03,38,8.0
2020-07-04,29,6.0
2020-07-05,30,6.0
2020-07-06,29,6.0
2020-07-07,29,5.0
2020-07-08,39,6.0
2020-07-09,28,6.0
2020-07-10,32,4.0
2020-07-11,31,5.0
2020-07-12,30,4.0
2020-07-13,32,4.0
2020-07-14,35,5.0
2020-07-15,38,6.0
2020-07-16,38,8.0
2020-07-17,34,5.0
2020-07-18,30,5.0
2020-07-19,27,4.0
2020-07-20,33,6.0
2020-07-21,33,4.0
2020-07-22,31,5.0
2020-07-23,26,5.0
2020-07-24,30,5.0
2020-07-25,33,4.0
2020-07-26,31,6.0
2020-07-27,32,8.0
2020-07-28,35,8.0
2020-07-29,36,8.0
2020-07-30,33,7.0
2020-07-31,33,8.0
2020-08-01,32,8.0
2020-08-02,30,7.0
2020-08-03,28,7.0
2020-08-04,23,5.0
2020-08-05,33,7.0
2020-08-06,29,5.0
2020-08-07,25,3.0
2020-08-08,32,6.0
2020-08-09,25,5.0
2020-08-10,24,3.0
2020-08-11,25,4.0
2020-08-12,14,3.0
2020-08-13,17,4.0
2020-08-14,16,4.0
2020-08-15,12,2.0
2020-08-16,14,4.0
2020-08-17,15,3.0
2020-08-18,12,3.0
2020-08-19,21,4.0
2020-08-20,15,2.0
2020-08-21,10,1.0
2020-08-22,10,1.0
2020-08-24,13,1.0
2020-08-25,11,1.0
2020-08-26,20,1.0
2020-08-27,11,2.0
2020-08-28,10,1.0
2020-08-29,11,0.0
2020-08-30,11,0.0
2020-08-31,11,0.0
2020-09-01,8,0.0
2020-09-02,8,1.0
2020-09-03,10,2.0
2020-09-04,9,1.0
2020-09-05,13,2.0
2020-09-06,13,2.0
2020-09-07,10,0.0
2020-09-08,15,2.0
2020-09-09,13,1.0
2020-09-10,14,4.0
2020-09-11,13,2.0
2020-09-12,15,4.0
2020-09-13,15,4.0
2020-09-14,12,3.0
2020-09-15,11,1.0
2020-09-16,13,3.0
2020-09-17,20,2.0
2020-09-18,15,1.0
2020-09-19,13,2.0
2020-09-20,13,3.0
2020-09-21,13,3.0
2020-09-22,15,2.0
2020-09-23,17,5.0
2020-09-24,15,3.0
2020-09-25,18,4.0
2020-09-26,14,0.0
2020-09-27,16,0.0
2020-09-28,19,3.0
2020-09-29,17,4.0
2020-09-30,18,3.0
2020-10-01,13,2.0
2020-10-02,10,0.0
2020-10-03,14,2.0
2020-10-04,15,3.0
2020-10-05,17,3.0
2020-10-06,12,1.0
2020-10-07,21,4.0
2020-10-08,21,5.0
2020-10-09,21,5.0
2020-10-10,17,3.0
2020-10-11,18,4.0
2020-10-12,14,2.0
2020-10-13,20,5.0
2020-10-14,20,3.0
2020-10-15,13,1.0
2020-10-16,18,1.0
2020-10-17,15,1.0
2020-10-18,21,5.0
2020-10-19,20,2.0
2020-10-20,21,2.0
2020-10-21,21,3.0
2020-10-22,21,2.0
2020-10-23,26,6.0
