date,hospitalized_total_covid_patients_suspected_and_confirmed_including_icu,hospitalized_covid_patients_in_icu_suspected_and_confirmed
2020-04-29,184,78.0
2020-04-30,178,77.0
2020-05-01,171,79.0
2020-05-02,175,75.0
2020-05-03,170,69.0
2020-05-04,155,71.0
2020-05-05,163,68.0
2020-05-06,150,60.0
2020-05-07,145,56.0
2020-05-08,137,55.0
2020-05-09,130,57.0
2020-05-10,139,62.0
2020-05-11,149,66.0
2020-05-12,169,64.0
2020-05-13,166,61.0
2020-05-14,159,59.0
2020-05-15,153,54.0
2020-05-16,137,52.0
2020-05-17,121,52.0
2020-05-18,121,52.0
2020-05-19,119,49.0
2020-05-20,117,50.0
2020-05-21,117,44.0
2020-05-22,101,41.0
2020-05-23,105,43.0
2020-05-24,98,32.0
2020-05-25,92,35.0
2020-05-26,98,36.0
2020-05-27,92,31.0
2020-05-28,85,27.0
2020-05-29,77,29.0
2020-05-30,70,21.0
2020-05-31,72,22.0
2020-06-01,63,20.0
2020-06-02,64,20.0
2020-06-03,66,18.0
2020-06-04,59,21.0
2020-06-05,64,20.0
2020-06-06,74,22.0
2020-06-07,69,21.0
2020-06-08,57,15.0
2020-06-09,61,16.0
2020-06-10,61,11.0
2020-06-11,59,10.0
2020-06-12,48,10.0
2020-06-13,44,9.0
2020-06-14,45,9.0
2020-06-15,45,9.0
2020-06-16,39,8.0
2020-06-17,45,11.0
2020-06-18,41,11.0
2020-06-19,45,8.0
2020-06-20,52,13.0
2020-06-21,44,9.0
2020-06-22,41,7.0
2020-06-23,40,5.0
2020-06-24,36,5.0
2020-06-25,30,5.0
2020-06-26,32,6.0
2020-06-27,32,6.0
2020-06-28,30,5.0
2020-06-29,30,5.0
2020-06-30,35,5.0
2020-07-01,38,3.0
2020-07-02,33,7.0
2020-07-03,39,5.0
2020-07-04,36,6.0
2020-07-05,36,6.0
2020-07-06,23,2.0
2020-07-07,29,3.0
2020-07-08,34,2.0
2020-07-09,43,5.0
2020-07-10,34,5.0
2020-07-11,34,6.0
2020-07-12,32,4.0
2020-07-13,26,6.0
2020-07-14,36,9.0
2020-07-15,33,6.0
2020-07-16,33,6.0
2020-07-17,21,1.0
2020-07-18,32,5.0
2020-07-19,21,4.0
2020-07-20,15,4.0
2020-07-21,24,4.0
2020-07-22,33,3.0
2020-07-23,4,0.0
2020-07-24,5,1.0
2020-07-25,6,1.0
2020-07-26,8,1.0
2020-07-27,11,2.0
2020-07-28,9,1.0
2020-07-29,10,2.0
2020-07-30,10,2.0
2020-07-31,12,3.0
2020-08-01,11,1.0
2020-08-02,8,1.0
2020-08-03,10,1.0
2020-08-04,7,0.0
2020-08-05,6,0.0
2020-08-06,6,0.0
2020-08-07,5,0.0
2020-08-08,6,1.0
2020-08-09,8,2.0
2020-08-10,7,2.0
2020-08-11,6,2.0
2020-08-12,9,2.0
2020-08-13,11,3.0
2020-08-14,16,3.0
2020-08-15,16,3.0
2020-08-16,16,4.0
2020-08-17,15,3.0
2020-08-18,15,3.0
2020-08-19,15,3.0
2020-08-20,17,3.0
2020-08-21,17,3.0
2020-08-22,12,3.0
2020-08-24,11,2.0
2020-08-25,12,2.0
2020-08-26,11,2.0
2020-08-27,11,1.0
2020-08-28,11,1.0
2020-08-29,11,1.0
2020-08-30,13,2.0
2020-08-31,14,3.0
2020-09-01,13,3.0
2020-09-02,11,2.0
2020-09-03,11,2.0
2020-09-04,11,2.0
2020-09-05,11,2.0
2020-09-06,12,2.0
2020-09-07,9,2.0
2020-09-08,9,2.0
2020-09-09,10,2.0
2020-09-10,10,2.0
2020-09-11,9,2.0
2020-09-12,7,2.0
2020-09-13,8,1.0
2020-09-14,8,1.0
2020-09-15,8,1.0
2020-09-16,8,1.0
2020-09-17,5,1.0
2020-09-18,6,1.0
2020-09-19,5,1.0
2020-09-20,6,1.0
2020-09-21,6,1.0
2020-09-22,11,1.0
2020-09-23,15,1.0
2020-09-24,14,1.0
2020-09-25,15,1.0
2020-09-26,16,1.0
2020-09-27,16,1.0
2020-09-28,13,0.0
2020-09-29,9,0.0
2020-09-30,6,0.0
2020-10-01,6,1.0
2020-10-02,7,1.0
2020-10-03,12,2.0
2020-10-04,11,1.0
2020-10-05,14,2.0
2020-10-06,16,3.0
2020-10-07,18,2.0
2020-10-08,16,2.0
2020-10-09,17,1.0
2020-10-10,12,2.0
2020-10-11,18,2.0
2020-10-12,14,0.0
2020-10-13,15,0.0
2020-10-14,14,0.0
2020-10-15,15,0.0
2020-10-16,15,0.0
2020-10-17,17,1.0
2020-10-18,17,1.0
2020-10-19,18,2.0
2020-10-20,15,4.0
2020-10-21,15,5.0
2020-10-22,16,7.0
2020-10-23,18,7.0
