date,hospitalized_total_covid_patients_suspected_and_confirmed_including_icu,hospitalized_covid_patients_in_icu_suspected_and_confirmed
2020-04-29,458,146.0
2020-04-30,417,139.0
2020-05-01,387,131.0
2020-05-02,384,122.0
2020-05-03,355,119.0
2020-05-04,360,125.0
2020-05-05,371,130.0
2020-05-06,381,125.0
2020-05-07,344,112.0
2020-05-08,328,110.0
2020-05-09,322,101.0
2020-05-10,315,90.0
2020-05-11,299,92.0
2020-05-12,297,95.0
2020-05-13,314,97.0
2020-05-14,292,95.0
2020-05-15,281,84.0
2020-05-16,272,84.0
2020-05-17,246,75.0
2020-05-18,237,73.0
2020-05-19,247,87.0
2020-05-20,257,82.0
2020-05-21,251,75.0
2020-05-22,222,75.0
2020-05-23,215,70.0
2020-05-24,211,69.0
2020-05-25,207,65.0
2020-05-26,198,66.0
2020-05-27,208,60.0
2020-05-28,222,64.0
2020-05-29,189,53.0
2020-05-30,186,50.0
2020-05-31,169,47.0
2020-06-01,151,45.0
2020-06-02,158,50.0
2020-06-03,173,52.0
2020-06-04,167,47.0
2020-06-05,169,42.0
2020-06-06,172,45.0
2020-06-07,177,43.0
2020-06-08,168,44.0
2020-06-09,152,38.0
2020-06-10,151,38.0
2020-06-11,143,37.0
2020-06-12,117,29.0
2020-06-13,99,31.0
2020-06-14,115,30.0
2020-06-15,104,27.0
2020-06-16,95,23.0
2020-06-17,96,22.0
2020-06-18,88,20.0
2020-06-19,91,24.0
2020-06-20,88,23.0
2020-06-21,77,23.0
2020-06-22,82,23.0
2020-06-23,79,22.0
2020-06-24,82,24.0
2020-06-25,84,21.0
2020-06-26,71,13.0
2020-06-27,64,14.0
2020-06-28,67,14.0
2020-06-29,75,15.0
2020-06-30,77,14.0
2020-07-01,79,15.0
2020-07-02,73,10.0
2020-07-03,84,10.0
2020-07-04,67,10.0
2020-07-05,66,6.0
2020-07-06,62,6.0
2020-07-07,77,10.0
2020-07-08,77,8.0
2020-07-09,70,9.0
2020-07-10,65,13.0
2020-07-11,58,10.0
2020-07-12,59,11.0
2020-07-13,68,13.0
2020-07-14,59,7.0
2020-07-15,68,12.0
2020-07-16,42,9.0
2020-07-17,45,11.0
2020-07-18,36,8.0
2020-07-19,55,10.0
2020-07-20,41,8.0
2020-07-21,52,5.0
2020-07-22,46,7.0
2020-07-23,36,7.0
2020-07-24,45,7.0
2020-07-25,18,4.0
2020-07-26,18,4.0
2020-07-27,18,4.0
2020-07-28,14,2.0
2020-07-29,10,1.0
2020-07-30,16,4.0
2020-07-31,14,4.0
2020-08-01,12,3.0
2020-08-02,12,2.0
2020-08-03,12,2.0
2020-08-04,12,2.0
2020-08-05,17,3.0
2020-08-06,22,4.0
2020-08-07,18,3.0
2020-08-08,16,2.0
2020-08-09,17,2.0
2020-08-10,16,2.0
2020-08-11,18,4.0
2020-08-12,21,4.0
2020-08-13,19,3.0
2020-08-14,16,1.0
2020-08-15,14,1.0
2020-08-16,14,1.0
2020-08-17,12,2.0
2020-08-18,9,1.0
2020-08-19,12,2.0
2020-08-20,12,2.0
2020-08-21,10,2.0
2020-08-22,10,2.0
2020-08-24,11,3.0
2020-08-25,13,3.0
2020-08-26,14,3.0
2020-08-27,14,3.0
2020-08-28,11,3.0
2020-08-29,13,3.0
2020-08-30,13,2.0
2020-08-31,15,3.0
2020-09-01,21,5.0
2020-09-02,23,7.0
2020-09-03,26,7.0
2020-09-04,22,5.0
2020-09-05,19,4.0
2020-09-06,17,1.0
2020-09-07,21,1.0
2020-09-08,23,2.0
2020-09-09,24,2.0
2020-09-10,20,2.0
2020-09-11,20,2.0
2020-09-12,19,2.0
2020-09-13,17,2.0
2020-09-14,19,3.0
2020-09-15,18,3.0
2020-09-16,15,3.0
2020-09-17,18,3.0
2020-09-18,16,2.0
2020-09-19,15,2.0
2020-09-20,13,2.0
2020-09-21,12,3.0
2020-09-22,12,4.0
2020-09-23,10,3.0
2020-09-24,11,3.0
2020-09-25,13,3.0
2020-09-26,17,4.0
2020-09-27,21,4.0
2020-09-28,22,5.0
2020-09-29,28,6.0
2020-09-30,28,7.0
2020-10-01,28,7.0
2020-10-02,32,7.0
2020-10-03,32,6.0
2020-10-04,31,6.0
2020-10-05,33,6.0
2020-10-06,36,7.0
2020-10-07,31,6.0
2020-10-08,30,6.0
2020-10-09,32,6.0
2020-10-10,35,8.0
2020-10-11,35,8.0
2020-10-12,37,6.0
2020-10-13,37,9.0
2020-10-14,26,11.0
2020-10-15,28,9.0
2020-10-16,27,8.0
2020-10-17,27,9.0
2020-10-18,26,8.0
2020-10-19,30,7.0
2020-10-20,31,6.0
2020-10-21,31,7.0
2020-10-22,32,7.0
2020-10-23,33,9.0
