date,hospitalized_total_covid_patients_suspected_and_confirmed_including_icu,hospitalized_covid_patients_in_icu_suspected_and_confirmed
2020-04-29,55,21.0
2020-04-30,55,22.0
2020-05-01,50,20.0
2020-05-02,39,18.0
2020-05-03,50,20.0
2020-05-04,48,20.0
2020-05-05,49,19.0
2020-05-06,53,21.0
2020-05-07,56,21.0
2020-05-08,44,20.0
2020-05-09,37,18.0
2020-05-10,40,19.0
2020-05-11,41,20.0
2020-05-12,44,22.0
2020-05-13,44,17.0
2020-05-14,34,16.0
2020-05-15,32,13.0
2020-05-16,32,12.0
2020-05-17,42,12.0
2020-05-18,37,15.0
2020-05-19,38,12.0
2020-05-20,33,13.0
2020-05-21,30,10.0
2020-05-22,26,8.0
2020-05-23,33,4.0
2020-05-24,19,4.0
2020-05-25,24,4.0
2020-05-26,25,6.0
2020-05-27,24,8.0
2020-05-28,23,7.0
2020-05-29,19,7.0
2020-05-30,20,7.0
2020-05-31,18,8.0
2020-06-01,19,7.0
2020-06-02,16,7.0
2020-06-03,18,7.0
2020-06-04,15,7.0
2020-06-05,13,5.0
2020-06-06,11,4.0
2020-06-07,13,5.0
2020-06-08,12,3.0
2020-06-09,10,5.0
2020-06-10,10,5.0
2020-06-11,7,3.0
2020-06-12,8,4.0
2020-06-13,6,3.0
2020-06-14,6,3.0
2020-06-15,3,1.0
2020-06-16,4,0.0
2020-06-17,2,0.0
2020-06-18,6,0.0
2020-06-19,8,0.0
2020-06-20,3,0.0
2020-06-21,4,1.0
2020-06-22,5,1.0
2020-06-23,6,2.0
2020-06-24,6,2.0
2020-06-25,6,3.0
2020-06-26,7,3.0
2020-06-27,5,1.0
2020-06-28,4,3.0
2020-06-29,4,2.0
2020-06-30,5,2.0
2020-07-01,5,2.0
2020-07-02,5,2.0
2020-07-03,4,1.0
2020-07-04,3,0.0
2020-07-05,3,0.0
2020-07-06,4,2.0
2020-07-07,2,1.0
2020-07-08,4,2.0
2020-07-09,4,2.0
2020-07-10,4,2.0
2020-07-11,1,0.0
2020-07-12,1,0.0
2020-07-13,0,0.0
2020-07-14,3,2.0
2020-07-15,2,1.0
2020-07-16,3,2.0
2020-07-17,3,1.0
2020-07-18,2,0.0
2020-07-19,2,0.0
2020-07-20,2,0.0
2020-07-21,2,0.0
2020-07-22,1,0.0
2020-07-23,2,0.0
2020-07-24,2,1.0
2020-07-25,2,1.0
2020-07-26,1,0.0
2020-07-27,2,0.0
2020-07-28,2,0.0
2020-07-29,2,0.0
2020-07-30,2,0.0
2020-07-31,1,0.0
2020-08-01,1,0.0
2020-08-02,1,0.0
2020-08-03,3,0.0
2020-08-04,2,0.0
2020-08-05,4,1.0
2020-08-06,6,1.0
2020-08-07,5,1.0
2020-08-08,5,1.0
2020-08-09,5,1.0
2020-08-10,4,1.0
2020-08-11,4,1.0
2020-08-12,4,1.0
2020-08-13,3,1.0
2020-08-14,3,1.0
2020-08-15,5,2.0
2020-08-16,5,2.0
2020-08-17,5,2.0
2020-08-18,5,2.0
2020-08-19,6,2.0
2020-08-20,5,2.0
2020-08-21,5,2.0
2020-08-22,6,2.0
2020-08-24,5,2.0
2020-08-25,3,1.0
2020-08-26,3,1.0
2020-08-27,3,1.0
2020-08-28,3,1.0
2020-08-29,3,1.0
2020-08-30,3,1.0
2020-08-31,1,0.0
2020-09-01,1,0.0
2020-09-02,1,0.0
2020-09-03,1,0.0
2020-09-04,1,0.0
2020-09-05,1,0.0
2020-09-06,1,0.0
2020-09-07,1,0.0
2020-09-08,1,0.0
2020-09-09,1,0.0
2020-09-10,1,0.0
2020-09-11,1,0.0
2020-09-12,1,0.0
2020-09-13,1,0.0
2020-09-14,2,0.0
2020-09-15,2,0.0
2020-09-16,2,0.0
2020-09-17,2,0.0
2020-09-18,1,0.0
2020-09-19,2,0.0
2020-09-20,1,0.0
2020-09-21,1,0.0
2020-09-22,1,0.0
2020-09-23,2,0.0
2020-09-24,4,1.0
2020-09-25,1,0.0
2020-09-26,3,0.0
2020-09-27,3,0.0
2020-09-28,2,0.0
2020-09-29,4,0.0
2020-09-30,3,0.0
2020-10-01,3,0.0
2020-10-02,4,0.0
2020-10-03,4,0.0
2020-10-04,6,1.0
2020-10-05,6,1.0
2020-10-06,7,1.0
2020-10-07,6,1.0
2020-10-08,10,1.0
2020-10-09,8,2.0
2020-10-10,8,2.0
2020-10-11,8,2.0
2020-10-12,8,2.0
2020-10-13,7,1.0
2020-10-14,10,3.0
2020-10-15,11,3.0
2020-10-16,11,3.0
2020-10-17,8,1.0
2020-10-18,10,1.0
2020-10-19,11,2.0
2020-10-20,11,2.0
2020-10-21,11,3.0
2020-10-22,9,2.0
2020-10-23,7,1.0
