date,hospitalized_total_covid_patients_suspected_and_confirmed_including_icu,hospitalized_covid_patients_in_icu_suspected_and_confirmed
2020-04-29,88,53.0
2020-04-30,92,52.0
2020-05-01,84,46.0
2020-05-02,85,44.0
2020-05-03,85,45.0
2020-05-04,95,51.0
2020-05-05,87,43.0
2020-05-06,78,47.0
2020-05-07,76,41.0
2020-05-08,68,39.0
2020-05-09,60,38.0
2020-05-10,58,34.0
2020-05-11,48,34.0
2020-05-12,55,37.0
2020-05-13,54,33.0
2020-05-14,67,33.0
2020-05-15,70,34.0
2020-05-16,71,35.0
2020-05-17,75,34.0
2020-05-18,73,35.0
2020-05-19,72,34.0
2020-05-20,78,40.0
2020-05-21,71,35.0
2020-05-22,66,33.0
2020-05-23,64,31.0
2020-05-24,63,30.0
2020-05-25,59,28.0
2020-05-26,57,26.0
2020-05-27,62,24.0
2020-05-28,58,21.0
2020-05-29,55,22.0
2020-05-30,50,22.0
2020-05-31,51,17.0
2020-06-01,54,17.0
2020-06-02,56,19.0
2020-06-03,52,19.0
2020-06-04,53,20.0
2020-06-05,52,19.0
2020-06-06,44,18.0
2020-06-07,44,14.0
2020-06-08,44,14.0
2020-06-09,44,17.0
2020-06-10,44,16.0
2020-06-11,40,16.0
2020-06-12,40,16.0
2020-06-13,39,14.0
2020-06-14,32,15.0
2020-06-15,32,15.0
2020-06-16,30,15.0
2020-06-17,39,18.0
2020-06-18,36,17.0
2020-06-19,37,16.0
2020-06-20,35,15.0
2020-06-21,31,14.0
2020-06-22,29,15.0
2020-06-23,28,13.0
2020-06-24,34,13.0
2020-06-25,31,12.0
2020-06-26,29,12.0
2020-06-27,32,12.0
2020-06-28,20,9.0
2020-06-29,20,9.0
2020-06-30,23,9.0
2020-07-01,24,8.0
2020-07-02,21,8.0
2020-07-03,19,8.0
2020-07-04,21,9.0
2020-07-05,14,6.0
2020-07-06,18,8.0
2020-07-07,17,8.0
2020-07-08,16,7.0
2020-07-09,17,9.0
2020-07-10,25,11.0
2020-07-11,15,7.0
2020-07-12,16,5.0
2020-07-13,18,5.0
2020-07-14,17,5.0
2020-07-15,23,7.0
2020-07-16,11,2.0
2020-07-17,10,4.0
2020-07-18,16,6.0
2020-07-19,7,4.0
2020-07-20,13,8.0
2020-07-21,8,3.0
2020-07-22,12,2.0
2020-07-23,7,2.0
2020-07-24,13,3.0
2020-07-25,13,3.0
2020-07-26,11,3.0
2020-07-27,9,3.0
2020-07-28,10,3.0
2020-07-29,17,4.0
2020-07-30,19,3.0
2020-07-31,8,2.0
2020-08-01,8,1.0
2020-08-02,8,2.0
2020-08-03,5,1.0
2020-08-04,7,2.0
2020-08-05,13,3.0
2020-08-06,11,6.0
2020-08-07,11,6.0
2020-08-08,13,6.0
2020-08-09,13,6.0
2020-08-10,13,4.0
2020-08-11,13,6.0
2020-08-12,10,4.0
2020-08-13,18,5.0
2020-08-14,21,7.0
2020-08-15,15,6.0
2020-08-16,9,6.0
2020-08-17,9,4.0
2020-08-18,13,2.0
2020-08-19,14,4.0
2020-08-20,13,4.0
2020-08-21,8,5.0
2020-08-22,9,5.0
2020-08-24,8,5.0
2020-08-25,9,5.0
2020-08-26,16,6.0
2020-08-27,11,4.0
2020-08-28,11,5.0
2020-08-29,11,5.0
2020-08-30,10,5.0
2020-08-31,7,4.0
2020-09-01,8,3.0
2020-09-02,15,5.0
2020-09-03,12,3.0
2020-09-04,17,6.0
2020-09-05,14,3.0
2020-09-06,5,3.0
2020-09-07,10,4.0
2020-09-08,5,2.0
2020-09-09,8,2.0
2020-09-10,12,4.0
2020-09-11,10,3.0
2020-09-12,8,5.0
2020-09-13,10,6.0
2020-09-14,7,3.0
2020-09-15,5,2.0
2020-09-16,10,3.0
2020-09-17,6,2.0
2020-09-18,9,3.0
2020-09-19,9,2.0
2020-09-20,8,4.0
2020-09-21,10,5.0
2020-09-22,6,2.0
2020-09-23,11,2.0
2020-09-24,10,5.0
2020-09-25,12,3.0
2020-09-26,9,5.0
2020-09-27,13,7.0
2020-09-28,11,6.0
2020-09-29,12,6.0
2020-09-30,13,5.0
2020-10-01,9,3.0
2020-10-02,10,4.0
2020-10-03,15,4.0
2020-10-04,14,6.0
2020-10-05,10,4.0
2020-10-06,10,1.0
2020-10-07,9,2.0
2020-10-08,17,5.0
2020-10-09,12,3.0
2020-10-10,15,3.0
2020-10-11,14,5.0
2020-10-12,13,1.0
2020-10-13,12,4.0
2020-10-14,13,4.0
2020-10-15,13,5.0
2020-10-16,14,3.0
2020-10-17,11,2.0
2020-10-18,13,3.0
2020-10-19,8,2.0
2020-10-20,18,4.0
2020-10-21,10,2.0
2020-10-22,10,2.0
2020-10-23,18,5.0
