date,hospitalized_total_covid_patients_suspected_and_confirmed_including_icu,hospitalized_covid_patients_in_icu_suspected_and_confirmed
2020-05-06,5,
2020-05-07,5,
2020-05-08,6,0.0
2020-05-09,5,0.0
2020-05-10,5,0.0
2020-05-11,6,0.0
2020-05-12,5,0.0
2020-05-13,6,0.0
2020-05-14,6,0.0
2020-05-15,7,0.0
2020-05-16,9,0.0
2020-05-17,9,0.0
2020-05-18,8,0.0
2020-05-19,9,0.0
2020-05-20,9,0.0
2020-05-21,9,0.0
2020-05-22,6,0.0
2020-05-23,6,0.0
2020-05-24,6,0.0
2020-05-25,6,0.0
2020-05-26,4,0.0
2020-05-27,4,0.0
2020-05-28,4,0.0
2020-05-29,2,0.0
2020-05-30,0,0.0
