,date,state,fips,cases,deaths
35,2020-02-01,Massachusetts,25,1,0
40,2020-02-02,Massachusetts,25,1,0
45,2020-02-03,Massachusetts,25,1,0
50,2020-02-04,Massachusetts,25,1,0
55,2020-02-05,Massachusetts,25,1,0
61,2020-02-06,Massachusetts,25,1,0
67,2020-02-07,Massachusetts,25,1,0
73,2020-02-08,Massachusetts,25,1,0
79,2020-02-09,Massachusetts,25,1,0
85,2020-02-10,Massachusetts,25,1,0
91,2020-02-11,Massachusetts,25,1,0
97,2020-02-12,Massachusetts,25,1,0
104,2020-02-13,Massachusetts,25,1,0
111,2020-02-14,Massachusetts,25,1,0
118,2020-02-15,Massachusetts,25,1,0
125,2020-02-16,Massachusetts,25,1,0
132,2020-02-17,Massachusetts,25,1,0
140,2020-02-18,Massachusetts,25,1,0
148,2020-02-19,Massachusetts,25,1,0
156,2020-02-20,Massachusetts,25,1,0
164,2020-02-21,Massachusetts,25,1,0
172,2020-02-22,Massachusetts,25,1,0
180,2020-02-23,Massachusetts,25,1,0
188,2020-02-24,Massachusetts,25,1,0
196,2020-02-25,Massachusetts,25,1,0
205,2020-02-26,Massachusetts,25,1,0
214,2020-02-27,Massachusetts,25,1,0
223,2020-02-28,Massachusetts,25,1,0
233,2020-02-29,Massachusetts,25,1,0
244,2020-03-01,Massachusetts,25,1,0
258,2020-03-02,Massachusetts,25,2,0
273,2020-03-03,Massachusetts,25,2,0
289,2020-03-04,Massachusetts,25,2,0
308,2020-03-05,Massachusetts,25,3,0
332,2020-03-06,Massachusetts,25,8,0
362,2020-03-07,Massachusetts,25,13,0
397,2020-03-08,Massachusetts,25,28,0
433,2020-03-09,Massachusetts,25,41,0
470,2020-03-10,Massachusetts,25,92,0
511,2020-03-11,Massachusetts,25,95,0
558,2020-03-12,Massachusetts,25,108,0
607,2020-03-13,Massachusetts,25,123,0
658,2020-03-14,Massachusetts,25,138,0
711,2020-03-15,Massachusetts,25,164,0
764,2020-03-16,Massachusetts,25,197,0
817,2020-03-17,Massachusetts,25,218,0
871,2020-03-18,Massachusetts,25,256,0
925,2020-03-19,Massachusetts,25,328,0
979,2020-03-20,Massachusetts,25,413,1
1033,2020-03-21,Massachusetts,25,525,2
1087,2020-03-22,Massachusetts,25,646,5
1141,2020-03-23,Massachusetts,25,777,5
1195,2020-03-24,Massachusetts,25,1159,11
1249,2020-03-25,Massachusetts,25,1838,15
1303,2020-03-26,Massachusetts,25,2417,25
1357,2020-03-27,Massachusetts,25,3240,35
1411,2020-03-28,Massachusetts,25,4257,44
1466,2020-03-29,Massachusetts,25,4955,48
1521,2020-03-30,Massachusetts,25,5752,61
1576,2020-03-31,Massachusetts,25,6620,89
1631,2020-04-01,Massachusetts,25,7738,122
1686,2020-04-02,Massachusetts,25,8966,154
1741,2020-04-03,Massachusetts,25,10402,192
1796,2020-04-04,Massachusetts,25,11736,216
1851,2020-04-05,Massachusetts,25,12500,231
1906,2020-04-06,Massachusetts,25,13837,260
1961,2020-04-07,Massachusetts,25,15202,356
2016,2020-04-08,Massachusetts,25,16790,433
2072,2020-04-09,Massachusetts,25,18941,503
2128,2020-04-10,Massachusetts,25,20974,599
2184,2020-04-11,Massachusetts,25,22860,686
2240,2020-04-12,Massachusetts,25,25475,756
