,date,county,state,fips,cases,deaths
2091,2020-03-14,Barnstable,Massachusetts,25001.0,1,0
2492,2020-03-15,Barnstable,Massachusetts,25001.0,1,0
2941,2020-03-16,Barnstable,Massachusetts,25001.0,1,0
3442,2020-03-17,Barnstable,Massachusetts,25001.0,2,0
4024,2020-03-18,Barnstable,Massachusetts,25001.0,2,0
4728,2020-03-19,Barnstable,Massachusetts,25001.0,5,0
5547,2020-03-20,Barnstable,Massachusetts,25001.0,9,0
6506,2020-03-21,Barnstable,Massachusetts,25001.0,11,0
7583,2020-03-22,Barnstable,Massachusetts,25001.0,24,0
8755,2020-03-23,Barnstable,Massachusetts,25001.0,30,0
10049,2020-03-24,Barnstable,Massachusetts,25001.0,40,0
11463,2020-03-25,Barnstable,Massachusetts,25001.0,51,1
13051,2020-03-26,Barnstable,Massachusetts,25001.0,67,1
14769,2020-03-27,Barnstable,Massachusetts,25001.0,100,2
16598,2020-03-28,Barnstable,Massachusetts,25001.0,133,2
18527,2020-03-29,Barnstable,Massachusetts,25001.0,148,2
20556,2020-03-30,Barnstable,Massachusetts,25001.0,173,2
22682,2020-03-31,Barnstable,Massachusetts,25001.0,191,2
24872,2020-04-01,Barnstable,Massachusetts,25001.0,255,3
27128,2020-04-02,Barnstable,Massachusetts,25001.0,283,3
29442,2020-04-03,Barnstable,Massachusetts,25001.0,314,6
31822,2020-04-04,Barnstable,Massachusetts,25001.0,330,6
34248,2020-04-05,Barnstable,Massachusetts,25001.0,347,6
36712,2020-04-06,Barnstable,Massachusetts,25001.0,383,7
39219,2020-04-07,Barnstable,Massachusetts,25001.0,405,10
41768,2020-04-08,Barnstable,Massachusetts,25001.0,423,11
44337,2020-04-09,Barnstable,Massachusetts,25001.0,444,12
46943,2020-04-10,Barnstable,Massachusetts,25001.0,464,13
49585,2020-04-11,Barnstable,Massachusetts,25001.0,480,15
52255,2020-04-12,Barnstable,Massachusetts,25001.0,501,16
