,date,county,state,fips,cases,deaths
701,2020-03-07,Berkshire,Massachusetts,25003.0,1,0
803,2020-03-08,Berkshire,Massachusetts,25003.0,1,0
927,2020-03-09,Berkshire,Massachusetts,25003.0,5,0
1073,2020-03-10,Berkshire,Massachusetts,25003.0,7,0
1253,2020-03-11,Berkshire,Massachusetts,25003.0,9,0
1471,2020-03-12,Berkshire,Massachusetts,25003.0,9,0
1750,2020-03-13,Berkshire,Massachusetts,25003.0,9,0
2092,2020-03-14,Berkshire,Massachusetts,25003.0,9,0
2493,2020-03-15,Berkshire,Massachusetts,25003.0,9,0
2942,2020-03-16,Berkshire,Massachusetts,25003.0,11,0
3443,2020-03-17,Berkshire,Massachusetts,25003.0,14,0
4025,2020-03-18,Berkshire,Massachusetts,25003.0,17,0
4729,2020-03-19,Berkshire,Massachusetts,25003.0,18,0
5548,2020-03-20,Berkshire,Massachusetts,25003.0,20,0
6507,2020-03-21,Berkshire,Massachusetts,25003.0,21,0
7584,2020-03-22,Berkshire,Massachusetts,25003.0,23,1
8756,2020-03-23,Berkshire,Massachusetts,25003.0,26,1
10050,2020-03-24,Berkshire,Massachusetts,25003.0,37,2
11464,2020-03-25,Berkshire,Massachusetts,25003.0,71,2
13052,2020-03-26,Berkshire,Massachusetts,25003.0,73,2
14770,2020-03-27,Berkshire,Massachusetts,25003.0,105,4
16599,2020-03-28,Berkshire,Massachusetts,25003.0,119,4
18528,2020-03-29,Berkshire,Massachusetts,25003.0,151,5
20557,2020-03-30,Berkshire,Massachusetts,25003.0,162,5
22683,2020-03-31,Berkshire,Massachusetts,25003.0,171,6
24873,2020-04-01,Berkshire,Massachusetts,25003.0,183,6
27129,2020-04-02,Berkshire,Massachusetts,25003.0,213,7
29443,2020-04-03,Berkshire,Massachusetts,25003.0,240,7
31823,2020-04-04,Berkshire,Massachusetts,25003.0,253,10
34249,2020-04-05,Berkshire,Massachusetts,25003.0,258,13
36713,2020-04-06,Berkshire,Massachusetts,25003.0,268,13
39220,2020-04-07,Berkshire,Massachusetts,25003.0,278,18
41769,2020-04-08,Berkshire,Massachusetts,25003.0,281,20
44338,2020-04-09,Berkshire,Massachusetts,25003.0,304,21
46944,2020-04-10,Berkshire,Massachusetts,25003.0,329,22
49586,2020-04-11,Berkshire,Massachusetts,25003.0,336,22
52256,2020-04-12,Berkshire,Massachusetts,25003.0,350,22
