,date,county,state,fips,cases,deaths
2093,2020-03-14,Bristol,Massachusetts,25005.0,1,0
2494,2020-03-15,Bristol,Massachusetts,25005.0,1,0
2943,2020-03-16,Bristol,Massachusetts,25005.0,2,0
3444,2020-03-17,Bristol,Massachusetts,25005.0,5,0
4026,2020-03-18,Bristol,Massachusetts,25005.0,5,0
4730,2020-03-19,Bristol,Massachusetts,25005.0,6,0
5549,2020-03-20,Bristol,Massachusetts,25005.0,6,0
6508,2020-03-21,Bristol,Massachusetts,25005.0,14,0
7585,2020-03-22,Bristol,Massachusetts,25005.0,24,0
8757,2020-03-23,Bristol,Massachusetts,25005.0,25,0
10051,2020-03-24,Bristol,Massachusetts,25005.0,31,0
11465,2020-03-25,Bristol,Massachusetts,25005.0,67,0
13053,2020-03-26,Bristol,Massachusetts,25005.0,90,0
14771,2020-03-27,Bristol,Massachusetts,25005.0,129,1
16600,2020-03-28,Bristol,Massachusetts,25005.0,179,1
18529,2020-03-29,Bristol,Massachusetts,25005.0,208,1
20558,2020-03-30,Bristol,Massachusetts,25005.0,263,2
22684,2020-03-31,Bristol,Massachusetts,25005.0,306,2
24874,2020-04-01,Bristol,Massachusetts,25005.0,366,3
27130,2020-04-02,Bristol,Massachusetts,25005.0,424,3
29444,2020-04-03,Bristol,Massachusetts,25005.0,517,4
31824,2020-04-04,Bristol,Massachusetts,25005.0,601,5
34250,2020-04-05,Bristol,Massachusetts,25005.0,659,8
36714,2020-04-06,Bristol,Massachusetts,25005.0,722,8
39221,2020-04-07,Bristol,Massachusetts,25005.0,768,16
41770,2020-04-08,Bristol,Massachusetts,25005.0,835,23
44339,2020-04-09,Bristol,Massachusetts,25005.0,994,28
46945,2020-04-10,Bristol,Massachusetts,25005.0,1086,33
49587,2020-04-11,Bristol,Massachusetts,25005.0,1191,39
52257,2020-04-12,Bristol,Massachusetts,25005.0,1327,43
