,date,county,state,fips,cases,deaths
11466,2020-03-25,Dukes,Massachusetts,25007.0,1,0
13054,2020-03-26,Dukes,Massachusetts,25007.0,1,0
14772,2020-03-27,Dukes,Massachusetts,25007.0,1,0
16601,2020-03-28,Dukes,Massachusetts,25007.0,1,0
18530,2020-03-29,Dukes,Massachusetts,25007.0,1,0
20559,2020-03-30,Dukes,Massachusetts,25007.0,1,0
22685,2020-03-31,Dukes,Massachusetts,25007.0,1,0
24875,2020-04-01,Dukes,Massachusetts,25007.0,1,0
27131,2020-04-02,Dukes,Massachusetts,25007.0,5,0
29445,2020-04-03,Dukes,Massachusetts,25007.0,7,0
31825,2020-04-04,Dukes,Massachusetts,25007.0,7,0
34251,2020-04-05,Dukes,Massachusetts,25007.0,8,0
36715,2020-04-06,Dukes,Massachusetts,25007.0,8,0
39222,2020-04-07,Dukes,Massachusetts,25007.0,9,0
41771,2020-04-08,Dukes,Massachusetts,25007.0,8,0
44340,2020-04-09,Dukes,Massachusetts,25007.0,9,0
46946,2020-04-10,Dukes,Massachusetts,25007.0,12,0
49588,2020-04-11,Dukes,Massachusetts,25007.0,12,0
52258,2020-04-12,Dukes,Massachusetts,25007.0,12,0
