,date,county,state,fips,cases,deaths
1074,2020-03-10,Essex,Massachusetts,25009.0,1,0
1254,2020-03-11,Essex,Massachusetts,25009.0,1,0
1472,2020-03-12,Essex,Massachusetts,25009.0,2,0
1751,2020-03-13,Essex,Massachusetts,25009.0,2,0
2094,2020-03-14,Essex,Massachusetts,25009.0,5,0
2495,2020-03-15,Essex,Massachusetts,25009.0,6,0
2944,2020-03-16,Essex,Massachusetts,25009.0,7,0
3445,2020-03-17,Essex,Massachusetts,25009.0,8,0
4027,2020-03-18,Essex,Massachusetts,25009.0,14,0
4731,2020-03-19,Essex,Massachusetts,25009.0,19,0
5550,2020-03-20,Essex,Massachusetts,25009.0,29,0
6509,2020-03-21,Essex,Massachusetts,25009.0,41,0
7586,2020-03-22,Essex,Massachusetts,25009.0,60,0
8758,2020-03-23,Essex,Massachusetts,25009.0,73,0
10052,2020-03-24,Essex,Massachusetts,25009.0,118,0
11467,2020-03-25,Essex,Massachusetts,25009.0,177,0
13055,2020-03-26,Essex,Massachusetts,25009.0,247,2
14773,2020-03-27,Essex,Massachusetts,25009.0,350,2
16602,2020-03-28,Essex,Massachusetts,25009.0,472,3
18531,2020-03-29,Essex,Massachusetts,25009.0,570,4
20560,2020-03-30,Essex,Massachusetts,25009.0,653,6
22686,2020-03-31,Essex,Massachusetts,25009.0,784,12
24876,2020-04-01,Essex,Massachusetts,25009.0,885,17
27132,2020-04-02,Essex,Massachusetts,25009.0,1039,18
29446,2020-04-03,Essex,Massachusetts,25009.0,1238,23
31826,2020-04-04,Essex,Massachusetts,25009.0,1400,25
34252,2020-04-05,Essex,Massachusetts,25009.0,1506,27
36716,2020-04-06,Essex,Massachusetts,25009.0,1653,30
39223,2020-04-07,Essex,Massachusetts,25009.0,1841,36
41772,2020-04-08,Essex,Massachusetts,25009.0,2103,51
44341,2020-04-09,Essex,Massachusetts,25009.0,2336,60
46947,2020-04-10,Essex,Massachusetts,25009.0,2670,79
49589,2020-04-11,Essex,Massachusetts,25009.0,2896,91
52259,2020-04-12,Essex,Massachusetts,25009.0,3170,101
