,date,county,state,fips,cases,deaths
2496,2020-03-15,Hampden,Massachusetts,25013.0,1,0
2945,2020-03-16,Hampden,Massachusetts,25013.0,1,0
3446,2020-03-17,Hampden,Massachusetts,25013.0,1,0
4029,2020-03-18,Hampden,Massachusetts,25013.0,2,0
4733,2020-03-19,Hampden,Massachusetts,25013.0,3,0
5552,2020-03-20,Hampden,Massachusetts,25013.0,3,0
6511,2020-03-21,Hampden,Massachusetts,25013.0,9,0
7588,2020-03-22,Hampden,Massachusetts,25013.0,12,1
8760,2020-03-23,Hampden,Massachusetts,25013.0,15,1
10054,2020-03-24,Hampden,Massachusetts,25013.0,24,1
11469,2020-03-25,Hampden,Massachusetts,25013.0,45,1
13057,2020-03-26,Hampden,Massachusetts,25013.0,55,2
14775,2020-03-27,Hampden,Massachusetts,25013.0,90,2
16604,2020-03-28,Hampden,Massachusetts,25013.0,183,5
18533,2020-03-29,Hampden,Massachusetts,25013.0,201,5
20562,2020-03-30,Hampden,Massachusetts,25013.0,255,10
22688,2020-03-31,Hampden,Massachusetts,25013.0,354,12
24878,2020-04-01,Hampden,Massachusetts,25013.0,475,17
27134,2020-04-02,Hampden,Massachusetts,25013.0,546,20
29448,2020-04-03,Hampden,Massachusetts,25013.0,661,28
31828,2020-04-04,Hampden,Massachusetts,25013.0,733,35
34254,2020-04-05,Hampden,Massachusetts,25013.0,768,35
36718,2020-04-06,Hampden,Massachusetts,25013.0,889,39
39225,2020-04-07,Hampden,Massachusetts,25013.0,997,56
41774,2020-04-08,Hampden,Massachusetts,25013.0,1081,65
44343,2020-04-09,Hampden,Massachusetts,25013.0,1276,82
46949,2020-04-10,Hampden,Massachusetts,25013.0,1394,89
49591,2020-04-11,Hampden,Massachusetts,25013.0,1545,95
52261,2020-04-12,Hampden,Massachusetts,25013.0,1647,105
