,date,county,state,fips,cases,deaths
4734,2020-03-19,Hampshire,Massachusetts,25015.0,1,0
5553,2020-03-20,Hampshire,Massachusetts,25015.0,2,0
6512,2020-03-21,Hampshire,Massachusetts,25015.0,2,0
7589,2020-03-22,Hampshire,Massachusetts,25015.0,4,0
8761,2020-03-23,Hampshire,Massachusetts,25015.0,6,0
10055,2020-03-24,Hampshire,Massachusetts,25015.0,8,0
11470,2020-03-25,Hampshire,Massachusetts,25015.0,11,0
13058,2020-03-26,Hampshire,Massachusetts,25015.0,17,0
14776,2020-03-27,Hampshire,Massachusetts,25015.0,20,0
16605,2020-03-28,Hampshire,Massachusetts,25015.0,30,0
18534,2020-03-29,Hampshire,Massachusetts,25015.0,37,0
20563,2020-03-30,Hampshire,Massachusetts,25015.0,46,0
22689,2020-03-31,Hampshire,Massachusetts,25015.0,69,0
24879,2020-04-01,Hampshire,Massachusetts,25015.0,81,0
27135,2020-04-02,Hampshire,Massachusetts,25015.0,102,1
29449,2020-04-03,Hampshire,Massachusetts,25015.0,114,2
31829,2020-04-04,Hampshire,Massachusetts,25015.0,125,2
34255,2020-04-05,Hampshire,Massachusetts,25015.0,128,2
36719,2020-04-06,Hampshire,Massachusetts,25015.0,147,2
39226,2020-04-07,Hampshire,Massachusetts,25015.0,158,2
41775,2020-04-08,Hampshire,Massachusetts,25015.0,164,2
44344,2020-04-09,Hampshire,Massachusetts,25015.0,177,2
46950,2020-04-10,Hampshire,Massachusetts,25015.0,194,3
49592,2020-04-11,Hampshire,Massachusetts,25015.0,204,4
52262,2020-04-12,Hampshire,Massachusetts,25015.0,219,5
