,date,county,state,fips,cases,deaths
6514,2020-03-21,Nantucket,Massachusetts,25019.0,1,0
7591,2020-03-22,Nantucket,Massachusetts,25019.0,1,0
8763,2020-03-23,Nantucket,Massachusetts,25019.0,1,0
10057,2020-03-24,Nantucket,Massachusetts,25019.0,2,0
11472,2020-03-25,Nantucket,Massachusetts,25019.0,2,0
13060,2020-03-26,Nantucket,Massachusetts,25019.0,2,0
14778,2020-03-27,Nantucket,Massachusetts,25019.0,2,0
16607,2020-03-28,Nantucket,Massachusetts,25019.0,5,0
18536,2020-03-29,Nantucket,Massachusetts,25019.0,5,0
20565,2020-03-30,Nantucket,Massachusetts,25019.0,5,0
22691,2020-03-31,Nantucket,Massachusetts,25019.0,5,0
24881,2020-04-01,Nantucket,Massachusetts,25019.0,5,0
27137,2020-04-02,Nantucket,Massachusetts,25019.0,7,0
29451,2020-04-03,Nantucket,Massachusetts,25019.0,9,0
31831,2020-04-04,Nantucket,Massachusetts,25019.0,9,0
34257,2020-04-05,Nantucket,Massachusetts,25019.0,9,0
36721,2020-04-06,Nantucket,Massachusetts,25019.0,9,0
39228,2020-04-07,Nantucket,Massachusetts,25019.0,9,0
41777,2020-04-08,Nantucket,Massachusetts,25019.0,9,0
44346,2020-04-09,Nantucket,Massachusetts,25019.0,9,0
46952,2020-04-10,Nantucket,Massachusetts,25019.0,9,0
49594,2020-04-11,Nantucket,Massachusetts,25019.0,9,0
52264,2020-04-12,Nantucket,Massachusetts,25019.0,9,0
