,date,county,state,fips,cases,deaths
444,2020-03-02,Norfolk,Massachusetts,25021.0,1,0
478,2020-03-03,Norfolk,Massachusetts,25021.0,1,0
513,2020-03-04,Norfolk,Massachusetts,25021.0,1,0
557,2020-03-05,Norfolk,Massachusetts,25021.0,1,0
617,2020-03-06,Norfolk,Massachusetts,25021.0,3,0
703,2020-03-07,Norfolk,Massachusetts,25021.0,3,0
805,2020-03-08,Norfolk,Massachusetts,25021.0,7,0
929,2020-03-09,Norfolk,Massachusetts,25021.0,10,0
1076,2020-03-10,Norfolk,Massachusetts,25021.0,22,0
1256,2020-03-11,Norfolk,Massachusetts,25021.0,22,0
1474,2020-03-12,Norfolk,Massachusetts,25021.0,24,0
1753,2020-03-13,Norfolk,Massachusetts,25021.0,24,0
2096,2020-03-14,Norfolk,Massachusetts,25021.0,28,0
2498,2020-03-15,Norfolk,Massachusetts,25021.0,31,0
2947,2020-03-16,Norfolk,Massachusetts,25021.0,36,0
3448,2020-03-17,Norfolk,Massachusetts,25021.0,43,0
4031,2020-03-18,Norfolk,Massachusetts,25021.0,45,0
4736,2020-03-19,Norfolk,Massachusetts,25021.0,52,0
5555,2020-03-20,Norfolk,Massachusetts,25021.0,64,0
6515,2020-03-21,Norfolk,Massachusetts,25021.0,69,0
7592,2020-03-22,Norfolk,Massachusetts,25021.0,75,0
8764,2020-03-23,Norfolk,Massachusetts,25021.0,82,0
10058,2020-03-24,Norfolk,Massachusetts,25021.0,129,0
11473,2020-03-25,Norfolk,Massachusetts,25021.0,222,1
13061,2020-03-26,Norfolk,Massachusetts,25021.0,292,2
14779,2020-03-27,Norfolk,Massachusetts,25021.0,393,6
16608,2020-03-28,Norfolk,Massachusetts,25021.0,490,8
18537,2020-03-29,Norfolk,Massachusetts,25021.0,548,9
20566,2020-03-30,Norfolk,Massachusetts,25021.0,628,10
22692,2020-03-31,Norfolk,Massachusetts,25021.0,738,12
24882,2020-04-01,Norfolk,Massachusetts,25021.0,829,15
27138,2020-04-02,Norfolk,Massachusetts,25021.0,938,21
29452,2020-04-03,Norfolk,Massachusetts,25021.0,1045,24
31832,2020-04-04,Norfolk,Massachusetts,25021.0,1199,25
34258,2020-04-05,Norfolk,Massachusetts,25021.0,1271,26
36722,2020-04-06,Norfolk,Massachusetts,25021.0,1382,29
39229,2020-04-07,Norfolk,Massachusetts,25021.0,1592,35
41778,2020-04-08,Norfolk,Massachusetts,25021.0,1778,40
44347,2020-04-09,Norfolk,Massachusetts,25021.0,2007,50
46953,2020-04-10,Norfolk,Massachusetts,25021.0,2216,64
49595,2020-04-11,Norfolk,Massachusetts,25021.0,2395,79
52265,2020-04-12,Norfolk,Massachusetts,25021.0,2649,91
