,date,county,state,fips,cases,deaths
2499,2020-03-15,Plymouth,Massachusetts,25023.0,3,0
2948,2020-03-16,Plymouth,Massachusetts,25023.0,5,0
3449,2020-03-17,Plymouth,Massachusetts,25023.0,5,0
4032,2020-03-18,Plymouth,Massachusetts,25023.0,5,0
4737,2020-03-19,Plymouth,Massachusetts,25023.0,5,0
5556,2020-03-20,Plymouth,Massachusetts,25023.0,11,0
6516,2020-03-21,Plymouth,Massachusetts,25023.0,20,0
7593,2020-03-22,Plymouth,Massachusetts,25023.0,25,0
8765,2020-03-23,Plymouth,Massachusetts,25023.0,32,0
10059,2020-03-24,Plymouth,Massachusetts,25023.0,64,0
11474,2020-03-25,Plymouth,Massachusetts,25023.0,101,0
13062,2020-03-26,Plymouth,Massachusetts,25023.0,138,0
14780,2020-03-27,Plymouth,Massachusetts,25023.0,187,0
16609,2020-03-28,Plymouth,Massachusetts,25023.0,272,0
18538,2020-03-29,Plymouth,Massachusetts,25023.0,325,0
20567,2020-03-30,Plymouth,Massachusetts,25023.0,380,0
22693,2020-03-31,Plymouth,Massachusetts,25023.0,459,2
24883,2020-04-01,Plymouth,Massachusetts,25023.0,561,5
27139,2020-04-02,Plymouth,Massachusetts,25023.0,621,6
29453,2020-04-03,Plymouth,Massachusetts,25023.0,745,7
31833,2020-04-04,Plymouth,Massachusetts,25023.0,898,8
34259,2020-04-05,Plymouth,Massachusetts,25023.0,963,10
36723,2020-04-06,Plymouth,Massachusetts,25023.0,1067,14
39230,2020-04-07,Plymouth,Massachusetts,25023.0,1194,25
41779,2020-04-08,Plymouth,Massachusetts,25023.0,1327,33
44348,2020-04-09,Plymouth,Massachusetts,25023.0,1507,45
46954,2020-04-10,Plymouth,Massachusetts,25023.0,1677,53
49596,2020-04-11,Plymouth,Massachusetts,25023.0,1809,57
52266,2020-04-12,Plymouth,Massachusetts,25023.0,2024,61
