,date,county,state,fips,cases,deaths
2950,2020-03-16,Unknown,Massachusetts,,1,0
3451,2020-03-17,Unknown,Massachusetts,,1,0
4034,2020-03-18,Unknown,Massachusetts,,4,0
4739,2020-03-19,Unknown,Massachusetts,,13,0
5558,2020-03-20,Unknown,Massachusetts,,18,0
6518,2020-03-21,Unknown,Massachusetts,,26,0
7595,2020-03-22,Unknown,Massachusetts,,34,0
8767,2020-03-23,Unknown,Massachusetts,,57,0
10061,2020-03-24,Unknown,Massachusetts,,90,4
11476,2020-03-25,Unknown,Massachusetts,,159,4
13064,2020-03-26,Unknown,Massachusetts,,267,4
14782,2020-03-27,Unknown,Massachusetts,,304,4
16611,2020-03-28,Unknown,Massachusetts,,358,4
18540,2020-03-29,Unknown,Massachusetts,,462,4
20569,2020-03-30,Unknown,Massachusetts,,491,4
22695,2020-03-31,Unknown,Massachusetts,,335,5
24885,2020-04-01,Unknown,Massachusetts,,335,5
27141,2020-04-02,Unknown,Massachusetts,,270,5
29455,2020-04-03,Unknown,Massachusetts,,213,5
31835,2020-04-04,Unknown,Massachusetts,,274,5
34261,2020-04-05,Unknown,Massachusetts,,215,5
36725,2020-04-06,Unknown,Massachusetts,,246,7
39232,2020-04-07,Unknown,Massachusetts,,229,8
41781,2020-04-08,Unknown,Massachusetts,,223,9
44350,2020-04-09,Unknown,Massachusetts,,203,9
46956,2020-04-10,Unknown,Massachusetts,,129,9
49598,2020-04-11,Unknown,Massachusetts,,225,9
52268,2020-04-12,Unknown,Massachusetts,,373,9
