,date,county,state,fips,cases,deaths
807,2020-03-08,Worcester,Massachusetts,25027.0,1,0
931,2020-03-09,Worcester,Massachusetts,25027.0,1,0
1078,2020-03-10,Worcester,Massachusetts,25027.0,1,0
1258,2020-03-11,Worcester,Massachusetts,25027.0,2,0
1476,2020-03-12,Worcester,Massachusetts,25027.0,2,0
1755,2020-03-13,Worcester,Massachusetts,25027.0,2,0
2098,2020-03-14,Worcester,Massachusetts,25027.0,2,0
2501,2020-03-15,Worcester,Massachusetts,25027.0,6,0
2951,2020-03-16,Worcester,Massachusetts,25027.0,8,0
3452,2020-03-17,Worcester,Massachusetts,25027.0,8,0
4035,2020-03-18,Worcester,Massachusetts,25027.0,10,0
4740,2020-03-19,Worcester,Massachusetts,25027.0,14,0
5559,2020-03-20,Worcester,Massachusetts,25027.0,19,0
6519,2020-03-21,Worcester,Massachusetts,25027.0,24,0
7596,2020-03-22,Worcester,Massachusetts,25027.0,37,0
8768,2020-03-23,Worcester,Massachusetts,25027.0,42,0
10062,2020-03-24,Worcester,Massachusetts,25027.0,73,0
11477,2020-03-25,Worcester,Massachusetts,25027.0,129,2
13065,2020-03-26,Worcester,Massachusetts,25027.0,166,3
14783,2020-03-27,Worcester,Massachusetts,25027.0,219,3
16612,2020-03-28,Worcester,Massachusetts,25027.0,291,5
18541,2020-03-29,Worcester,Massachusetts,25027.0,337,5
20570,2020-03-30,Worcester,Massachusetts,25027.0,390,5
22696,2020-03-31,Worcester,Massachusetts,25027.0,433,7
24886,2020-04-01,Worcester,Massachusetts,25027.0,563,9
27142,2020-04-02,Worcester,Massachusetts,25027.0,667,13
29456,2020-04-03,Worcester,Massachusetts,25027.0,825,14
31836,2020-04-04,Worcester,Massachusetts,25027.0,915,17
34262,2020-04-05,Worcester,Massachusetts,25027.0,978,17
36726,2020-04-06,Worcester,Massachusetts,25027.0,1077,18
39233,2020-04-07,Worcester,Massachusetts,25027.0,1172,23
41782,2020-04-08,Worcester,Massachusetts,25027.0,1296,29
44351,2020-04-09,Worcester,Massachusetts,25027.0,1461,30
46957,2020-04-10,Worcester,Massachusetts,25027.0,1678,37
49599,2020-04-11,Worcester,Massachusetts,25027.0,1822,41
52269,2020-04-12,Worcester,Massachusetts,25027.0,2032,48
