timestep,n_InGeneralWard,n_OffVentInICU,n_OnVentInICU,n_TERMINAL,n_discharged_InGeneralWard,n_discharged_OffVentInICU,n_discharged_OnVentInICU
0.00,301.32,65.49,88.67,18.07,19.09,0.00,0.00
1.00,336.68,58.67,88.45,24.10,27.57,0.00,0.00
2.00,392.95,53.14,85.30,26.70,35.71,0.00,0.00
3.00,428.05,54.96,77.88,26.97,43.53,0.00,0.00
4.00,445.27,59.69,72.11,25.02,48.81,0.00,0.00
5.00,480.80,63.91,70.95,21.86,54.54,0.00,0.00
6.00,540.73,67.55,72.72,21.00,58.67,0.00,0.00
7.00,586.86,73.08,75.81,20.33,64.91,0.00,0.00
8.00,614.51,79.98,80.28,20.95,70.03,0.00,0.00
9.00,614.37,87.32,85.31,22.57,75.20,0.00,0.00
10.00,631.18,90.62,92.11,23.58,79.51,0.00,0.00
11.00,634.66,91.04,98.55,25.61,84.05,0.00,0.00
12.00,626.43,90.42,103.70,27.11,86.58,0.00,0.00
13.00,632.60,89.12,106.42,28.87,88.55,0.00,0.00
14.00,629.55,88.11,107.58,29.95,87.94,0.00,0.00
15.00,645.06,88.12,107.51,30.36,89.20,0.00,0.00
16.00,634.71,88.96,107.06,30.52,89.44,0.00,0.00
17.00,654.93,89.53,106.96,30.42,88.88,0.00,0.00
18.00,693.66,90.52,107.66,29.81,89.77,0.00,0.00
19.00,692.82,93.58,108.19,30.29,91.97,0.00,0.00
20.00,747.91,97.69,108.98,30.57,94.45,0.00,0.00
21.00,829.25,101.17,112.37,30.19,96.58,0.00,0.00
22.00,878.85,110.30,115.57,31.12,101.96,0.00,0.00
23.00,913.45,120.12,120.64,32.34,108.17,0.00,0.00
24.00,944.11,129.77,127.83,33.62,113.88,0.00,0.00
25.00,957.33,135.45,136.98,35.75,121.20,0.00,0.00
26.00,958.75,138.38,146.11,38.41,128.10,0.00,0.00
27.00,1008.11,139.06,154.42,40.09,131.57,0.00,0.00
28.00,1113.83,139.98,159.06,43.61,135.10,0.00,0.00
29.00,1182.02,146.95,163.65,44.55,140.69,0.00,0.00
30.00,1253.01,159.63,167.43,46.27,146.29,0.00,0.00
31.00,1328.98,174.29,173.84,48.21,154.74,0.00,0.00
32.00,1327.57,185.69,184.54,49.60,164.72,0.00,0.00
33.00,1295.95,192.88,198.05,51.59,174.32,0.00,0.00
34.00,1282.46,192.36,210.11,55.57,181.37,0.00,0.00
35.00,1333.75,185.65,219.82,58.29,182.42,0.00,0.00
36.00,1385.15,183.27,222.66,62.34,185.80,0.00,0.00
37.00,1381.71,186.87,224.50,62.70,185.29,0.00,0.00
38.00,1408.74,193.88,223.85,64.18,187.42,0.00,0.00
39.00,1434.03,197.50,225.73,64.27,189.95,0.00,0.00
40.00,1356.81,200.72,230.42,63.49,195.84,0.00,0.00
41.00,1355.04,198.13,235.58,63.73,195.46,0.00,0.00
42.00,1397.91,192.03,238.68,65.77,194.36,0.00,0.00
43.00,1417.12,190.11,238.52,65.91,196.95,0.00,0.00
44.00,1433.29,192.79,236.45,66.79,196.44,0.00,0.00
45.00,1425.92,198.99,235.06,66.14,196.41,0.00,0.00
46.00,1444.62,201.95,235.78,65.29,197.35,0.00,0.00
47.00,1404.99,202.98,238.71,65.48,200.18,0.00,0.00
48.00,1416.30,202.81,240.99,65.61,200.98,0.00,0.00
49.00,1468.13,199.94,243.34,66.34,202.33,0.00,0.00
50.00,1532.99,201.13,243.21,67.02,202.07,0.00,0.00
51.00,1564.78,207.49,242.34,68.16,204.56,0.00,0.00
52.00,1530.66,218.87,243.91,67.69,208.47,0.00,0.00
53.00,1508.74,222.56,249.63,67.69,209.84,0.00,0.00
54.00,1450.73,219.33,257.14,68.35,215.37,0.00,0.00
55.00,1495.71,211.75,261.57,69.98,213.19,0.00,0.00
56.00,1496.27,205.59,261.31,72.33,213.53,0.00,0.00
57.00,1510.93,206.25,257.38,72.86,210.73,0.00,0.00
58.00,1508.81,210.14,253.95,72.07,209.61,0.00,0.00
59.00,1496.92,213.25,252.97,70.39,209.36,0.00,0.00
60.00,1445.12,213.64,253.70,70.41,210.28,0.00,0.00
61.00,1362.70,209.00,256.29,69.10,210.37,0.00,0.00
62.00,1370.04,199.97,256.21,70.23,206.53,0.00,0.00
63.00,1449.25,190.03,252.62,70.56,203.76,0.00,0.00
64.00,1495.59,190.38,246.38,69.66,199.90,0.00,0.00
65.00,1517.69,200.36,240.19,68.47,200.63,0.00,0.00
66.00,1513.25,211.69,238.94,66.40,202.96,0.00,0.00
67.00,1473.42,217.53,242.29,65.85,204.79,0.00,0.00
68.00,1399.36,214.22,249.33,66.22,209.12,0.00,0.00
69.00,1371.16,206.41,254.15,67.08,209.10,0.00,0.00
70.00,1346.28,196.21,254.99,68.65,205.60,0.00,0.00
71.00,1318.34,189.19,250.13,69.89,199.93,0.00,0.00
72.00,1330.63,184.08,242.62,69.31,196.02,0.00,0.00
73.00,1305.56,181.90,235.62,67.58,191.67,0.00,0.00
74.00,1253.28,181.70,230.19,65.44,187.47,0.00,0.00
75.00,1186.52,179.32,226.72,63.24,184.37,0.00,0.00
76.00,1175.18,172.78,223.49,61.29,179.82,0.00,0.00
77.00,1184.02,165.24,220.03,60.69,176.48,0.00,0.00
78.00,1186.83,161.59,213.93,59.96,171.99,0.00,0.00
79.00,1179.59,163.96,207.38,58.30,168.11,0.00,0.00
80.00,1163.50,165.15,203.01,57.15,167.11,0.00,0.00
81.00,1104.92,164.05,200.71,55.65,166.34,0.00,0.00
82.00,1062.41,160.18,199.67,54.25,163.18,0.00,0.00
83.00,1026.73,153.65,198.27,53.15,160.46,0.00,0.00
84.00,1011.14,146.79,194.24,54.22,157.25,0.00,0.00
85.00,1013.32,140.58,189.28,52.82,151.16,0.00,0.00
86.00,1013.25,138.31,182.83,51.77,147.02,0.00,0.00
87.00,1023.27,139.45,176.95,49.91,144.81,0.00,0.00
88.00,993.21,141.63,173.37,47.84,143.62,0.00,0.00
89.00,930.37,142.23,171.28,47.58,141.76,0.00,0.00
90.00,899.64,136.97,170.97,46.44,139.84,0.00,0.00
91.00,869.65,129.56,169.73,45.97,137.68,0.00,0.00
92.00,840.91,121.78,166.83,45.62,133.79,0.00,0.00
