timestep,n_InGeneralWard,n_OffVentInICU,n_OnVentInICU,n_TERMINAL,n_discharged_InGeneralWard,n_discharged_OffVentInICU,n_discharged_OnVentInICU
0.00,250.00,40.00,65.00,5.00,0.00,0.00,0.00
1.00,280.00,30.00,60.00,5.00,5.00,0.00,0.00
2.00,335.00,25.00,50.00,10.00,15.00,0.00,0.00
3.00,365.00,25.00,45.00,10.00,15.00,0.00,0.00
4.00,380.00,30.00,40.00,5.00,20.00,0.00,0.00
5.00,415.00,34.88,40.00,5.00,25.00,0.00,0.00
6.00,475.00,35.00,40.00,5.00,25.00,0.00,0.00
7.00,520.00,40.00,40.00,5.00,30.00,0.00,0.00
8.00,545.00,45.00,45.00,5.00,39.88,0.00,0.00
9.00,540.00,50.00,50.00,5.00,44.88,0.00,0.00
10.00,555.00,54.88,55.00,5.00,40.00,0.00,0.00
11.00,559.88,55.00,60.00,5.00,45.00,0.00,0.00
12.00,550.00,50.00,65.00,10.00,50.00,0.00,0.00
13.00,555.00,50.00,65.00,10.00,50.00,0.00,0.00
14.00,550.00,50.00,65.00,10.00,50.00,0.00,0.00
15.00,570.00,50.00,70.00,10.00,50.00,0.00,0.00
16.00,555.00,50.00,65.00,10.00,50.00,0.00,0.00
17.00,580.00,50.00,65.00,10.00,50.00,0.00,0.00
18.00,620.00,50.00,65.00,10.00,55.00,0.00,0.00
19.00,615.00,55.00,70.00,10.00,55.00,0.00,0.00
20.00,670.00,60.00,70.00,10.00,55.00,0.00,0.00
21.00,750.00,60.00,70.00,10.00,55.00,0.00,0.00
22.00,795.00,65.00,70.00,10.00,65.00,0.00,0.00
23.00,820.00,75.00,75.00,10.00,65.00,0.00,0.00
24.00,845.00,85.00,80.00,10.00,75.00,0.00,0.00
25.00,860.00,90.00,90.00,15.00,75.00,0.00,0.00
26.00,865.00,90.00,100.00,15.00,85.00,0.00,0.00
27.00,910.00,90.00,100.00,15.00,85.00,0.00,0.00
28.00,1010.00,90.00,110.00,20.00,90.00,0.00,0.00
29.00,1080.00,100.00,110.00,20.00,95.00,0.00,0.00
30.00,1140.00,105.00,115.00,20.00,100.00,0.00,0.00
31.00,1210.00,120.00,120.00,20.00,105.00,0.00,0.00
32.00,1205.00,130.00,130.00,20.00,115.00,0.00,0.00
33.00,1170.00,135.00,140.00,24.88,120.00,0.00,0.00
34.00,1160.00,135.00,155.00,25.00,125.00,0.00,0.00
35.00,1210.00,130.00,160.00,25.00,125.00,0.00,0.00
36.00,1265.00,125.00,165.00,30.00,130.00,0.00,0.00
37.00,1255.00,134.88,165.00,30.00,129.88,0.00,0.00
38.00,1280.00,135.00,160.00,30.00,130.00,0.00,0.00
39.00,1310.00,140.00,165.00,30.00,135.00,0.00,0.00
40.00,1230.00,140.00,170.00,30.00,140.00,0.00,0.00
41.00,1225.00,140.00,170.00,30.00,135.00,0.00,0.00
42.00,1265.00,135.00,175.00,30.00,135.00,0.00,0.00
43.00,1295.00,130.00,175.00,35.00,140.00,0.00,0.00
44.00,1305.00,135.00,175.00,35.00,140.00,0.00,0.00
45.00,1305.00,135.00,175.00,35.00,140.00,0.00,0.00
46.00,1310.00,145.00,175.00,30.00,140.00,0.00,0.00
47.00,1275.00,145.00,175.00,35.00,140.00,0.00,0.00
48.00,1285.00,145.00,175.00,30.00,140.00,0.00,0.00
49.00,1335.00,140.00,180.00,35.00,145.00,0.00,0.00
50.00,1405.00,140.00,180.00,35.00,140.00,0.00,0.00
51.00,1430.00,150.00,180.00,35.00,145.00,0.00,0.00
52.00,1390.00,160.00,180.00,35.00,150.00,0.00,0.00
53.00,1370.00,160.00,185.00,35.00,150.00,0.00,0.00
54.00,1310.00,155.00,190.00,35.00,155.00,0.00,0.00
55.00,1360.00,150.00,195.00,35.00,155.00,0.00,0.00
56.00,1355.00,145.00,195.00,40.00,154.88,0.00,0.00
57.00,1375.00,144.88,195.00,40.00,150.00,0.00,0.00
58.00,1375.00,150.00,189.88,40.00,150.00,0.00,0.00
59.00,1364.88,155.00,190.00,40.00,150.00,0.00,0.00
60.00,1315.00,155.00,185.00,35.00,150.00,0.00,0.00
61.00,1230.00,150.00,190.00,35.00,150.00,0.00,0.00
62.00,1235.00,140.00,190.00,35.00,150.00,0.00,0.00
63.00,1310.00,130.00,185.00,35.00,145.00,0.00,0.00
64.00,1355.00,134.88,180.00,35.00,140.00,0.00,0.00
65.00,1380.00,140.00,170.00,35.00,145.00,0.00,0.00
66.00,1365.00,150.00,170.00,35.00,140.00,0.00,0.00
67.00,1335.00,155.00,180.00,35.00,145.00,0.00,0.00
68.00,1255.00,155.00,185.00,30.00,150.00,0.00,0.00
69.00,1235.00,145.00,190.00,35.00,150.00,0.00,0.00
70.00,1210.00,140.00,190.00,35.00,145.00,0.00,0.00
71.00,1190.00,135.00,185.00,35.00,145.00,0.00,0.00
