timestep,n_InGeneralWard,n_OffVentInICU,n_OnVentInICU,n_TERMINAL,n_discharged_InGeneralWard,n_discharged_OffVentInICU,n_discharged_OnVentInICU
0.00,25.73,15.28,13.95,8.79,10.76,0.00,0.00
0.00,28.91,16.38,16.59,10.39,11.43,0.00,0.00
0.00,29.93,15.62,18.09,10.81,12.98,0.00,0.00
0.00,30.77,15.74,18.40,10.93,14.25,0.00,0.00
0.00,32.07,16.71,18.15,10.92,14.51,0.00,0.00
0.00,31.91,17.16,18.52,10.32,16.13,0.00,0.00
0.00,33.36,17.96,18.53,10.30,16.80,0.00,0.00
0.00,34.10,18.72,18.93,10.11,17.53,0.00,0.00
0.00,35.70,19.31,19.94,10.01,18.14,0.00,0.00
0.00,37.00,20.87,20.21,10.88,19.01,0.00,0.00
0.00,37.41,20.62,20.87,10.62,19.51,0.00,0.00
0.00,37.50,20.87,21.24,11.28,19.92,0.00,0.00
0.00,37.19,21.17,21.66,11.63,19.62,0.00,0.00
0.00,37.66,20.90,22.09,11.93,20.93,0.00,0.00
0.00,37.75,20.55,22.14,12.03,20.25,0.00,0.00
0.00,38.92,20.02,22.13,12.29,20.56,0.00,0.00
0.00,39.39,19.82,22.11,11.98,20.81,0.00,0.00
0.00,38.66,20.13,21.96,11.82,19.87,0.00,0.00
0.00,38.51,20.85,22.72,11.73,19.88,0.00,0.00
0.00,38.71,20.76,22.11,12.18,20.64,0.00,0.00
0.00,39.52,21.29,22.33,11.81,20.91,0.00,0.00
0.00,39.74,21.93,22.59,12.29,21.15,0.00,0.00
0.00,41.75,23.39,23.18,12.15,21.93,0.00,0.00
0.00,44.96,24.65,24.46,12.44,22.68,0.00,0.00
0.00,46.89,24.57,25.37,12.77,23.09,0.00,0.00
0.00,48.42,24.61,25.86,12.99,24.14,0.00,0.00
0.00,50.41,25.53,26.49,13.85,24.37,0.00,0.00
0.00,51.09,25.91,26.83,14.11,24.96,0.00,0.00
0.00,51.32,26.07,27.21,14.66,25.07,0.00,0.00
0.00,51.57,26.05,28.05,14.90,25.86,0.00,0.00
0.00,54.28,27.83,28.28,14.88,26.70,0.00,0.00
0.00,57.96,29.25,28.94,15.35,27.36,0.00,0.00
0.00,60.89,30.31,28.32,15.93,26.95,0.00,0.00
0.00,62.99,30.26,29.42,16.12,28.40,0.00,0.00
0.00,61.50,29.95,31.49,16.46,29.84,0.00,0.00
0.00,61.38,30.67,32.01,17.41,29.92,0.00,0.00
0.00,62.00,30.57,31.92,17.37,29.39,0.00,0.00
0.00,62.50,30.38,32.50,17.39,29.19,0.00,0.00
0.00,63.44,31.01,32.24,18.28,29.44,0.00,0.00
0.00,63.70,31.41,32.93,18.29,29.92,0.00,0.00
0.00,64.22,31.94,33.23,17.62,29.43,0.00,0.00
0.00,64.65,31.28,33.84,17.90,30.44,0.00,0.00
0.00,64.86,31.95,33.71,18.07,31.06,0.00,0.00
0.00,64.29,31.48,33.35,18.10,30.31,0.00,0.00
0.00,65.41,32.33,33.21,18.72,30.93,0.00,0.00
0.00,62.87,32.13,33.00,17.59,31.04,0.00,0.00
0.00,64.65,31.51,33.56,17.96,30.54,0.00,0.00
0.00,65.82,31.66,33.94,17.96,30.72,0.00,0.00
0.00,66.07,31.99,33.61,17.84,30.42,0.00,0.00
0.00,66.86,31.36,33.92,17.85,30.85,0.00,0.00
0.00,65.71,31.98,34.29,18.08,31.71,0.00,0.00
0.00,67.17,31.63,34.00,18.27,30.63,0.00,0.00
0.00,68.90,32.36,34.28,17.83,31.24,0.00,0.00
0.00,69.52,33.51,34.83,18.68,31.42,0.00,0.00
0.00,70.64,33.42,34.35,18.97,33.31,0.00,0.00
0.00,69.50,32.85,34.47,18.75,31.50,0.00,0.00
0.00,69.11,32.58,34.20,18.41,31.89,0.00,0.00
0.00,69.50,33.64,34.17,18.61,31.34,0.00,0.00
0.00,69.34,31.89,34.33,18.72,31.59,0.00,0.00
