timestep,n_InGeneralWard,n_OffVentInICU,n_OnVentInICU,n_TERMINAL,n_discharged_InGeneralWard,n_discharged_OffVentInICU,n_discharged_OnVentInICU
0.00,376.38,74.10,72.10,3.00,3.17,0.00,0.00
1.00,449.55,71.88,69.97,3.77,7.40,0.00,0.00
2.00,548.10,69.20,69.00,3.83,11.28,0.00,0.00
3.00,628.15,65.80,69.50,4.30,18.55,0.00,0.00
4.00,693.67,62.02,70.65,4.53,22.57,0.00,0.00
5.00,772.75,61.35,70.88,5.03,31.35,0.00,0.00
6.00,873.75,63.58,69.65,5.45,37.55,0.00,0.00
7.00,960.98,71.28,67.70,5.28,41.75,0.00,0.00
8.00,1026.15,82.00,65.20,5.47,51.12,0.00,0.00
9.00,1063.97,97.00,62.08,5.40,54.90,0.00,0.00
10.00,1115.33,111.92,59.20,5.55,61.05,0.00,0.00
11.00,1149.35,128.62,56.95,5.42,66.10,0.00,0.00
12.00,1167.60,145.43,56.77,5.35,69.78,0.00,0.00
13.00,1196.60,162.20,57.15,5.35,73.50,0.00,0.00
14.00,1212.47,175.18,59.50,5.45,78.35,0.00,0.00
15.00,1238.62,189.50,63.85,6.55,83.62,0.00,0.00
16.00,1238.80,204.12,67.67,6.50,84.88,0.00,0.00
17.00,1265.90,218.95,71.78,6.88,87.10,0.00,0.00
18.00,1316.10,229.50,78.17,7.35,85.50,0.00,0.00
19.00,1330.08,240.18,83.97,7.30,87.25,0.00,0.00
20.00,1400.53,248.72,91.75,7.78,90.45,0.00,0.00
21.00,1498.95,256.02,99.72,7.85,93.45,0.00,0.00
22.00,1578.33,262.80,108.53,7.53,92.53,0.00,0.00
23.00,1650.12,267.30,118.05,8.15,96.03,0.00,0.00
24.00,1723.38,272.70,125.97,9.88,98.55,0.00,0.00
25.00,1780.92,279.62,133.22,8.95,104.33,0.00,0.00
26.00,1825.67,286.48,141.50,10.47,109.65,0.00,0.00
27.00,1909.88,296.23,147.15,11.07,119.33,0.00,0.00
28.00,2050.07,307.15,152.65,11.95,121.42,0.00,0.00
29.00,2153.93,317.15,159.78,12.25,131.78,0.00,0.00
30.00,2274.65,326.32,165.95,13.32,130.60,0.00,0.00
31.00,2400.85,341.12,172.18,12.65,140.12,0.00,0.00
32.00,2455.50,354.45,178.53,14.32,146.35,0.00,0.00
33.00,2482.22,370.48,182.68,14.57,153.53,0.00,0.00
34.00,2519.00,387.95,187.05,15.22,161.15,0.00,0.00
35.00,2604.28,402.45,194.22,15.80,172.25,0.00,0.00
36.00,2686.97,419.32,202.18,16.15,176.32,0.00,0.00
37.00,2713.82,435.00,210.18,17.82,181.65,0.00,0.00
38.00,2760.12,457.18,217.70,17.52,191.47,0.00,0.00
39.00,2810.22,478.52,225.10,18.43,187.72,0.00,0.00
40.00,2756.95,502.43,234.32,18.27,191.88,0.00,0.00
41.00,2774.00,520.77,242.75,20.48,195.70,0.00,0.00
42.00,2826.22,535.35,254.85,19.40,201.70,0.00,0.00
43.00,2860.55,551.12,264.85,20.62,199.28,0.00,0.00
44.00,2890.50,564.00,276.65,21.02,204.35,0.00,0.00
45.00,2904.80,576.10,288.75,21.00,200.50,0.00,0.00
46.00,2933.35,585.10,299.30,24.60,212.30,0.00,0.00
47.00,2909.45,592.80,311.62,23.05,210.82,0.00,0.00
48.00,2933.22,596.83,323.52,25.43,214.88,0.00,0.00
49.00,2999.20,601.80,332.62,25.62,214.32,0.00,0.00
50.00,3082.50,605.50,341.57,27.40,211.65,0.00,0.00
51.00,3132.10,611.85,349.82,28.02,217.78,0.00,0.00
52.00,3131.32,615.98,358.75,27.73,215.00,0.00,0.00
53.00,3132.80,620.55,367.02,27.27,223.40,0.00,0.00
54.00,3098.85,628.15,371.32,30.85,221.20,0.00,0.00
55.00,3158.88,630.42,379.25,29.62,225.15,0.00,0.00
56.00,3167.88,633.52,384.70,30.73,231.72,0.00,0.00
57.00,3186.78,639.67,391.93,30.52,232.20,0.00,0.00
58.00,3190.75,642.80,398.10,32.92,233.80,0.00,0.00
59.00,3182.55,649.48,399.27,33.95,236.40,0.00,0.00
60.00,3132.60,657.58,401.05,32.95,237.12,0.00,0.00
61.00,3046.18,667.10,402.50,33.90,236.55,0.00,0.00
62.00,3045.47,674.75,403.68,31.90,234.97,0.00,0.00
63.00,3112.72,676.73,406.48,35.05,232.93,0.00,0.00
64.00,3150.20,675.95,413.60,33.55,232.62,0.00,0.00
65.00,3168.85,679.25,417.45,33.20,236.00,0.00,0.00
66.00,3170.60,676.60,422.70,34.20,236.45,0.00,0.00
67.00,3138.65,672.25,426.38,36.23,236.40,0.00,0.00
68.00,3077.95,671.55,429.23,33.25,230.30,0.00,0.00
69.00,3052.70,669.27,430.80,35.80,235.15,0.00,0.00
70.00,3024.18,668.42,433.18,34.92,232.07,0.00,0.00
71.00,2983.35,665.75,434.98,35.95,235.75,0.00,0.00
72.00,2978.25,664.08,431.65,38.15,236.95,0.00,0.00
73.00,2934.45,664.98,432.05,37.15,230.35,0.00,0.00
74.00,2863.43,661.10,431.62,35.75,234.57,0.00,0.00
75.00,2775.80,660.12,431.65,35.38,228.20,0.00,0.00
76.00,2740.20,655.38,429.98,37.38,224.65,0.00,0.00
77.00,2723.90,651.30,427.40,37.62,220.32,0.00,0.00
78.00,2703.97,643.15,427.40,35.85,217.22,0.00,0.00
79.00,2674.07,636.80,427.40,35.23,216.03,0.00,0.00
80.00,2644.20,627.42,427.65,34.27,209.72,0.00,0.00
81.00,2570.35,618.77,427.27,35.10,207.78,0.00,0.00
82.00,2507.25,612.20,423.95,36.77,206.22,0.00,0.00
83.00,2447.35,603.38,422.73,35.45,204.50,0.00,0.00
84.00,2407.68,597.77,417.93,35.52,199.55,0.00,0.00
85.00,2383.70,586.52,414.25,35.45,198.45,0.00,0.00
86.00,2359.80,576.20,410.15,35.60,192.72,0.00,0.00
87.00,2348.90,567.83,402.85,35.77,190.80,0.00,0.00
88.00,2301.53,556.23,399.40,34.08,188.35,0.00,0.00
89.00,2225.47,543.80,393.35,35.10,184.43,0.00,0.00
