timestep,n_InGeneralWard,n_OffVentInICU,n_OnVentInICU,n_TERMINAL,n_discharged_InGeneralWard,n_discharged_OffVentInICU,n_discharged_OnVentInICU
0.00,360.00,60.00,55.00,0.00,0.00,0.00,0.00
1.00,425.00,60.00,45.00,0.00,0.00,0.00,0.00
2.00,514.95,50.00,45.00,0.00,0.00,0.00,0.00
3.00,585.00,40.00,44.95,0.00,0.00,0.00,0.00
4.00,634.95,35.00,40.00,0.00,0.00,0.00,0.00
5.00,705.00,34.95,44.95,0.00,4.95,0.00,0.00
6.00,799.95,29.95,40.00,0.00,9.90,0.00,0.00
7.00,884.95,34.95,34.95,0.00,10.00,0.00,0.00
8.00,940.00,44.95,30.00,0.00,15.00,0.00,0.00
9.00,954.90,45.00,25.00,0.00,20.00,0.00,0.00
10.00,985.00,49.95,24.95,0.00,25.00,0.00,0.00
11.00,1030.00,64.95,20.00,0.00,24.95,0.00,0.00
12.00,1039.95,79.95,19.95,0.00,29.95,0.00,0.00
13.00,1065.00,79.95,20.00,0.00,35.00,0.00,0.00
14.00,1079.95,100.00,19.90,0.00,40.00,0.00,0.00
15.00,1099.90,105.00,24.95,0.00,39.95,0.00,0.00
16.00,1104.90,120.00,29.95,0.00,44.85,0.00,0.00
17.00,1124.85,134.95,34.95,0.00,45.00,0.00,0.00
18.00,1174.95,154.95,35.00,0.00,34.95,0.00,0.00
19.00,1174.95,159.95,40.00,0.00,44.90,0.00,0.00
20.00,1250.00,174.90,44.95,0.00,40.00,0.00,0.00
21.00,1345.00,179.95,54.95,0.00,50.00,0.00,0.00
22.00,1425.00,179.90,55.00,0.00,40.00,0.00,0.00
23.00,1484.95,169.95,64.90,0.00,50.00,0.00,0.00
24.00,1559.95,174.85,65.00,0.00,50.00,0.00,0.00
25.00,1594.95,184.90,69.95,0.00,60.00,0.00,0.00
26.00,1644.90,180.00,75.00,0.00,59.95,0.00,0.00
27.00,1705.00,209.95,75.00,0.00,64.90,0.00,0.00
28.00,1844.80,220.00,80.00,0.00,75.00,0.00,0.00
29.00,1929.90,229.90,85.00,0.00,75.00,0.00,0.00
30.00,2039.95,234.80,94.85,0.00,79.90,0.00,0.00
31.00,2154.85,230.00,94.95,0.00,80.00,0.00,0.00
32.00,2229.70,245.00,104.95,0.00,94.95,0.00,0.00
33.00,2254.60,249.90,104.95,0.00,99.95,0.00,0.00
34.00,2290.00,269.95,105.00,0.00,100.00,0.00,0.00
35.00,2349.75,299.90,104.95,0.00,105.00,0.00,0.00
36.00,2414.90,299.95,110.00,0.00,110.00,0.00,0.00
37.00,2420.00,299.95,119.95,0.00,129.90,0.00,0.00
38.00,2459.95,325.00,119.95,0.00,134.95,0.00,0.00
39.00,2504.90,364.65,119.95,0.00,124.90,0.00,0.00
40.00,2449.85,354.65,129.80,4.95,129.90,0.00,0.00
41.00,2459.85,394.85,144.70,0.00,139.85,0.00,0.00
