timestep,n_InGeneralWard,n_OffVentInICU,n_OnVentInICU,n_TERMINAL,n_discharged_InGeneralWard,n_discharged_OffVentInICU,n_discharged_OnVentInICU
0.00,390.00,85.00,80.00,10.00,10.00,0.00,0.00
1.00,465.00,85.00,80.00,10.00,20.00,0.00,0.00
2.00,570.00,85.25,80.00,10.00,25.00,0.00,0.00
3.00,665.25,90.00,85.00,10.25,40.00,0.00,0.00
4.00,745.25,85.00,90.00,15.00,45.00,0.00,0.00
5.00,840.25,85.00,90.25,15.00,55.00,0.00,0.00
6.00,960.00,90.25,90.00,15.00,65.00,0.00,0.00
7.00,1060.00,105.00,90.00,15.00,70.00,0.00,0.00
8.00,1140.25,125.00,90.00,15.00,80.00,0.00,0.00
9.00,1190.25,145.00,85.25,15.00,85.00,0.00,0.00
10.00,1250.25,160.00,85.00,15.00,90.00,0.00,0.00
11.00,1300.00,180.25,80.25,15.00,95.00,0.00,0.00
12.00,1330.25,195.25,85.00,15.00,100.25,0.00,0.00
13.00,1365.25,215.00,85.00,15.00,105.00,0.00,0.00
14.00,1390.25,230.00,85.00,15.00,110.00,0.00,0.00
15.00,1425.00,250.25,95.00,15.00,120.00,0.00,0.00
16.00,1445.25,275.00,100.00,15.00,115.00,0.00,0.00
17.00,1470.50,295.00,105.00,20.00,120.00,0.00,0.00
18.00,1525.50,295.25,110.00,20.00,120.25,0.00,0.00
19.00,1535.50,315.00,120.00,20.00,120.25,0.00,0.00
20.00,1630.25,330.00,130.00,20.00,125.00,0.00,0.00
21.00,1730.75,330.00,140.25,20.00,125.25,0.00,0.00
22.00,1820.25,345.00,155.00,20.00,125.00,0.00,0.00
23.00,1900.25,345.00,165.00,20.00,135.00,0.00,0.00
24.00,1990.50,350.00,175.00,25.00,130.00,0.00,0.00
25.00,2045.00,365.00,180.00,20.00,140.25,0.00,0.00
26.00,2100.25,370.00,190.25,25.00,145.25,0.00,0.00
27.00,2180.25,380.75,195.00,25.25,165.00,0.00,0.00
28.00,2340.25,390.25,205.00,25.00,165.00,0.00,0.00
29.00,2465.50,400.50,210.25,25.00,185.00,0.00,0.00
30.00,2600.25,410.25,230.00,30.00,175.00,0.00,0.00
31.00,2755.00,445.00,235.00,25.00,185.25,0.00,0.00
32.00,2835.25,455.00,240.00,30.00,190.00,0.00,0.00
33.00,2860.25,475.00,245.00,30.00,200.00,0.00,0.00
34.00,2905.00,500.00,255.00,30.00,210.00,0.00,0.00
35.00,2986.25,510.25,265.00,30.00,220.25,0.00,0.00
36.00,3080.25,545.25,270.25,30.00,220.00,0.00,0.00
37.00,3110.25,565.00,285.00,35.00,230.00,0.00,0.00
38.00,3185.50,580.25,290.25,35.00,240.00,0.00,0.00
39.00,3245.00,610.25,295.25,35.00,230.25,0.00,0.00
40.00,3210.25,640.50,310.00,35.00,240.00,0.00,0.00
41.00,3215.75,660.25,320.25,40.00,250.25,0.00,0.00
42.00,3280.00,680.50,335.00,35.00,250.00,0.00,0.00
43.00,3320.50,690.25,345.25,40.00,250.00,0.00,0.00
44.00,3355.75,690.25,365.25,35.00,255.00,0.00,0.00
45.00,3395.25,720.25,375.75,35.00,250.25,0.00,0.00
