timestep,n_InGeneralWard,n_OffVentInICU,n_OnVentInICU,n_TERMINAL,n_discharged_InGeneralWard,n_discharged_OffVentInICU,n_discharged_OnVentInICU
0.00,16.16,9.77,5.05,2.69,8.07,0.00,0.00
0.00,22.86,12.65,7.01,3.36,10.23,0.00,0.00
0.00,28.76,15.10,8.44,3.89,11.98,0.00,0.00
0.00,35.37,17.52,10.12,4.63,12.88,0.00,0.00
0.00,43.49,19.85,11.90,5.01,15.17,0.00,0.00
0.00,51.18,21.54,12.92,5.05,15.21,0.00,0.00
0.00,57.95,24.76,14.38,5.69,16.76,0.00,0.00
0.00,65.54,26.67,15.59,5.71,18.03,0.00,0.00
0.00,75.40,29.66,16.53,5.94,18.51,0.00,0.00
0.00,85.18,33.46,17.63,6.08,19.53,0.00,0.00
0.00,93.05,35.81,18.19,5.71,20.15,0.00,0.00
0.00,99.22,37.87,18.97,6.08,20.03,0.00,0.00
0.00,107.51,40.41,20.02,5.72,21.15,0.00,0.00
0.00,115.34,43.72,20.82,6.04,22.50,0.00,0.00
0.00,122.22,45.72,21.97,5.95,20.62,0.00,0.00
0.00,126.26,47.99,22.41,5.85,21.02,0.00,0.00
0.00,131.53,50.72,23.65,5.99,22.08,0.00,0.00
0.00,133.46,53.45,25.74,6.18,20.41,0.00,0.00
0.00,139.22,56.71,26.74,6.22,22.90,0.00,0.00
0.00,138.17,59.70,29.21,6.21,19.70,0.00,0.00
0.00,140.43,62.97,31.70,6.53,21.04,0.00,0.00
0.00,142.84,66.14,34.12,6.80,21.62,0.00,0.00
0.00,146.38,67.28,36.39,7.01,24.47,0.00,0.00
0.00,151.44,70.84,39.57,7.01,23.38,0.00,0.00
0.00,157.98,70.79,41.86,7.35,25.55,0.00,0.00
0.00,162.38,73.59,44.32,7.26,24.75,0.00,0.00
0.00,167.97,76.89,47.25,8.42,25.29,0.00,0.00
0.00,178.94,79.30,49.56,8.16,27.90,0.00,0.00
0.00,186.92,80.59,52.16,8.48,28.82,0.00,0.00
0.00,194.20,83.43,55.23,8.35,26.88,0.00,0.00
0.00,200.73,85.89,57.93,9.91,29.19,0.00,0.00
0.00,210.96,90.53,60.30,9.67,28.84,0.00,0.00
0.00,222.19,92.03,63.38,10.54,30.18,0.00,0.00
0.00,235.06,95.26,66.69,10.47,32.47,0.00,0.00
0.00,242.38,98.58,69.17,10.18,32.67,0.00,0.00
0.00,251.46,103.69,72.38,11.16,32.82,0.00,0.00
0.00,263.59,107.92,75.05,11.35,34.45,0.00,0.00
0.00,269.36,115.31,76.30,11.85,31.39,0.00,0.00
