date,n_admitted_InGeneralWard
20210602,11
20210603,10
20210604,9
20210605,8
20210606,7
20210607,6
20210608,5
20210609,5
20210610,4
20210611,3
20210612,3
20210613,3
20210614,2
20210615,2
20210616,2
20210617,1
20210618,1
20210619,1
20210620,1
20210621,1
20210622,1
20210623,0
20210624,0
20210625,0
20210626,0
20210627,0
20210628,0
20210629,0
20210630,0
20210701,0
20210702,0
20210703,0
20210704,0
20210705,0
20210706,0
20210707,0
20210708,0
20210709,0
20210710,0
20210711,0
20210712,0
20210713,0
20210714,0
20210715,0
20210716,0
20210717,0
20210718,0
20210719,0
20210720,0
20210721,0
20210722,0
20210723,0
20210724,0
20210725,0
20210726,0
20210727,0
20210728,0
20210729,0
20210730,0
20210731,0
20210801,0
20210802,0
20210803,0
20210804,0
20210805,0
20210806,0
20210807,0
20210808,0
20210809,0
