date,n_admitted_InGeneralWard
20210501,76
20210502,76
20210503,75
20210504,74
20210505,73
20210506,72
20210507,71
20210508,70
20210509,70
20210510,69
20210511,68
20210512,67
20210513,67
20210514,66
20210515,65
20210516,65
20210517,64
20210518,64
20210519,64
20210520,63
20210521,63
20210522,63
20210523,63
20210524,63
20210525,63
20210526,63
20210527,63
20210528,63
20210529,63
20210530,63
20210531,63
20210601,63
20210602,64
20210603,64
20210604,64
20210605,64
20210606,65
20210607,65
20210608,65
20210609,66
20210610,66
20210611,67
20210612,67
20210613,68
20210614,68
20210615,69
20210616,70
20210617,70
20210618,71
20210619,72
20210620,73
20210621,74
20210622,74
20210623,75
20210624,76
20210625,77
20210626,78
20210627,79
20210628,81
20210629,82
20210630,83
20210701,84
20210702,86
20210703,87
20210704,89
20210705,90
20210706,92
20210707,93
20210708,95
20210709,97
20210710,99
20210711,101
20210712,103
20210713,105
20210714,107
20210715,109
20210716,112
20210717,114
20210718,117
20210719,119
20210720,122
20210721,125
20210722,128
20210723,131
20210724,134
20210725,138
20210726,141
20210727,145
20210728,149
20210729,153
20210730,157
20210731,161
20210801,166
