timestep,num_InGeneralWard
0,0
1,82
2,111
3,101
4,91
5,113
6,145
7,142
8,129
9,108
10,132
11,122
12,111
13,125
14,117
15,133
16,111
17,140
18,159
19,123
20,183
21,214
22,196
23,190
24,193
25,186
26,179
27,231
28,292
29,264
30,280
31,301
32,236
33,214
34,233
35,294
36,298
37,251
38,284
39,286
40,189
41,261
42,299
43,280
44,280
45,262
46,283
47,229
48,279
49,320
50,334
51,309
52,255
53,267
54,229
55,325
56,280
57,297
58,282
59,269
60,228
61,195
62,274
63,339
64,308
65,294
66,276
67,239
68,203
69,243
70,241
71,231
72,264
73,223
74,196
75,177
76,221
77,233
78,225
79,215
80,206
81,159
82,171
83,169
84,184
85,196
86,189
87,201
88,158
89,127
90,148
91,144
92,138
