timestep,num_InGeneralWard
0,0
1,82
2,111
3,101
4,91
5,113
6,145
7,142
8,129
9,108
10,132
11,122
12,111
13,125
14,117
15,133
16,111
17,140
18,159
19,123
20,183
21,214
22,196
23,190
24,193
25,186
26,179
27,231
28,292
29,264
30,280
31,301
32,236
33,214
34,233
35,294
36,298
37,251
38,284
39,286
40,189
41,261
42,299
43,280
44,280
45,262
46,283
47,229
48,279
49,320
50,334
51,309
52,255
53,267
54,229
55,325
56,280
57,297
58,282
59,269
60,228
61,195
62,266
63,320
64,282
65,261
66,237
67,199
68,163
69,188
70,180
71,166
72,183
73,148
74,124
75,107
76,128
77,128
78,118
79,106
80,96
81,70
82,70
83,65
84,65
85,64
86,56
87,54
88,38
89,27
90,28
91,23
92,18
