timestep,num_InGeneralWard
0,0
1,82
2,111
3,101
4,91
5,113
6,145
7,142
8,129
9,108
10,132
11,122
12,111
13,125
14,117
15,133
16,111
17,140
18,159
19,123
20,183
21,214
22,196
23,190
24,193
25,186
26,179
27,231
28,292
29,264
30,280
31,301
32,236
33,214
34,233
35,294
36,298
37,251
38,284
39,286
40,189
41,261
42,299
43,280
44,280
45,262
46,283
47,229
48,279
49,320
50,334
51,335
52,337
53,338
54,340
55,341
56,343
57,344
58,346
59,347
60,349
61,350
62,352
63,353
64,355
65,356
66,358
67,359
68,361
69,362
70,364
71,365
72,367
73,368
74,370
75,371
76,373
77,374
78,376
79,377
80,379
81,380
82,382
83,383
84,385
85,386
86,388
87,389
88,391
89,392
90,394
91,395
92,397
